,Player,Year,All Star,All Star Starter
0,Hakeem Olajuwon,1995,True,True
1,Charles Barkley,1995,True,True
2,Shawn Kemp,1995,True,True
3,Latrell Sprewell,1995,True,True
4,Dan Majerle,1995,True,True
5,Gary Payton,1995,True,False
6,Mitch Richmond,1995,True,False
7,Dikembe Mutombo,1995,True,False
8,Detlef Schrempf,1995,True,False
9,Karl Malone,1995,True,False
10,David Robinson,1995,True,False
11,John Stockton,1995,True,False
12,Anfernee Hardaway,1995,True,True
13,Scottie Pippen,1995,True,True
14,Shaquille O'Neal,1995,True,True
15,Reggie Miller,1995,True,True
16,Grant Hill,1995,True,True
17,Patrick Ewing,1995,True,False
18,Joe Dumars,1995,True,False
19,Larry Johnson,1995,True,False
20,Alonzo Mourning,1995,True,False
21,Dana Barros,1995,True,False
22,Vin Baker,1995,True,False
23,Tyrone Hill,1995,True,False
