,Player,Year,All Star,All Star Starter
0,Isiah Thomas,1984,True,True
1,Julius Erving,1984,True,True
2,Larry Bird,1984,True,True
3,Robert Parish,1984,True,True
4,Sidney Moncrief,1984,True,True
5,Bernard King,1984,True,False
6,Andrew Toney,1984,True,False
7,Bill Laimbeer,1984,True,False
8,Jeff Ruland,1984,True,False
9,Otis Birdsong,1984,True,False
10,Kevin McHale,1984,True,False
11,Kelly Tripucka,1984,True,False
12,Kareem Abdul-Jabbar,1984,True,True
13,Magic Johnson,1984,True,True
14,George Gervin,1984,True,True
15,Alex English,1984,True,True
16,Adrian Dantley,1984,True,True
17,Jack Sikma,1984,True,False
18,Kiki Vandeweghe,1984,True,False
19,Rickey Green,1984,True,False
20,Ralph Sampson,1984,True,False
21,Walter Davis,1984,True,False
22,Jim Paxson,1984,True,False
23,Mark Aguirre,1984,True,False
