,Player,Year,All Star,All Star Starter
0,Isiah Thomas,1986,True,True
1,Larry Bird,1986,True,True
2,Moses Malone,1986,True,True
3,Sidney Moncrief,1986,True,True
4,Julius Erving,1986,True,True
5,Buck Williams,1986,True,False
6,Kevin McHale,1986,True,False
7,Dominique Wilkins,1986,True,False
8,Maurice Cheeks,1986,True,False
9,Jeff Malone,1986,True,False
10,Robert Parish,1986,True,False
11,Kareem Abdul-Jabbar,1986,True,True
12,James Worthy,1986,True,True
13,Magic Johnson,1986,True,True
14,Ralph Sampson,1986,True,True
15,Alvin Robertson,1986,True,True
16,Rolando Blackman,1986,True,False
17,Adrian Dantley,1986,True,False
18,Alex English,1986,True,False
19,Clyde Drexler,1986,True,False
20,Hakeem Olajuwon,1986,True,False
21,Artis Gilmore,1986,True,False
22,Marques Johnson,1986,True,False
