,Player,Year,All Star,All Star Starter
0,Kevin Durant,2013,True,True
1,Kobe Bryant,2013,True,True
2,Blake Griffin,2013,True,True
3,Chris Paul,2013,True,True
4,Dwight Howard,2013,True,True
5,James Harden,2013,True,False
6,Tony Parker,2013,True,False
7,Russell Westbrook,2013,True,False
8,David Lee,2013,True,False
9,Zach Randolph,2013,True,False
10,LaMarcus Aldridge,2013,True,False
11,Tim Duncan,2013,True,False
12,Carmelo Anthony,2013,True,True
13,LeBron James,2013,True,True
14,Dwyane Wade,2013,True,True
15,Chris Bosh,2013,True,True
16,Kevin Garnett,2013,True,True
17,Kyrie Irving,2013,True,False
18,Paul George,2013,True,False
19,Luol Deng,2013,True,False
20,Tyson Chandler,2013,True,False
21,Joakim Noah,2013,True,False
22,Jrue Holiday,2013,True,False
23,Brook Lopez,2013,True,False
