,Player,Year,All Star,All Star Starter
0,James Harden,2015,True,True
1,Stephen Curry,2015,True,True
2,Marc Gasol,2015,True,True
3,Klay Thompson,2015,True,True
4,LaMarcus Aldridge,2015,True,True
5,Chris Paul,2015,True,False
6,Russell Westbrook,2015,True,False
7,DeMarcus Cousins,2015,True,False
8,Damian Lillard,2015,True,False
9,Tim Duncan,2015,True,False
10,Dirk Nowitzki,2015,True,False
11,Kevin Durant,2015,True,False
12,LeBron James,2015,True,True
13,Carmelo Anthony,2015,True,True
14,John Wall,2015,True,True
15,Pau Gasol,2015,True,True
16,Kyle Lowry,2015,True,True
17,Kyrie Irving,2015,True,False
18,Kyle Korver,2015,True,False
19,Paul Millsap,2015,True,False
20,Al Horford,2015,True,False
21,Jeff Teague,2015,True,False
22,Chris Bosh,2015,True,False
23,Jimmy Butler,2015,True,False
