,Player,Year,All Star,All Star Starter
0,Michael Jordan,1997,True,True
1,Scottie Pippen,1997,True,True
2,Anfernee Hardaway,1997,True,True
3,Grant Hill,1997,True,True
4,Dikembe Mutombo,1997,True,True
5,Glen Rice,1997,True,False
6,Vin Baker,1997,True,False
7,Christian Laettner,1997,True,False
8,Terrell Brandon,1997,True,False
9,Tim Hardaway,1997,True,False
10,Chris Webber,1997,True,False
11,Joe Dumars,1997,True,False
12,Gary Payton,1997,True,True
13,John Stockton,1997,True,True
14,Hakeem Olajuwon,1997,True,True
15,Karl Malone,1997,True,True
16,Shawn Kemp,1997,True,True
17,Latrell Sprewell,1997,True,False
18,Mitch Richmond,1997,True,False
19,Detlef Schrempf,1997,True,False
20,Tom Gugliotta,1997,True,False
21,Kevin Garnett,1997,True,False
22,Eddie Jones,1997,True,False
23,Chris Gatling,1997,True,False
