,Player,Year,All Star,All Star Starter
0,Kevin Durant,2011,True,True
1,Kobe Bryant,2011,True,True
2,Chris Paul,2011,True,True
3,Carmelo Anthony,2011,True,True
4,Tim Duncan,2011,True,True
5,Pau Gasol,2011,True,False
6,Manu Ginóbili,2011,True,False
7,Deron Williams,2011,True,False
8,Blake Griffin,2011,True,False
9,Dirk Nowitzki,2011,True,False
10,Russell Westbrook,2011,True,False
11,Kevin Love,2011,True,False
12,LeBron James,2011,True,True
13,Derrick Rose,2011,True,True
14,Amar'e Stoudemire,2011,True,True
15,Dwight Howard,2011,True,True
16,Dwyane Wade,2011,True,True
17,Chris Bosh,2011,True,False
18,Rajon Rondo,2011,True,False
19,Joe Johnson,2011,True,False
20,Ray Allen,2011,True,False
21,Paul Pierce,2011,True,False
22,Al Horford,2011,True,False
23,Kevin Garnett,2011,True,False
