,Player,Year,All Star,All Star Starter
0,Kobe Bryant,2007,True,True
1,Tracy McGrady,2007,True,True
2,Dirk Nowitzki,2007,True,True
3,Tim Duncan,2007,True,True
4,Kevin Garnett,2007,True,True
5,Carmelo Anthony,2007,True,False
6,Tony Parker,2007,True,False
7,Shawn Marion,2007,True,False
8,Ray Allen,2007,True,False
9,Amar'e Stoudemire,2007,True,False
10,Josh Howard,2007,True,False
11,Mehmet Okur,2007,True,False
12,LeBron James,2007,True,True
13,Dwyane Wade,2007,True,True
14,Chris Bosh,2007,True,True
15,Gilbert Arenas,2007,True,True
16,Shaquille O'Neal,2007,True,True
17,Jermaine O'Neal,2007,True,False
18,Dwight Howard,2007,True,False
19,Joe Johnson,2007,True,False
20,Chauncey Billups,2007,True,False
21,Vince Carter,2007,True,False
22,Caron Butler,2007,True,False
23,Richard Hamilton,2007,True,False
