,Player,Year,All Star,All Star Starter
0,LeBron James,2018,True,True
1,Kevin Durant,2018,True,True
2,Russell Westbrook,2018,True,True
3,Kyrie Irving,2018,True,True
4,Anthony Davis,2018,True,True
5,Paul George,2018,True,False
6,Andre Drummond,2018,True,False
7,Bradley Beal,2018,True,False
8,Victor Oladipo,2018,True,False
9,Kemba Walker,2018,True,False
10,Goran Dragić,2018,True,False
11,LaMarcus Aldridge,2018,True,False
12,James Harden,2018,True,True
13,DeMar DeRozan,2018,True,True
14,Stephen Curry,2018,True,True
15,Giannis Antetokounmpo,2018,True,True
16,Joel Embiid,2018,True,True
17,Kyle Lowry,2018,True,False
18,Klay Thompson,2018,True,False
19,Damian Lillard,2018,True,False
20,Draymond Green,2018,True,False
21,Karl-Anthony Towns,2018,True,False
22,Al Horford,2018,True,False
