,Player,Year,All Star,All Star Starter
0,Anfernee Hardaway,1996,True,True
1,Shaquille O'Neal,1996,True,True
2,Grant Hill,1996,True,True
3,Scottie Pippen,1996,True,True
4,Michael Jordan,1996,True,True
5,Terrell Brandon,1996,True,False
6,Reggie Miller,1996,True,False
7,Juwan Howard,1996,True,False
8,Glen Rice,1996,True,False
9,Vin Baker,1996,True,False
10,Alonzo Mourning,1996,True,False
11,Patrick Ewing,1996,True,False
12,Shawn Kemp,1996,True,True
13,Jason Kidd,1996,True,True
14,Clyde Drexler,1996,True,True
15,Charles Barkley,1996,True,True
16,Hakeem Olajuwon,1996,True,True
17,Gary Payton,1996,True,False
18,Mitch Richmond,1996,True,False
19,David Robinson,1996,True,False
20,Sean Elliott,1996,True,False
21,Karl Malone,1996,True,False
22,John Stockton,1996,True,False
23,Dikembe Mutombo,1996,True,False
