,Player,Year,All Star,All Star Starter
0,Isiah Thomas,1983,True,True
1,Larry Bird,1983,True,True
2,Julius Erving,1983,True,True
3,Moses Malone,1983,True,True
4,Maurice Cheeks,1983,True,True
5,Sidney Moncrief,1983,True,False
6,Marques Johnson,1983,True,False
7,Buck Williams,1983,True,False
8,Robert Parish,1983,True,False
9,Andrew Toney,1983,True,False
10,Reggie Theus,1983,True,False
11,Bill Laimbeer,1983,True,False
12,Magic Johnson,1983,True,True
13,Kareem Abdul-Jabbar,1983,True,True
14,Maurice Lucas,1983,True,True
15,Alex English,1983,True,True
16,David Thompson,1983,True,True
17,Jim Paxson,1983,True,False
18,Jack Sikma,1983,True,False
19,Artis Gilmore,1983,True,False
20,Jamaal Wilkes,1983,True,False
21,Gus Williams,1983,True,False
22,George Gervin,1983,True,False
23,Kiki Vandeweghe,1983,True,False
