,Player,Year,All Star,All Star Starter
0,Magic Johnson,1985,True,True
1,Ralph Sampson,1985,True,True
2,George Gervin,1985,True,True
3,Kareem Abdul-Jabbar,1985,True,True
4,Adrian Dantley,1985,True,True
5,Rolando Blackman,1985,True,False
6,Norm Nixon,1985,True,False
7,Larry Nance,1985,True,False
8,Hakeem Olajuwon,1985,True,False
9,Alex English,1985,True,False
10,Jack Sikma,1985,True,False
11,Calvin Natt,1985,True,False
12,Moses Malone,1985,True,True
13,Larry Bird,1985,True,True
14,Isiah Thomas,1985,True,True
15,Julius Erving,1985,True,True
16,Michael Jordan,1985,True,True
17,Bernard King,1985,True,False
18,Sidney Moncrief,1985,True,False
19,Terry Cummings,1985,True,False
20,Micheal Ray Richardson,1985,True,False
21,Dennis Johnson,1985,True,False
22,Bill Laimbeer,1985,True,False
23,Robert Parish,1985,True,False
