,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Los Angeles Lakers*,82,240.6,42.9,91.8,0.467,1.5,5.3,0.283,41.4,86.6,0.479,21.1,27.6,0.764,15.6,26.5,42.1,27.0,8.8,4.9,16.7,24.4,108.5,27.8,65.0,17.0,9.3,-0.99,8.32,115.6,106.5,9.1,101.6,0.352,0.062,0.577,1987
1,Boston Celtics*,82,241.5,42.3,91.5,0.463,1.5,4.9,0.306,40.8,86.5,0.472,19.9,26.2,0.758,15.1,27.9,43.0,25.1,8.8,4.1,14.1,23.3,106.0,29.4,59.0,23.0,6.65,-0.08,6.57,113.5,106.8,6.7,98.6,0.305,0.08,0.577,1987
2,Atlanta Hawks*,82,240.6,38.5,85.3,0.451,1.6,5.2,0.3,37.0,80.1,0.461,24.2,31.7,0.765,14.6,27.8,42.4,23.4,7.5,4.7,16.0,24.8,102.8,26.1,57.0,25.0,7.23,-0.05,7.18,112.6,105.2,7.4,97.4,0.373,0.06,0.543,1987
3,Dallas Mavericks*,82,242.4,43.7,91.5,0.478,1.6,5.3,0.295,42.2,86.2,0.489,21.3,28.0,0.763,15.3,29.1,44.4,28.1,7.0,5.1,16.2,26.0,110.4,26.4,55.0,27.0,6.3,-0.77,5.54,114.9,108.7,6.2,100.5,0.369,0.089,0.558,1987
4,Detroit Pistons*,82,241.8,41.2,89.1,0.462,1.6,5.1,0.317,39.5,84.0,0.471,23.8,31.8,0.748,13.9,28.5,42.5,24.7,8.2,5.8,15.8,25.2,107.8,26.8,52.0,30.0,3.44,0.07,3.51,109.2,105.8,3.4,101.0,0.36,0.023,0.544,1987
5,Milwaukee Bucks*,82,241.2,39.6,84.2,0.47,1.5,5.1,0.289,38.1,79.2,0.482,25.8,34.1,0.757,14.5,30.2,44.7,24.6,8.0,5.6,18.9,24.7,106.5,27.7,50.0,32.0,3.91,0.12,4.04,109.5,105.6,3.9,100.3,0.35,0.079,0.539,1987
6,Portland Trail Blazers*,82,241.5,44.5,91.7,0.485,1.4,5.1,0.276,43.1,86.6,0.497,24.3,31.6,0.771,14.7,27.8,42.5,26.7,9.0,5.8,18.3,27.2,114.8,26.9,49.0,33.0,3.13,-0.57,2.57,111.5,108.6,2.9,105.0,0.404,0.047,0.566,1987
7,Philadelphia 76ers*,82,242.4,43.1,87.9,0.491,1.5,5.1,0.286,41.7,82.8,0.504,18.9,25.0,0.757,14.8,26.9,41.7,26.9,9.9,5.4,16.7,24.2,106.6,26.6,45.0,37.0,-0.2,0.31,0.11,108.3,108.5,-0.2,97.3,0.385,0.05,0.549,1987
8,Utah Jazz*,82,240.9,40.8,89.5,0.456,1.7,5.5,0.317,39.1,84.0,0.465,24.1,31.3,0.77,16.0,32.2,48.1,24.5,8.8,5.6,19.3,24.3,107.5,26.9,44.0,38.0,0.4,-0.36,0.04,104.1,103.7,0.4,103.2,0.318,0.06,0.516,1987
9,Golden State Warriors*,82,242.7,44.1,89.5,0.493,1.9,5.6,0.337,42.2,83.9,0.503,24.3,32.5,0.749,15.2,30.3,45.5,26.5,8.4,5.5,17.2,25.0,114.4,26.9,42.0,40.0,-2.34,-0.2,-2.54,108.9,111.2,-2.3,101.7,0.341,0.049,0.539,1987
