,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,San Antonio Spurs*,82,242.1,38.6,85.0,0.454,5.2,15.3,0.341,33.4,69.8,0.479,18.2,25.5,0.714,12.4,28.1,40.5,22.9,7.7,5.0,14.4,25.2,100.6,29.0,62.0,20.0,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.372,0.173,0.562,1995
1,Utah Jazz*,82,241.2,34.7,76.6,0.453,6.7,17.5,0.382,28.0,59.2,0.474,22.4,30.2,0.741,11.2,25.9,37.1,20.9,7.9,5.2,16.5,25.0,98.4,29.6,60.0,22.0,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.587,1995
2,Phoenix Suns*,82,241.8,40.5,84.9,0.477,6.4,18.8,0.34,34.1,66.1,0.516,19.4,26.1,0.744,12.7,29.6,42.3,26.2,8.0,4.8,15.7,24.7,106.8,29.2,59.0,23.0,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.338,0.227,0.567,1995
3,Orlando Magic*,82,243.0,39.5,86.5,0.457,5.7,15.1,0.378,33.8,71.4,0.474,19.0,25.7,0.741,13.9,27.1,41.0,24.2,8.5,4.5,15.0,23.8,103.8,26.6,57.0,25.0,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.357,0.205,0.569,1995
4,Seattle SuperSonics*,82,241.8,36.7,80.9,0.453,6.3,18.5,0.343,30.3,62.5,0.486,22.5,30.7,0.735,13.0,26.9,39.9,22.5,8.0,6.0,18.1,24.7,102.2,28.7,57.0,25.0,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.194,0.575,1995
5,New York Knicks*,82,241.2,34.1,78.2,0.437,4.8,14.2,0.341,29.3,64.0,0.458,22.0,29.9,0.736,12.5,28.3,40.7,19.3,7.8,4.0,15.4,23.3,95.1,29.4,55.0,27.0,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,1995
6,Indiana Pacers*,82,241.2,35.6,78.1,0.456,5.8,15.9,0.364,29.8,62.2,0.479,18.5,25.5,0.726,12.8,26.3,39.1,22.0,8.4,5.1,16.7,25.1,95.5,28.7,52.0,30.0,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.383,0.158,0.557,1995
7,Charlotte Hornets*,82,241.5,37.7,83.0,0.454,5.2,15.7,0.333,32.4,67.3,0.482,16.8,22.7,0.74,13.4,28.8,42.3,23.1,6.5,4.5,14.8,22.7,97.3,28.0,50.0,32.0,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,1995
8,Los Angeles Lakers*,82,242.7,40.2,86.0,0.468,5.6,15.8,0.352,34.7,70.2,0.494,19.3,27.2,0.708,15.6,30.2,45.8,26.9,7.9,6.0,17.0,22.0,105.3,25.9,48.0,34.0,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,1995
9,Houston Rockets*,82,240.6,39.0,86.1,0.453,6.2,16.4,0.376,32.9,69.7,0.472,17.2,22.9,0.751,14.2,29.1,43.3,23.7,9.1,4.5,15.5,21.7,101.4,28.5,47.0,35.0,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,1995
10,Chicago Bulls*,82,241.8,35.6,78.0,0.457,4.9,14.0,0.349,30.8,64.0,0.48,20.5,27.8,0.738,13.0,27.5,40.5,20.9,8.4,4.5,18.1,23.1,96.7,28.1,47.0,35.0,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.308,0.177,0.546,1995
11,Portland Trail Blazers*,82,240.3,36.0,78.8,0.456,5.4,14.5,0.372,30.6,64.3,0.476,21.9,29.0,0.754,10.8,28.0,38.8,21.8,7.8,4.9,15.9,23.6,99.2,29.3,44.0,38.0,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.313,0.177,0.521,1995
12,Cleveland Cavaliers*,82,243.0,34.2,74.2,0.461,4.8,13.5,0.357,29.4,60.7,0.484,16.6,22.0,0.757,10.4,27.4,37.8,22.1,6.8,5.3,14.8,21.6,89.8,28.3,43.0,39.0,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,1995
13,Atlanta Hawks*,82,242.1,36.6,79.1,0.463,5.1,14.8,0.347,31.5,64.3,0.489,17.0,23.4,0.726,12.8,29.2,42.0,21.1,7.4,3.9,16.6,22.1,95.3,28.2,42.0,40.0,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,1995
14,Denver Nuggets*,82,243.7,37.2,81.6,0.456,5.1,14.7,0.347,32.1,66.9,0.479,21.0,28.0,0.75,12.5,26.9,39.4,21.8,7.8,5.6,14.2,23.9,100.5,26.6,41.0,41.0,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.357,0.18,0.556,1995
15,Sacramento Kings,82,242.1,36.1,79.9,0.453,4.6,15.1,0.304,31.5,64.7,0.487,22.4,30.2,0.741,14.0,27.7,41.6,22.2,9.2,6.3,16.4,24.8,99.2,26.4,39.0,43.0,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.359,0.16,0.538,1995
16,Dallas Mavericks,82,243.0,41.5,85.1,0.488,5.3,14.4,0.366,36.3,70.7,0.513,17.7,24.2,0.734,12.8,29.0,41.9,24.3,8.8,6.1,15.2,23.5,106.1,24.3,36.0,46.0,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,1995
17,Boston Celtics*,82,241.5,40.3,83.2,0.484,4.6,12.8,0.358,35.7,70.4,0.507,19.5,27.1,0.72,13.0,28.5,41.5,24.4,8.0,5.5,15.0,23.4,104.7,27.2,35.0,47.0,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.144,0.537,1995
18,Milwaukee Bucks,82,242.1,39.6,80.4,0.493,6.0,15.1,0.395,33.6,65.2,0.516,18.5,25.4,0.729,12.4,28.5,40.9,25.6,9.4,5.0,16.6,24.1,103.7,25.7,34.0,48.0,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.343,0.205,0.537,1995
