,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics*,82,242.4,41.9,89.2,0.47,0.9,3.2,0.286,41.0,86.0,0.477,20.9,27.1,0.77,14.2,28.0,42.2,22.8,8.4,5.1,19.9,25.1,105.7,27.3,61.0,21.0,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,1980
1,Los Angeles Lakers*,82,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980
2,Philadelphia 76ers*,82,242.1,42.0,92.2,0.455,0.9,3.4,0.271,41.1,88.8,0.463,20.0,26.2,0.765,16.1,28.7,44.8,25.5,10.7,4.7,19.0,25.6,104.9,27.0,59.0,23.0,4.22,-0.18,4.04,105.0,101.0,4.0,103.0,0.34,0.017,0.544,1980
3,Seattle SuperSonics*,82,241.8,41.6,90.5,0.459,0.7,2.9,0.246,40.8,87.6,0.466,20.0,26.2,0.764,14.7,29.4,44.0,24.6,8.9,4.8,18.5,24.4,103.8,27.0,56.0,26.0,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,1980
4,Phoenix Suns*,82,240.9,43.5,91.2,0.476,1.2,3.6,0.337,42.2,87.6,0.482,19.4,25.8,0.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980
5,Atlanta Hawks*,82,241.2,38.3,83.8,0.458,0.6,2.2,0.251,37.8,81.6,0.463,24.4,31.9,0.765,15.4,28.5,43.9,21.4,8.3,6.8,20.2,26.5,101.6,26.1,50.0,32.0,2.91,-0.09,2.83,105.2,102.3,2.9,98.9,0.376,0.011,0.523,1980
6,Milwaukee Bucks*,82,241.5,42.1,91.3,0.462,0.9,3.7,0.249,41.2,87.6,0.471,20.9,27.7,0.753,16.6,28.0,44.5,26.3,8.7,4.4,20.0,23.3,106.1,25.3,49.0,33.0,3.94,-0.37,3.57,106.8,102.9,3.9,102.4,0.278,0.021,0.532,1980
7,Kansas City Kings*,82,241.5,40.6,85.3,0.476,0.5,2.1,0.238,40.1,83.2,0.482,23.2,30.5,0.763,13.9,32.2,46.1,21.7,8.5,5.2,21.5,25.3,104.9,25.5,47.0,35.0,3.13,-0.32,2.82,104.0,101.0,3.0,103.2,0.3,0.015,0.522,1980
8,Houston Rockets*,82,243.0,44.6,90.0,0.496,0.7,2.6,0.27,43.9,87.4,0.502,20.7,26.3,0.788,15.7,28.3,44.0,27.1,9.5,5.2,19.5,25.0,110.6,27.3,41.0,41.0,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.051,0.533,1980
9,San Antonio Spurs*,82,240.9,48.8,97.5,0.5,1.1,3.5,0.306,47.7,94.0,0.507,21.1,27.8,0.758,15.2,30.1,45.4,30.9,10.1,5.6,18.5,26.7,119.7,26.9,41.0,41.0,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,0.327,0.027,0.553,1980
