,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Philadelphia 76ers*,82,241.8,42.0,91.1,0.461,0.7,3.0,0.217,41.3,88.1,0.469,19.8,27.5,0.721,16.2,27.6,43.8,25.5,9.2,6.2,19.4,27.4,104.4,26.7,65.0,17.0,7.67,-0.14,7.53,108.3,100.9,7.4,102.7,0.367,0.015,0.549,1983
1,Los Angeles Lakers*,82,240.6,45.5,92.9,0.49,0.7,2.6,0.259,44.9,90.3,0.497,17.7,24.5,0.725,15.8,26.4,42.2,29.1,9.3,4.6,19.0,22.7,109.5,26.9,58.0,24.0,5.55,-0.49,5.06,110.5,105.2,5.3,103.8,0.27,0.013,0.561,1983
2,Boston Celtics*,82,241.8,42.4,90.3,0.47,0.6,2.2,0.267,41.8,88.1,0.475,21.3,28.1,0.759,14.5,29.2,43.6,24.7,8.5,4.1,19.6,26.1,106.7,27.3,56.0,26.0,5.35,-0.01,5.34,106.9,101.8,5.1,104.0,0.311,0.025,0.536,1983
3,Phoenix Suns*,82,240.6,40.3,88.6,0.455,0.5,2.4,0.221,39.8,86.2,0.462,20.8,27.7,0.753,14.8,28.4,43.1,24.2,8.7,4.2,19.0,24.9,102.0,26.6,53.0,29.0,5.06,-0.45,4.61,105.1,100.1,5.0,101.6,0.306,0.022,0.54,1983
4,San Antonio Spurs*,82,241.2,44.6,91.8,0.485,0.6,2.5,0.254,43.9,89.4,0.492,20.9,27.3,0.766,14.1,27.6,41.7,28.4,8.0,5.6,17.4,26.8,110.7,27.2,53.0,29.0,3.66,-0.56,3.1,110.1,106.6,3.5,103.3,0.336,0.042,0.556,1983
5,Milwaukee Bucks*,82,241.8,40.7,89.2,0.456,0.5,2.5,0.182,40.2,86.7,0.464,20.3,27.4,0.742,15.9,28.6,44.5,24.9,7.6,3.7,18.6,26.2,102.2,28.1,51.0,31.0,4.4,-0.08,4.32,105.8,101.4,4.4,100.0,0.322,0.024,0.537,1983
6,New Jersey Nets*,82,240.3,40.6,84.9,0.478,0.5,2.5,0.216,40.0,82.4,0.486,21.3,28.9,0.737,13.4,26.5,40.0,24.1,10.5,6.0,22.8,26.0,103.0,25.2,49.0,33.0,2.77,0.01,2.77,101.6,98.9,2.7,104.0,0.322,0.021,0.532,1983
7,Seattle SuperSonics*,82,241.5,43.2,93.9,0.46,0.6,2.4,0.249,42.6,91.5,0.466,19.7,26.6,0.739,16.0,29.2,45.3,26.2,8.9,4.4,17.6,26.2,106.8,27.4,48.0,34.0,3.21,-0.33,2.88,105.9,102.8,3.1,103.2,0.338,0.019,0.539,1983
8,Portland Trail Blazers*,82,240.9,42.7,87.9,0.486,0.7,2.3,0.293,42.0,85.6,0.491,19.2,25.0,0.768,13.7,28.8,42.6,25.3,8.0,6.1,18.9,27.2,105.3,25.5,46.0,36.0,2.13,-0.25,1.88,106.0,103.9,2.1,101.0,0.353,0.021,0.535,1983
9,Kansas City Kings,82,241.2,43.1,88.4,0.487,0.5,2.3,0.213,42.6,86.1,0.494,25.7,35.2,0.73,15.2,29.3,44.5,24.4,9.9,5.4,20.9,27.4,112.3,24.5,45.0,37.0,1.45,-0.41,1.04,106.2,104.9,1.3,106.6,0.338,0.029,0.542,1983
10,Denver Nuggets*,82,240.6,50.0,99.0,0.505,0.9,3.1,0.281,49.1,95.9,0.512,21.8,29.2,0.747,16.7,32.9,49.6,29.1,8.9,7.5,20.0,28.7,122.6,27.2,45.0,37.0,0.62,-0.36,0.27,109.7,109.1,0.6,112.1,0.337,0.016,0.55,1983
11,New York Knicks*,82,241.5,38.2,80.4,0.475,0.5,2.0,0.229,37.7,78.4,0.481,20.7,27.6,0.75,13.1,28.5,41.6,22.8,8.5,4.9,20.5,25.8,97.5,26.5,44.0,38.0,2.45,0.13,2.58,102.4,99.9,2.5,97.0,0.336,0.019,0.526,1983
12,Atlanta Hawks*,82,241.2,41.3,87.8,0.47,0.5,2.0,0.235,40.8,85.8,0.475,19.6,27.3,0.719,15.9,31.4,47.2,23.5,8.0,4.7,17.9,24.2,102.6,26.6,43.0,39.0,-0.95,0.23,-0.72,102.2,103.2,-1.0,98.9,0.295,0.026,0.516,1983
13,Washington Bullets,82,241.5,40.2,85.9,0.468,0.5,2.0,0.227,39.8,83.9,0.474,18.4,25.4,0.725,13.6,30.7,44.2,22.8,8.5,6.8,18.8,24.1,99.3,25.8,42.0,40.0,-0.13,0.33,0.2,99.1,99.3,-0.2,99.4,0.292,0.034,0.511,1983
14,Dallas Mavericks,82,240.6,45.8,91.2,0.502,0.6,2.5,0.262,45.2,88.8,0.509,20.8,28.6,0.728,14.8,29.7,44.5,27.9,7.4,6.9,16.9,27.2,113.1,24.2,38.0,44.0,-0.41,-0.29,-0.7,109.4,109.8,-0.4,102.8,0.326,0.025,0.535,1983
15,Detroit Pistons,82,242.4,46.4,93.6,0.495,0.3,2.2,0.115,46.1,91.4,0.504,20.1,27.9,0.72,15.4,31.6,47.1,27.5,9.3,6.8,19.3,28.4,113.1,24.6,37.0,45.0,-0.4,0.24,-0.17,105.4,105.8,-0.4,105.8,0.34,0.036,0.529,1983
16,Golden State Warriors,82,241.2,45.2,88.5,0.51,0.5,2.0,0.251,44.7,86.5,0.517,21.4,29.2,0.732,15.2,30.4,45.7,26.5,9.2,6.0,20.6,24.7,112.3,24.7,30.0,52.0,-3.62,0.14,-3.48,103.9,107.4,-3.5,104.0,0.293,0.02,0.526,1983
17,Utah Jazz,82,240.9,46.3,96.7,0.478,0.6,2.4,0.241,45.7,94.3,0.484,20.1,27.9,0.719,17.5,32.6,50.1,26.9,10.1,5.5,19.5,25.6,113.2,25.8,30.0,52.0,-4.2,-0.03,-4.22,101.2,105.1,-3.9,107.3,0.332,0.025,0.531,1983
18,Chicago Bulls,82,242.7,46.5,94.0,0.495,0.6,2.1,0.261,46.0,91.9,0.5,22.3,29.7,0.749,14.6,30.0,44.5,27.2,10.3,7.7,17.8,27.6,115.9,24.5,28.0,54.0,-4.89,0.48,-4.41,103.4,108.0,-4.6,106.1,0.365,0.028,0.532,1983
19,San Diego Clippers,82,241.8,44.5,84.3,0.529,0.4,1.6,0.246,44.1,82.7,0.534,23.9,32.0,0.748,13.4,28.8,42.2,25.7,9.6,6.3,21.0,23.9,113.4,24.8,25.0,57.0,-4.83,0.22,-4.61,104.7,109.3,-4.6,103.0,0.288,0.034,0.518,1983
20,Cleveland Cavaliers,82,240.9,41.2,84.3,0.489,0.4,1.8,0.219,40.8,82.5,0.495,21.7,29.2,0.743,11.9,29.0,40.9,24.5,7.6,5.3,15.5,22.3,104.6,26.4,23.0,59.0,-7.44,0.66,-6.78,99.2,106.8,-7.6,97.6,0.283,0.017,0.506,1983
21,Indiana Pacers,82,241.8,46.0,88.8,0.517,0.5,1.7,0.282,45.5,87.1,0.522,22.1,29.4,0.752,14.7,31.3,46.0,27.3,9.3,5.4,20.0,23.0,114.5,24.9,20.0,62.0,-5.85,0.49,-5.36,103.8,109.4,-5.6,103.9,0.247,0.031,0.52,1983
22,Houston Rockets,82,240.6,44.4,88.3,0.503,0.4,1.5,0.264,44.0,86.8,0.507,21.7,29.0,0.75,14.6,33.0,47.7,27.5,9.4,5.0,18.3,23.6,110.9,29.0,14.0,68.0,-11.6,0.48,-11.12,97.0,108.3,-11.3,102.2,0.26,0.036,0.491,1983
23,League Average 1983,82,241.3,43.5,89.7,0.485,0.5,2.3,0.238,43.0,87.4,0.492,20.9,28.3,0.74,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5,26.2,,,0.0,0.0,0.0,104.7,104.7,,103.1,0.315,0.025,0.531,1983
