,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Houston Rockets*,82,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,29.8,65.0,17.0,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,2018
1,Toronto Raptors*,82,241.8,41.3,87.4,0.472,11.8,33.0,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,25.8,59.0,23.0,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,2018
2,Golden State Warriors*,82,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,28.8,58.0,24.0,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.339,0.603,2018
3,Boston Celtics*,82,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16.0,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,24.7,55.0,27.0,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.357,0.552,2018
4,Philadelphia 76ers*,82,241.2,40.8,86.6,0.472,11.0,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,25.8,52.0,30.0,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,2018
5,Cleveland Cavaliers*,82,240.6,40.4,84.8,0.476,12.0,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,30.6,50.0,32.0,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,2018
6,Portland Trail Blazers*,82,240.9,39.3,87.0,0.452,10.3,28.1,0.366,29.0,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,25.6,49.0,33.0,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,2018
7,Oklahoma City Thunder*,82,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,27.3,48.0,34.0,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,2018
8,Utah Jazz*,82,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,26.7,48.0,34.0,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,2018
9,Indiana Pacers*,82,240.9,40.8,86.4,0.472,9.0,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,26.2,48.0,34.0,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,2018
10,New Orleans Pelicans*,82,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,27.6,48.0,34.0,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,2018
11,Minnesota Timberwolves*,82,241.5,41.0,86.1,0.476,8.0,22.5,0.357,33.0,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,27.1,47.0,35.0,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.566,2018
12,San Antonio Spurs*,82,240.6,39.0,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,29.3,47.0,35.0,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.543,2018
13,Denver Nuggets,82,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,25.1,46.0,36.0,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.258,0.357,0.57,2018
14,Milwaukee Bucks*,82,241.8,39.7,83.0,0.478,8.8,24.7,0.355,31.0,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,25.9,44.0,38.0,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,2018
15,Miami Heat*,82,243.0,38.8,85.3,0.455,11.0,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,26.5,44.0,38.0,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,2018
16,Washington Wizards*,82,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30.0,59.1,0.508,16.8,21.8,0.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,26.9,43.0,39.0,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,2018
17,Los Angeles Clippers,82,240.3,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19.0,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,27.0,42.0,40.0,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,2018
18,Detroit Pistons,82,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58.0,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,25.9,39.0,43.0,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,2018
19,Charlotte Hornets,82,241.2,39.0,86.7,0.45,10.0,27.2,0.369,28.9,59.4,0.487,20.2,27.0,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,26.6,36.0,46.0,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,2018
