,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Phoenix Suns*,82,241.2,40.6,91.3,0.445,6.0,18.0,0.335,34.6,73.3,0.472,16.1,21.6,0.744,15.0,31.1,46.1,21.2,7.6,4.2,13.8,21.3,103.3,25.2,62.0,20.0,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,0.296,0.289,0.571,2005
1,Miami Heat*,82,243.7,34.9,81.8,0.427,5.4,15.5,0.348,29.6,66.3,0.446,19.8,26.0,0.76,11.2,29.2,40.5,19.8,7.5,3.2,13.2,24.6,95.0,28.0,59.0,23.0,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,0.387,0.198,0.559,2005
2,San Antonio Spurs*,82,241.5,33.1,77.5,0.426,3.9,10.7,0.367,29.1,66.8,0.436,18.3,23.8,0.768,10.9,29.3,40.2,16.9,7.2,5.1,15.1,23.1,88.4,28.5,59.0,23.0,7.8,0.03,7.84,107.5,98.8,8.7,88.9,0.329,0.216,0.534,2005
3,Dallas Mavericks*,82,240.6,35.9,81.9,0.438,5.5,16.7,0.33,30.4,65.2,0.466,19.5,25.9,0.754,13.1,30.1,43.2,20.9,7.1,4.9,15.6,23.2,96.8,27.7,58.0,24.0,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.346,0.19,0.545,2005
4,Detroit Pistons*,82,243.4,34.0,79.2,0.43,5.0,14.8,0.338,29.0,64.4,0.451,16.4,21.8,0.751,11.3,28.3,39.6,19.7,7.4,4.5,13.8,22.6,89.5,27.9,54.0,28.0,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,0.335,0.164,0.519,2005
5,Seattle SuperSonics*,82,240.9,35.8,77.8,0.459,5.7,16.1,0.357,30.0,61.8,0.486,19.4,25.9,0.749,11.3,26.5,37.9,20.7,6.2,4.8,13.2,23.8,96.6,26.0,52.0,30.0,2.29,0.3,2.59,112.2,109.6,2.6,87.9,0.328,0.281,0.546,2005
6,Houston Rockets*,82,242.1,33.2,78.3,0.423,5.5,16.4,0.338,27.6,62.0,0.446,19.2,25.8,0.742,10.9,29.8,40.7,20.7,7.4,4.1,13.3,21.6,91.0,29.7,51.0,31.0,4.04,0.23,4.27,106.2,101.7,4.5,88.8,0.309,0.237,0.534,2005
7,Sacramento Kings*,82,242.1,38.9,84.6,0.459,5.7,16.1,0.357,33.1,68.6,0.483,18.1,24.5,0.738,13.4,30.9,44.3,21.5,7.6,4.5,14.7,21.5,101.6,27.7,50.0,32.0,2.16,0.4,2.56,110.5,108.2,2.3,93.0,0.287,0.2,0.541,2005
8,Denver Nuggets*,82,240.9,36.0,80.6,0.447,5.6,16.4,0.345,30.3,64.2,0.472,19.9,26.7,0.746,11.9,29.8,41.7,21.7,7.8,5.6,16.4,23.9,97.5,26.7,49.0,33.0,2.02,0.2,2.23,106.0,103.9,2.1,93.5,0.35,0.142,0.535,2005
9,Chicago Bulls*,82,241.8,33.7,79.9,0.422,5.1,15.2,0.334,28.6,64.7,0.443,20.9,28.1,0.744,11.9,30.8,42.7,20.9,8.4,5.3,15.5,23.3,93.4,25.0,47.0,35.0,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,0.311,0.217,0.517,2005
