,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Sacramento Kings*,82,240.9,38.1,86.7,0.44,4.7,14.0,0.337,33.4,72.7,0.46,16.0,21.5,0.744,13.0,31.9,44.9,22.4,7.7,4.7,15.2,22.3,97.0,27.0,61.0,21.0,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.308,0.166,0.539,2002
1,Los Angeles Lakers*,82,241.2,35.0,82.6,0.424,4.9,15.4,0.317,30.2,67.3,0.448,19.2,25.3,0.761,12.4,30.8,43.2,20.0,7.2,4.3,14.0,23.0,94.1,27.9,58.0,24.0,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,2002
2,San Antonio Spurs*,82,242.1,35.2,82.6,0.426,4.6,13.5,0.338,30.6,69.1,0.443,15.6,20.1,0.777,12.2,29.6,41.9,18.8,7.7,5.2,14.5,23.1,90.5,28.5,58.0,24.0,6.21,0.07,6.28,106.5,99.7,6.8,90.0,0.353,0.19,0.539,2002
3,Dallas Mavericks*,82,242.4,37.7,83.5,0.452,5.5,15.8,0.35,32.2,67.8,0.475,20.0,26.6,0.751,13.0,31.7,44.7,22.7,7.2,4.6,14.1,21.8,101.0,27.6,57.0,25.0,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.288,0.237,0.553,2002
4,New Jersey Nets*,82,241.8,34.9,81.3,0.429,5.0,14.3,0.348,29.9,67.0,0.446,17.4,23.0,0.753,12.2,30.7,42.9,19.1,8.2,5.4,16.1,20.3,92.0,26.1,52.0,30.0,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.175,0.515,2002
5,Minnesota Timberwolves*,82,241.5,36.1,81.1,0.445,6.0,16.1,0.372,30.1,65.0,0.463,17.7,23.9,0.742,11.1,28.4,39.5,22.6,6.6,5.0,13.4,20.4,96.0,26.7,50.0,32.0,3.38,0.2,3.58,109.0,105.3,3.7,90.5,0.255,0.152,0.532,2002
6,Detroit Pistons*,82,240.0,35.7,79.8,0.447,4.4,12.1,0.362,31.3,67.7,0.462,16.5,21.8,0.755,12.1,30.6,42.7,20.0,7.9,4.1,15.5,22.9,92.2,29.5,50.0,32.0,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,2002
7,Portland Trail Blazers*,82,241.8,36.0,79.4,0.453,5.7,15.7,0.363,30.3,63.7,0.476,16.0,21.6,0.741,10.9,28.4,39.2,23.7,7.5,5.0,14.7,20.1,93.7,29.0,49.0,33.0,2.99,0.22,3.21,107.4,104.0,3.4,89.3,0.285,0.198,0.528,2002
8,Boston Celtics*,82,241.8,34.1,80.2,0.425,6.3,18.4,0.34,27.8,61.8,0.45,19.7,25.5,0.771,11.6,34.2,45.9,22.0,7.6,5.8,16.3,21.1,94.1,26.2,49.0,33.0,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.291,0.289,0.52,2002
9,Seattle SuperSonics*,82,241.8,36.2,80.5,0.449,5.8,16.8,0.344,30.4,63.8,0.477,16.6,22.5,0.739,13.3,28.4,41.7,22.3,6.9,4.9,15.3,19.8,94.7,26.9,45.0,37.0,3.02,0.22,3.24,108.9,105.6,3.3,89.0,0.25,0.193,0.54,2002
