,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
19,Brooklyn Nets,33,240.8,42.6,91.8,0.464,13.8,36.9,0.375,28.8,54.9,0.523,16.6,21.9,0.758,12.8,34.1,46.8,26.3,6.2,5.6,12.6,18.8,115.6,26.6,15.0,18.0,-0.76,-0.17,-0.93,117.2,118.0,-0.8,98.3,0.239,0.402,0.57,2024
20,Golden State Warriors,32,242.3,41.7,90.8,0.459,14.8,40.3,0.368,26.8,50.5,0.532,18.7,23.5,0.795,13.3,34.0,47.3,28.1,6.9,3.4,15.1,21.2,116.8,29.0,15.0,17.0,0.47,1.35,1.82,116.6,116.2,0.4,99.2,0.259,0.444,0.578,2024
21,Chicago Bulls,34,242.9,40.8,89.6,0.455,11.7,32.6,0.359,29.1,57.0,0.51,16.6,21.2,0.786,11.7,31.5,43.2,23.5,8.0,4.7,12.0,19.5,109.9,28.0,15.0,19.0,-2.15,0.61,-1.54,113.3,115.5,-2.2,95.8,0.236,0.364,0.555,2024
22,Toronto Raptors,33,241.5,42.9,90.2,0.475,11.5,33.1,0.347,31.4,57.2,0.55,16.7,22.6,0.736,12.0,32.7,44.7,29.3,7.6,4.8,13.7,18.5,114.0,26.5,13.0,20.0,-1.21,0.06,-1.15,114.6,115.9,-1.3,98.8,0.251,0.367,0.569,2024
23,Atlanta Hawks,32,240.8,44.0,93.6,0.47,14.4,38.7,0.371,29.6,54.8,0.54,19.8,24.1,0.823,13.1,31.5,44.6,26.0,8.1,4.4,13.7,19.2,122.2,26.3,13.0,19.0,-0.5,-0.2,-0.7,120.1,120.6,-0.5,101.4,0.257,0.414,0.587,2024
24,Memphis Grizzlies,32,241.6,38.9,89.2,0.436,12.9,38.8,0.332,26.1,50.5,0.516,16.0,20.8,0.77,9.8,32.0,41.8,24.0,7.5,6.4,14.6,20.6,106.8,25.2,10.0,22.0,-7.09,0.26,-6.83,106.6,113.7,-7.1,99.5,0.233,0.434,0.543,2024
25,Portland Trail Blazers,32,242.3,39.8,90.7,0.438,12.3,34.4,0.356,27.5,56.2,0.489,17.0,21.4,0.795,12.6,29.0,41.6,22.5,8.5,4.6,15.2,20.5,108.8,24.5,9.0,23.0,-6.25,-0.99,-7.24,109.7,116.0,-6.3,98.2,0.236,0.38,0.543,2024
26,Charlotte Hornets,31,240.8,41.6,89.5,0.465,11.3,31.5,0.359,30.3,58.0,0.523,15.4,19.5,0.788,10.7,30.5,41.3,25.4,6.7,4.8,13.8,19.5,110.0,25.3,7.0,24.0,-11.1,0.57,-10.53,111.0,122.2,-11.2,98.8,0.218,0.352,0.561,2024
27,Washington Wizards,32,240.0,43.8,90.6,0.483,12.5,35.3,0.355,31.3,55.3,0.566,16.5,21.4,0.772,8.2,31.3,39.5,27.7,7.6,5.2,13.7,19.7,116.7,25.4,6.0,26.0,-9.47,0.07,-9.4,112.5,121.6,-9.1,103.8,0.236,0.39,0.583,2024
28,San Antonio Spurs,32,241.6,41.7,91.6,0.455,12.8,37.3,0.343,28.9,54.3,0.533,15.1,19.4,0.779,10.0,33.1,43.1,29.3,7.0,5.8,15.3,18.9,111.3,23.4,5.0,27.0,-12.0,1.23,-10.77,108.1,119.7,-11.6,102.3,0.212,0.407,0.556,2024
29,Detroit Pistons,33,240.8,41.2,88.2,0.467,10.2,29.8,0.34,31.0,58.4,0.531,17.9,22.8,0.787,11.3,32.1,43.4,25.6,6.1,5.1,16.4,22.8,110.4,23.6,3.0,30.0,-11.3,0.97,-10.33,109.4,120.6,-11.2,100.6,0.258,0.338,0.562,2024
30,League Average 2024,33,241.2,42.3,89.3,0.473,12.8,35.0,0.365,29.5,54.4,0.543,18.1,23.0,0.787,10.8,32.8,43.7,26.3,7.4,5.2,13.8,19.7,115.4,26.5,,,0.0,0.0,0.0,115.6,115.6,,99.4,0.257,0.392,0.58,2024
