,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Los Angeles Lakers*,82,241.5,43.3,91.1,0.476,1.6,5.4,0.298,41.7,85.7,0.487,18.8,24.6,0.761,14.3,27.4,41.8,26.8,8.9,4.8,15.2,23.7,107.0,28.9,62.0,20.0,5.84,-1.03,4.81,113.1,107.3,5.8,99.1,0.35,0.068,0.566,1988
1,Boston Celtics*,82,241.2,42.6,88.5,0.482,1.3,4.5,0.301,41.3,84.1,0.491,21.0,27.4,0.767,13.7,26.8,40.4,25.1,9.0,4.2,14.3,24.3,107.7,29.8,57.0,25.0,5.94,0.22,6.15,115.4,109.4,6.0,97.9,0.333,0.102,0.588,1988
2,Detroit Pistons*,82,241.2,40.7,87.0,0.467,1.4,4.8,0.289,39.3,82.2,0.478,21.4,28.0,0.762,14.0,27.8,41.7,24.0,7.9,5.0,16.2,26.4,104.1,27.5,54.0,28.0,5.17,0.29,5.46,110.5,105.3,5.2,98.3,0.372,0.029,0.548,1988
3,Denver Nuggets*,82,241.2,44.0,89.7,0.49,1.4,4.6,0.3,42.6,85.1,0.501,23.3,30.6,0.762,14.4,33.5,47.9,26.5,7.6,6.2,19.6,24.3,112.7,28.7,54.0,28.0,4.07,-0.75,3.32,110.1,106.3,3.8,105.5,0.288,0.071,0.534,1988
4,Dallas Mavericks*,82,240.9,42.3,90.1,0.47,2.0,6.3,0.323,40.3,83.8,0.481,18.3,23.9,0.766,14.6,27.2,41.9,27.3,7.5,5.3,15.0,24.4,104.9,27.0,53.0,29.0,4.37,-0.77,3.59,112.2,107.7,4.5,97.0,0.349,0.073,0.54,1988
5,Portland Trail Blazers*,82,240.6,42.6,89.5,0.476,1.7,5.6,0.305,40.9,83.9,0.487,24.7,32.1,0.768,14.1,29.3,43.3,26.3,7.9,4.6,17.6,26.0,111.5,27.1,53.0,29.0,4.52,-0.94,3.59,111.8,107.4,4.4,103.6,0.362,0.051,0.55,1988
6,Chicago Bulls*,82,242.1,40.0,85.0,0.47,1.3,4.5,0.293,38.6,80.5,0.48,20.4,26.9,0.757,12.5,27.7,40.1,25.4,7.3,5.1,15.2,22.9,101.6,25.5,50.0,32.0,3.4,0.35,3.76,109.0,105.5,3.5,95.5,0.317,0.035,0.539,1988
7,Atlanta Hawks*,82,241.2,39.5,84.0,0.471,1.7,5.0,0.335,37.9,79.0,0.48,23.5,30.2,0.777,14.1,28.7,42.8,24.1,7.8,4.3,16.1,24.5,104.3,26.8,50.0,32.0,3.6,0.42,4.02,111.3,107.6,3.7,96.4,0.344,0.04,0.541,1988
8,Utah Jazz*,82,240.3,39.9,88.8,0.449,1.8,5.7,0.315,38.1,83.2,0.459,23.2,30.2,0.77,15.6,29.8,45.4,24.3,9.4,5.8,17.9,24.5,104.8,27.3,47.0,35.0,3.68,-0.73,2.96,106.8,103.1,3.7,101.5,0.339,0.057,0.546,1988
9,Houston Rockets*,82,240.0,42.1,90.5,0.465,1.3,4.8,0.275,40.8,85.7,0.476,22.0,28.7,0.767,15.4,30.6,45.9,23.8,9.0,4.5,17.1,24.5,107.6,27.7,46.0,36.0,1.39,-0.57,0.82,107.1,105.7,1.4,101.8,0.338,0.04,0.529,1988
10,Seattle SuperSonics*,82,242.1,40.2,82.9,0.485,1.6,4.9,0.325,38.6,78.0,0.495,27.3,36.5,0.749,13.8,28.1,41.9,24.0,7.4,5.2,18.7,23.9,109.3,25.6,44.0,38.0,2.06,-0.77,1.29,110.2,108.1,2.1,100.2,0.328,0.086,0.536,1988
11,Milwaukee Bucks*,82,241.2,40.8,86.1,0.473,1.6,5.4,0.301,39.2,80.7,0.485,22.3,29.4,0.76,14.3,29.3,43.6,26.0,7.6,5.5,16.4,23.8,105.5,28.6,42.0,40.0,0.54,0.68,1.21,108.2,107.6,0.6,97.6,0.334,0.058,0.536,1988
12,Cleveland Cavaliers*,82,241.2,41.3,86.6,0.476,1.5,4.9,0.318,39.7,81.7,0.486,19.6,24.9,0.788,14.1,27.5,41.6,24.3,8.4,5.5,17.5,24.6,103.7,24.6,42.0,40.0,0.76,0.52,1.28,106.8,106.0,0.8,97.3,0.361,0.05,0.547,1988
13,Indiana Pacers,82,240.3,40.7,86.1,0.472,1.4,4.5,0.321,39.2,81.6,0.481,22.7,29.8,0.76,14.1,30.5,44.6,23.6,8.5,5.0,15.5,22.7,105.4,25.7,38.0,44.0,-0.79,0.62,-0.18,106.6,107.4,-0.8,98.0,0.277,0.068,0.535,1988
14,New York Knicks*,82,241.5,39.0,81.8,0.477,1.4,4.6,0.304,37.7,77.3,0.487,26.5,34.2,0.776,14.1,27.9,41.9,24.5,8.6,5.5,19.9,24.0,106.0,25.3,38.0,44.0,-0.49,0.63,0.14,105.9,106.4,-0.5,99.1,0.319,0.078,0.525,1988
