,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Detroit Pistons*,82,241.8,35.5,78.7,0.452,4.0,12.3,0.325,31.5,66.3,0.476,15.1,20.5,0.736,11.6,29.3,40.9,18.8,5.9,3.5,14.0,21.0,90.2,28.5,64.0,18.0,6.67,-0.44,6.24,110.8,103.1,7.7,86.8,0.297,0.221,0.535,2006
1,San Antonio Spurs*,82,241.5,33.9,78.3,0.433,3.7,10.8,0.339,30.3,67.5,0.449,17.2,23.3,0.74,10.8,29.5,40.3,16.3,7.3,4.2,13.9,20.8,88.8,29.8,63.0,19.0,6.82,-0.13,6.69,107.3,99.6,7.7,88.5,0.298,0.215,0.546,2006
2,Dallas Mavericks*,82,242.4,34.2,77.1,0.443,4.9,13.7,0.361,29.2,63.4,0.461,19.8,26.4,0.752,11.4,26.9,38.3,17.5,6.5,4.9,14.0,23.9,93.1,27.5,60.0,22.0,6.07,-0.11,5.96,111.8,105.0,6.8,87.8,0.364,0.175,0.55,2006
3,Phoenix Suns*,82,243.4,39.5,87.1,0.454,6.3,17.4,0.363,33.3,69.7,0.477,17.4,23.9,0.731,12.5,33.4,45.9,18.9,7.2,3.4,14.9,19.8,102.8,27.5,54.0,28.0,5.55,-0.07,5.48,111.5,105.8,5.7,95.8,0.206,0.293,0.568,2006
4,Miami Heat*,82,240.9,35.0,79.6,0.44,6.0,16.6,0.361,29.0,63.0,0.461,20.0,27.1,0.739,10.1,28.8,38.8,19.5,6.8,3.6,13.0,23.6,96.0,29.2,52.0,30.0,3.87,-0.27,3.59,108.7,104.5,4.2,91.6,0.363,0.227,0.556,2006
5,Cleveland Cavaliers*,82,241.8,36.0,79.0,0.455,5.6,15.7,0.356,30.4,63.3,0.48,17.8,24.0,0.742,9.8,29.5,39.4,20.3,6.6,4.4,13.2,22.5,95.4,27.1,50.0,32.0,2.23,-0.06,2.17,107.8,105.4,2.4,89.8,0.362,0.228,0.538,2006
6,Memphis Grizzlies*,82,242.1,32.8,75.3,0.436,5.0,14.9,0.334,27.8,60.4,0.461,17.9,23.7,0.754,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5,28.1,49.0,33.0,3.7,0.05,3.74,105.9,101.6,4.3,86.3,0.339,0.258,0.537,2006
7,New Jersey Nets*,82,241.2,33.3,75.9,0.439,5.7,16.3,0.348,27.6,59.6,0.464,20.2,27.2,0.741,9.6,31.7,41.3,20.0,7.2,4.0,14.4,23.0,92.4,28.6,49.0,33.0,1.37,-0.26,1.11,103.9,102.4,1.5,89.8,0.346,0.229,0.528,2006
8,Los Angeles Clippers*,82,241.5,35.2,81.0,0.435,5.8,16.7,0.347,29.4,64.3,0.458,19.4,26.5,0.732,10.5,29.7,40.1,21.5,7.0,4.3,12.8,21.7,95.6,26.8,47.0,35.0,1.57,0.18,1.75,105.3,103.6,1.7,91.7,0.332,0.131,0.54,2006
9,Los Angeles Lakers*,82,242.1,35.9,79.8,0.45,5.8,16.4,0.353,30.1,63.5,0.475,19.3,25.9,0.747,10.9,29.3,40.1,21.1,6.5,4.3,14.1,23.5,96.9,25.1,45.0,37.0,2.5,0.03,2.53,108.4,105.7,2.7,90.9,0.329,0.24,0.539,2006
