,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Los Angeles Lakers*,82,242.1,41.2,88.4,0.467,2.1,6.3,0.337,39.1,82.0,0.477,19.3,25.7,0.75,13.8,27.4,41.1,24.5,8.2,5.2,14.6,23.3,103.9,28.9,63.0,19.0,6.78,-0.04,6.74,114.0,107.0,7.0,96.3,0.345,0.12,0.562,1990
1,Detroit Pistons*,82,241.5,37.1,83.0,0.447,2.3,6.8,0.333,34.8,76.2,0.457,21.8,28.6,0.762,12.7,27.8,40.5,21.5,7.4,3.7,15.2,25.3,98.3,29.5,59.0,23.0,6.09,-0.68,5.41,109.9,103.5,6.4,94.4,0.323,0.078,0.537,1990
2,Portland Trail Blazers*,82,242.4,40.9,88.1,0.464,2.8,8.4,0.331,38.1,79.7,0.478,23.4,30.5,0.767,12.9,28.7,41.6,24.7,8.1,5.3,18.2,25.4,107.9,26.7,59.0,23.0,6.32,0.16,6.48,110.5,104.4,6.1,102.3,0.362,0.075,0.535,1990
3,San Antonio Spurs*,82,240.6,39.9,86.5,0.461,2.8,7.6,0.37,37.0,78.9,0.47,20.3,26.5,0.767,13.7,27.3,41.0,24.0,9.3,5.1,17.3,23.4,102.8,26.4,56.0,26.0,3.49,0.09,3.58,107.7,104.2,3.5,98.5,0.362,0.032,0.537,1990
4,Chicago Bulls*,82,241.8,41.0,83.2,0.493,2.5,7.1,0.351,38.5,76.1,0.506,21.8,29.2,0.746,13.0,28.0,41.0,25.7,8.1,4.7,17.2,21.2,106.2,26.1,55.0,27.0,3.26,-0.51,2.74,112.3,109.0,3.3,96.7,0.302,0.094,0.559,1990
5,Utah Jazz*,82,241.8,38.6,84.7,0.455,2.1,6.9,0.309,36.5,77.9,0.468,22.7,29.9,0.761,13.4,27.0,40.4,23.0,9.0,5.5,15.1,23.3,102.0,27.6,55.0,27.0,4.79,0.03,4.82,110.3,105.4,4.9,96.1,0.377,0.096,0.57,1990
6,Phoenix Suns*,82,242.1,43.0,92.5,0.465,2.4,6.9,0.355,40.6,85.7,0.474,19.3,26.4,0.733,14.7,28.5,43.1,25.9,8.3,4.8,15.3,26.2,107.8,26.7,54.0,28.0,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.076,0.565,1990
7,Philadelphia 76ers*,82,241.5,41.7,86.8,0.48,2.6,7.0,0.37,39.1,79.8,0.49,19.3,25.0,0.771,13.6,28.7,42.3,26.3,7.8,4.6,15.0,23.7,105.2,27.4,53.0,29.0,4.99,-0.75,4.23,113.5,108.4,5.1,96.5,0.357,0.077,0.556,1990
8,Boston Celtics*,82,240.3,41.9,90.0,0.466,2.1,6.6,0.319,39.8,83.5,0.477,20.1,26.0,0.773,12.8,28.3,41.0,25.3,9.0,4.3,12.2,22.5,106.0,30.2,52.0,30.0,3.99,-0.76,3.23,112.0,107.9,4.1,98.2,0.301,0.057,0.557,1990
9,Dallas Mavericks*,82,242.1,40.1,85.5,0.469,2.1,7.2,0.298,38.0,78.4,0.484,19.8,26.4,0.753,13.9,29.2,43.2,23.9,7.9,4.7,15.1,22.3,102.2,29.2,47.0,35.0,0.07,0.35,0.42,107.2,107.2,0.0,94.5,0.331,0.071,0.536,1990
10,New York Knicks*,82,241.8,42.6,90.6,0.471,2.1,6.6,0.315,40.6,84.0,0.483,19.5,25.6,0.761,15.2,27.9,43.1,25.9,8.8,5.1,15.7,22.8,106.9,26.5,45.0,37.0,1.41,-0.63,0.78,109.4,108.0,1.4,98.2,0.331,0.1,0.547,1990
