,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Phoenix Suns*,82,240.6,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,27.5,64.0,18.0,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,2022
1,Memphis Grizzlies*,82,241.2,43.5,94.4,0.461,11.5,32.7,0.353,32.0,61.7,0.519,17.0,23.1,0.734,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6,24.0,56.0,26.0,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,2022
2,Miami Heat*,82,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26.0,49.0,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0,28.2,53.0,29.0,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,2022
3,Golden State Warriors*,82,240.6,40.5,86.4,0.469,14.3,39.4,0.364,26.2,47.0,0.557,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,111.0,27.6,53.0,29.0,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,2022
4,Dallas Mavericks*,82,240.9,39.3,85.1,0.461,13.1,37.4,0.35,26.2,47.8,0.548,16.4,21.2,0.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,26.7,52.0,30.0,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,2022
5,Boston Celtics*,82,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17.0,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,26.1,51.0,31.0,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,2022
6,Milwaukee Bucks*,82,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51.0,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5,28.5,51.0,31.0,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,2022
7,Philadelphia 76ers*,82,241.5,39.4,84.5,0.466,11.6,31.8,0.364,27.8,52.7,0.527,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,26.8,51.0,31.0,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,2022
8,Utah Jazz*,82,240.6,40.6,86.2,0.471,14.5,40.3,0.36,26.0,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,29.3,49.0,33.0,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,2022
9,Toronto Raptors*,82,242.1,40.6,91.3,0.445,11.9,34.2,0.349,28.7,57.1,0.503,16.2,21.3,0.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,24.8,48.0,34.0,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.234,0.375,0.543,2022
10,Denver Nuggets*,82,241.5,41.7,86.3,0.483,12.7,35.9,0.353,29.0,50.4,0.575,16.7,21.0,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7,27.7,48.0,34.0,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,2022
11,Chicago Bulls*,82,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,26.3,46.0,36.0,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,2022
