,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
296,Jamaal Wilkes*,SF,29,LAL,80,80,31.9,8.6,16.1,.530,0.0,0.1,.000,8.6,16.1,.533,.530,2.5,3.4,.757,1.8,2.5,4.3,2.3,0.8,0.2,1.9,2.8,19.6,17.6,.558,.005,.208,6.6,8.2,7.4,9.7,1.2,0.4,9.6,24.1,6.1,1.3,7.4,.139,1.6,-2.1,-0.5,1.0,1983
297,James Wilkes,SF,24,DET,9,0,14.3,1.2,3.8,.324,0.0,0.1,.000,1.2,3.7,.333,.324,1.3,1.7,.800,1.0,1.1,2.1,1.1,0.3,0.1,0.6,2.4,3.8,6.9,.419,.029,.441,7.1,8.2,7.7,9.4,1.1,0.4,11.0,13.6,0.0,0.1,0.1,.038,-3.5,-0.5,-4.0,-0.1,1983
298,Dominique Wilkins*,SF,23,ATL,82,82,32.9,7.3,14.9,.493,0.0,0.1,.182,7.3,14.7,.495,.493,2.8,4.1,.682,2.8,3.1,5.8,1.6,1.0,0.8,2.2,2.6,17.5,16.6,.524,.009,.276,8.9,9.9,9.4,7.7,1.5,1.3,11.6,23.9,2.9,2.9,5.8,.103,1.2,-0.6,0.5,1.7,1983
299,Jeff Wilkins,C,27,UTA,81,34,28.5,4.8,10.1,.477,0.0,0.0,.000,4.8,10.0,.478,.477,1.9,2.5,.780,1.9,5.5,7.4,1.6,0.5,0.5,2.3,3.1,11.5,11.6,.517,.004,.245,7.0,19.0,13.2,7.9,0.8,0.9,17.1,18.5,0.1,2.3,2.4,.049,-2.4,-1.2,-3.6,-0.9,1983
300,Buck Williams,PF,22,NJN,82,82,36.1,6.5,11.1,.588,0.0,0.0,.000,6.5,11.1,.590,.588,4.0,6.4,.620,4.5,8.1,12.5,1.5,1.1,1.3,3.0,3.3,17.0,18.6,.611,.004,.573,14.1,25.0,19.6,5.9,1.4,2.2,17.7,18.4,5.5,5.9,11.4,.185,1.6,0.4,2.0,3.0,1983
301,Freeman Williams,SG,26,UTA,18,3,11.7,2.0,5.6,.356,0.1,0.4,.286,1.9,5.2,.362,.366,1.0,1.4,.720,0.2,0.8,0.9,0.6,0.3,0.1,0.7,1.7,5.1,5.9,.411,.069,.248,1.5,6.6,4.1,6.6,1.3,0.2,9.7,23.1,-0.3,0.1,-0.2,-0.050,-5.6,-1.7,-7.3,-0.4,1983
302,Gus Williams,PG,29,SEA,80,80,34.5,8.3,17.3,.477,0.0,0.5,.047,8.2,16.8,.491,.478,3.5,4.6,.751,0.9,1.7,2.6,8.0,2.3,0.3,2.9,1.5,20.0,20.5,.517,.031,.267,2.9,4.9,4.0,34.8,3.1,0.5,12.9,25.8,5.2,3.3,8.5,.148,3.6,0.6,4.2,4.3,1983
303,Herb Williams,C,24,IND,78,74,32.2,7.4,14.9,.499,0.0,0.1,.000,7.4,14.8,.502,.499,2.0,2.8,.705,1.9,5.5,7.5,3.4,0.7,2.2,2.9,2.9,16.9,17.4,.522,.006,.189,6.2,19.5,12.5,14.8,1.0,3.8,15.4,23.3,1.7,1.8,3.5,.067,0.6,0.2,0.8,1.8,1983
304,Ray Williams,PG,28,KCK,72,68,30.1,5.8,14.8,.392,0.2,1.0,.203,5.6,13.8,.406,.399,3.6,4.6,.769,1.3,3.3,4.5,7.9,1.7,0.4,4.7,3.4,15.4,14.4,.457,.069,.312,4.6,11.7,8.1,35.1,2.5,0.7,21.6,27.5,-1.5,2.4,0.9,.021,-0.3,-0.9,-1.1,0.5,1983
305,Rickey Williams,SG,25,UTA,44,0,7.9,1.3,3.1,.415,0.0,0.1,.000,1.3,3.0,.424,.415,0.8,1.2,.660,0.3,0.5,0.9,0.8,0.5,0.1,0.9,1.0,3.3,9.6,.464,.022,.393,4.6,6.6,5.6,14.6,2.6,0.6,19.4,22.2,-0.4,0.3,-0.1,-0.017,-4.0,-0.5,-4.5,-0.2,1983
306,Rob Williams,PG,21,DEN,74,33,19.5,2.6,6.3,.408,0.0,0.2,.133,2.6,6.1,.417,.410,1.8,2.4,.753,0.5,1.3,1.8,4.9,1.2,0.2,2.5,3.0,7.0,10.7,.473,.032,.372,2.6,7.0,4.8,28.8,2.6,0.4,25.4,18.7,-0.8,0.7,-0.1,-0.004,-2.8,-1.3,-4.1,-0.8,1983
307,Sam Williams,PF,23,GSW,75,28,20.4,3.4,6.4,.526,0.0,0.0,.000,3.4,6.4,.527,.526,1.6,2.3,.719,2.0,3.2,5.2,0.6,0.9,1.2,1.3,3.3,8.4,15.6,.566,.002,.357,10.5,17.5,13.9,3.9,2.1,3.2,15.4,16.8,2.0,1.7,3.7,.117,-0.9,0.3,-0.5,0.6,1983
308,Sly Williams,PF,25,NYK,68,6,20.4,4.6,9.5,.485,0.0,0.3,.105,4.6,9.2,.497,.487,2.6,3.8,.680,1.4,2.9,4.3,2.0,1.1,0.0,2.0,2.4,11.9,18.2,.530,.029,.400,7.9,16.8,12.3,16.0,2.6,0.1,14.9,27.5,1.2,2.6,3.8,.132,1.1,1.1,2.2,1.5,1983
309,Bill Willoughby,SF,25,TOT,62,0,18.5,2.4,5.2,.454,0.1,0.2,.429,2.3,5.0,.455,.463,0.7,0.9,.782,1.0,2.2,3.2,1.0,0.4,0.3,1.0,2.2,5.5,8.8,.493,.043,.170,6.2,12.7,9.6,7.0,1.0,0.8,14.9,14.2,0.4,0.8,1.2,.050,-2.1,-0.7,-2.7,-0.2,1983
310,Brian Winters,SG,30,MIL,57,12,23.9,4.5,10.3,.434,0.4,1.2,.324,4.1,9.1,.449,.453,1.3,1.5,.859,0.6,1.3,1.9,2.7,0.8,0.1,1.4,2.3,10.6,12.1,.484,.116,.145,3.0,5.8,4.4,16.6,1.6,0.2,11.5,21.4,0.7,1.4,2.1,.074,-1.3,-0.7,-2.0,0.0,1983
311,Al Wood,SF,24,SDC,76,47,24.0,4.5,9.7,.464,0.2,0.7,.300,4.3,9.1,.475,.474,1.6,2.1,.770,1.3,1.8,3.1,1.8,0.7,0.5,1.5,2.5,10.9,13.0,.509,.068,.218,5.6,9.5,7.4,10.1,1.4,1.2,12.0,19.7,1.9,0.4,2.3,.061,-0.1,-1.6,-1.7,0.1,1983
312,Mike Woodson,SG,24,KCK,81,3,30.0,7.2,14.2,.506,0.1,0.4,.212,7.1,13.8,.515,.509,3.7,4.7,.790,1.0,2.0,3.1,3.1,1.7,0.7,2.1,2.5,18.2,18.9,.558,.029,.327,3.7,7.3,5.5,15.0,2.5,1.4,11.6,23.7,5.3,2.4,7.8,.153,2.5,0.9,3.4,3.3,1983
313,Orlando Woolridge,SF,23,CHI,57,38,28.5,6.3,10.9,.580,0.0,0.1,.000,6.3,10.9,.583,.580,3.8,6.0,.638,2.1,3.1,5.2,1.7,0.7,0.8,2.8,3.1,16.5,17.0,.608,.005,.547,8.0,11.6,9.8,8.9,1.1,1.4,16.9,22.1,2.9,0.8,3.6,.107,1.4,-1.1,0.4,1.0,1983
314,James Worthy*,SF,21,LAL,77,1,25.6,5.8,10.0,.579,0.0,0.1,.250,5.8,10.0,.581,.580,1.8,2.9,.624,2.0,3.1,5.2,1.7,1.2,0.8,2.3,2.9,13.4,17.4,.594,.005,.286,9.2,13.0,11.2,8.6,2.1,1.7,17.0,21.0,3.0,2.1,5.1,.125,1.0,-0.1,0.8,1.4,1983
315,Jim Zoet,C,29,DET,7,0,4.3,0.1,0.7,.200,0.0,0.0,0,0.1,0.7,.200,.200,0.0,0.0,0,0.4,0.7,1.1,0.1,0.1,0.4,0.6,1.3,0.3,-0.8,.200,.000,.000,10.2,17.7,13.9,3.8,1.5,5.3,44.4,11.6,-0.1,0.0,-0.1,-0.123,-5.6,0.2,-5.4,-0.1,1983
