,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,tm_Team,tm_G,tm_MP,tm_FG,tm_FGA,tm_FG%,tm_3P,tm_3PA,tm_3P%,tm_2P,tm_2PA,tm_2P%,tm_FT,tm_FTA,tm_FT%,tm_ORB,tm_DRB,tm_TRB,tm_AST,tm_STL,tm_BLK,tm_TOV,tm_PF,tm_PTS,tm_Age,tm_W,tm_L,tm_MOV,tm_SOS,tm_SRS,tm_ORtg,tm_DRtg,tm_NRtg,tm_Pace,tm_FTr,tm_3PAr,tm_TS%,tm_Year,tm_Team No Star,tm_Abbreviation
0,Kareem Abdul-Jabbar*,C,32.0,LAL,82.0,0.0,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,25.3,0.639,0.001,0.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,9.5,5.3,14.8,0.227,4.8,2.4,7.2,7.3,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
1,Marty Byrnes,SF,23.0,LAL,32.0,0.0,6.1,0.8,1.6,0.5,0.0,0.0,0.0,0.8,1.6,0.5,0.5,0.4,0.5,0.867,0.3,0.6,0.8,0.4,0.2,0.0,0.7,1.0,2.0,6.3,0.557,0.0,0.3,5.5,9.3,7.6,7.9,1.2,0.3,28.0,16.2,-0.1,0.2,0.0,0.009,-4.4,-0.9,-5.2,-0.2,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
2,Jim Chones,C,30.0,LAL,82.0,0.0,29.2,4.5,9.3,0.489,0.0,0.0,0.0,4.5,9.2,0.491,0.489,1.5,2.1,0.74,1.7,5.1,6.9,1.8,0.7,0.8,2.1,3.3,10.6,11.3,0.521,0.003,0.222,7.1,17.6,12.8,7.6,1.1,1.4,17.3,16.9,0.7,2.8,3.5,0.071,-2.0,-0.3,-2.4,-0.2,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
3,Michael Cooper,SG,23.0,LAL,82.0,0.0,24.1,3.7,7.0,0.524,0.1,0.2,0.25,3.6,6.8,0.534,0.529,1.4,1.7,0.776,1.2,1.6,2.8,2.7,1.0,0.5,1.7,2.6,8.8,12.5,0.563,0.035,0.247,6.1,6.5,6.3,13.5,2.0,1.0,18.1,15.9,2.2,1.8,4.0,0.097,-0.4,0.3,-0.1,0.9,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
4,Spencer Haywood*,PF,30.0,LAL,76.0,0.0,20.3,3.8,7.8,0.487,0.0,0.1,0.25,3.8,7.7,0.489,0.488,2.1,2.7,0.772,1.7,2.8,4.6,1.2,0.5,0.8,1.8,2.6,9.7,13.9,0.54,0.007,0.349,10.2,13.9,12.2,7.6,1.0,1.9,16.4,21.2,1.4,1.7,3.1,0.095,-1.3,-0.9,-2.3,-0.1,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
5,Brad Holland,SG,23.0,LAL,38.0,0.0,5.2,1.2,2.7,0.423,0.1,0.4,0.2,1.1,2.3,0.461,0.438,0.4,0.4,0.938,0.1,0.3,0.4,0.6,0.4,0.0,0.3,0.6,2.8,14.3,0.477,0.144,0.154,2.4,6.6,4.7,14.8,3.5,0.3,10.5,25.2,0.1,0.2,0.3,0.081,-2.9,0.3,-2.6,0.0,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
6,Magic Johnson*,SG,20.0,LAL,77.0,0.0,36.3,6.5,12.3,0.53,0.1,0.4,0.226,6.4,11.9,0.54,0.534,4.9,6.0,0.81,2.2,5.6,7.7,7.3,2.4,0.5,4.0,2.8,18.0,20.6,0.602,0.033,0.487,7.1,15.4,11.6,25.2,3.1,0.8,20.9,20.9,6.2,4.3,10.5,0.18,3.1,1.7,4.8,4.8,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
7,Norm Nixon,PG,24.0,LAL,82.0,0.0,39.3,7.6,14.7,0.516,0.0,0.1,0.125,7.6,14.6,0.519,0.517,2.4,3.1,0.779,0.6,2.2,2.8,7.8,1.8,0.2,3.5,2.9,17.6,14.9,0.548,0.007,0.209,1.9,5.5,3.9,25.3,2.1,0.2,17.9,20.0,4.1,2.7,6.7,0.1,0.2,-0.9,-0.7,1.1,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
8,Jamaal Wilkes*,SF,26.0,LAL,82.0,0.0,37.9,8.9,16.6,0.535,0.0,0.2,0.176,8.8,16.4,0.539,0.536,2.3,2.9,0.808,2.1,4.3,6.4,3.0,1.6,0.3,1.9,2.7,20.0,17.6,0.563,0.013,0.172,6.8,11.2,9.2,10.8,1.9,0.5,9.7,20.8,6.7,3.2,10.0,0.154,1.7,-0.4,1.3,2.6,1980.0,Los Angeles Lakers*,82.0,242.4,45.4,96.6,0.47,1.0,3.3,0.285,44.5,93.3,0.477,17.4,23.0,0.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980.0,Los Angeles Lakers,LAL
9,Tom Abernethy,PF,25.0,GSW,67.0,0.0,18.2,2.3,4.7,0.481,0.0,0.0,0.0,2.3,4.7,0.483,0.481,0.8,1.2,0.683,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4,11.0,0.511,0.003,0.258,5.4,12.0,8.6,9.3,1.4,0.6,9.9,13.3,1.2,0.8,2.0,0.08,-1.0,-0.2,-1.2,0.2,1980.0,Golden State Warriors,82.0,242.4,41.9,85.1,0.493,0.9,2.7,0.329,41.0,82.4,0.498,23.2,31.0,0.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0,26.3,24.0,58.0,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,1980.0,Golden State Warriors,GSW
