   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA ,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
279,Jalen Harris            ,SG   ,22.0,TOR,13.0,2.0 ,13.2,2.8 ,5.5 ,0.5  ,1.3,2.8 ,0.472,1.5 ,2.8 ,0.528,0.618,0.5,0.7 ,0.778,0.2,1.2 ,1.4 ,1.3 ,0.6,0.0,1.1,1.2,7.4
280,Joe Harris              ,SF   ,29.0,BRK,69.0,65.0,31.0,5.2 ,10.2,0.505,3.1,6.4 ,0.475,2.1 ,3.8 ,0.555,0.654,0.7,0.9 ,0.778,0.6,3.0 ,3.6 ,1.9 ,0.7,0.2,0.9,2.0,14.1
281,Tobias Harris           ,PF   ,28.0,PHI,62.0,62.0,32.5,7.6 ,14.9,0.512,1.3,3.4 ,0.394,6.3 ,11.5,0.546,0.556,2.9,3.3 ,0.892,1.0,5.8 ,6.8 ,3.5 ,0.9,0.8,1.7,1.9,19.5
282,Shaquille Harrison      ,SG   ,27.0,TOT,34.0,0.0 ,9.8 ,0.8 ,2.3 ,0.333,0.1,0.5 ,0.188,0.7 ,1.8 ,0.371,0.353,0.5,0.6 ,0.818,0.2,1.2 ,1.4 ,0.7 ,0.5,0.1,0.3,1.0,2.1
285,Josh Hart               ,SF   ,25.0,NOP,47.0,4.0 ,28.7,3.2 ,7.3 ,0.439,1.3,4.1 ,0.326,1.9 ,3.2 ,0.583,0.531,1.5,1.9 ,0.775,1.1,6.9 ,8.0 ,2.3 ,0.8,0.3,1.0,2.4,9.2
286,Isaiah Hartenstein      ,C    ,22.0,TOT,46.0,2.0 ,12.2,2.0 ,3.7 ,0.55 ,0.0,0.1 ,0.333,2.0 ,3.6 ,0.558,0.556,1.0,1.5 ,0.648,1.4,2.5 ,3.9 ,1.2 ,0.4,0.8,1.0,2.3,5.1
290,Jaxson Hayes            ,C    ,20.0,NOP,60.0,3.0 ,16.1,2.9 ,4.7 ,0.625,0.1,0.2 ,0.429,2.8 ,4.4 ,0.635,0.636,1.6,2.0 ,0.775,1.5,2.8 ,4.3 ,0.6 ,0.4,0.6,0.7,1.7,7.5
291,Killian Hayes           ,PG   ,19.0,DET,26.0,18.0,25.8,2.7 ,7.7 ,0.353,0.8,2.8 ,0.278,2.0 ,5.0 ,0.395,0.403,0.5,0.7 ,0.824,0.2,2.4 ,2.7 ,5.3 ,1.0,0.4,3.2,2.2,6.8
292,Gordon Hayward          ,SF   ,30.0,CHO,44.0,44.0,34.0,7.1 ,15.0,0.473,1.9,4.7 ,0.415,5.1 ,10.3,0.499,0.537,3.5,4.2 ,0.843,0.8,5.0 ,5.9 ,4.1 ,1.2,0.3,2.1,1.7,19.6
293,Juancho Hernangómez     ,PF   ,25.0,MIN,52.0,6.0 ,17.3,2.5 ,5.8 ,0.435,1.1,3.2 ,0.327,1.4 ,2.5 ,0.573,0.527,1.2,1.9 ,0.619,0.9,3.1 ,3.9 ,0.7 ,0.4,0.1,0.5,1.0,7.2
294,Willy Hernangómez       ,C    ,26.0,NOP,47.0,12.0,18.0,3.2 ,5.7 ,0.563,0.0,0.2 ,0.1  ,3.2 ,5.5 ,0.581,0.565,1.3,2.0 ,0.667,2.5,4.6 ,7.1 ,1.1 ,0.5,0.5,0.7,1.4,7.8
295,Tyler Herro             ,SG   ,21.0,MIA,54.0,15.0,30.3,5.7 ,12.9,0.439,2.0,5.5 ,0.36 ,3.7 ,7.4 ,0.498,0.516,1.7,2.2 ,0.803,0.5,4.5 ,5.0 ,3.4 ,0.6,0.3,1.9,1.3,15.1
296,Buddy Hield             ,SG   ,28.0,SAC,71.0,71.0,34.3,5.7 ,14.0,0.406,4.0,10.2,0.391,1.7 ,3.8 ,0.446,0.548,1.2,1.5 ,0.846,0.4,4.3 ,4.7 ,3.6 ,0.9,0.4,1.8,2.5,16.6
297,George Hill             ,PG   ,34.0,TOT,30.0,17.0,22.4,3.2 ,6.6 ,0.482,1.0,2.7 ,0.388,2.1 ,3.9 ,0.547,0.561,1.3,1.7 ,0.8  ,0.5,1.5 ,2.0 ,2.4 ,0.8,0.2,1.0,1.0,8.7
301,Solomon Hill            ,PF   ,29.0,ATL,71.0,16.0,21.3,1.5 ,4.2 ,0.359,1.0,3.0 ,0.321,0.5 ,1.2 ,0.453,0.473,0.5,0.6 ,0.761,0.6,2.4 ,3.0 ,1.1 ,0.7,0.2,0.6,1.6,4.5
302,Nate Hinton             ,SG   ,21.0,DAL,21.0,0.0 ,4.4 ,0.7 ,2.0 ,0.357,0.2,0.9 ,0.211,0.5 ,1.1 ,0.478,0.405,0.3,0.5 ,0.7  ,0.0,0.4 ,0.4 ,0.4 ,0.3,0.1,0.2,0.4,2.0
303,Jaylen Hoard            ,SF   ,21.0,OKC,19.0,0.0 ,16.8,2.3 ,4.6 ,0.5  ,0.0,0.6 ,0.0  ,2.3 ,4.1 ,0.571,0.5  ,1.5,2.2 ,0.683,1.1,2.3 ,3.4 ,1.3 ,0.7,0.3,0.9,1.0,6.1
304,Aaron Holiday           ,PG   ,24.0,IND,66.0,8.0 ,17.8,2.6 ,6.6 ,0.39 ,1.0,2.8 ,0.368,1.6 ,3.8 ,0.406,0.467,1.0,1.3 ,0.819,0.2,1.1 ,1.3 ,1.9 ,0.7,0.2,1.0,1.4,7.2
305,Jrue Holiday            ,PG   ,30.0,MIL,59.0,56.0,32.3,7.0 ,13.9,0.503,1.9,4.8 ,0.392,5.1 ,9.2 ,0.561,0.57 ,1.8,2.3 ,0.787,1.2,3.3 ,4.5 ,6.1 ,1.6,0.6,2.2,1.7,17.7
306,Justin Holiday          ,SG   ,31.0,IND,72.0,52.0,30.3,3.6 ,8.7 ,0.413,2.4,6.3 ,0.382,1.2 ,2.4 ,0.494,0.551,0.9,1.2 ,0.788,0.4,3.1 ,3.6 ,1.7 ,1.0,0.6,0.8,1.9,10.5
307,Rondae Hollis-Jefferson ,PF   ,26.0,POR,11.0,1.0 ,9.7 ,0.8 ,1.6 ,0.5  ,0.0,0.1 ,0.0  ,0.8 ,1.5 ,0.529,0.5  ,0.8,1.5 ,0.563,1.0,1.4 ,2.4 ,1.2 ,0.2,0.4,0.2,1.4,2.5
308,Richaun Holmes          ,C    ,27.0,SAC,61.0,61.0,29.2,6.0 ,9.4 ,0.637,0.0,0.2 ,0.182,6.0 ,9.2 ,0.645,0.638,2.2,2.8 ,0.794,2.4,5.9 ,8.3 ,1.7 ,0.6,1.6,1.2,3.5,14.2
309,Rodney Hood             ,SF   ,28.0,TOT,55.0,5.0 ,17.1,1.7 ,4.7 ,0.362,0.6,2.1 ,0.301,1.1 ,2.7 ,0.408,0.427,0.4,0.5 ,0.857,0.4,1.5 ,1.9 ,1.0 ,0.4,0.1,0.7,1.3,4.5
312,Al Horford              ,C    ,34.0,OKC,28.0,28.0,27.9,5.8 ,12.9,0.45 ,2.0,5.4 ,0.368,3.8 ,7.4 ,0.51 ,0.528,0.6,0.8 ,0.818,1.0,5.7 ,6.7 ,3.4 ,0.9,0.9,1.0,1.7,14.2
313,Talen Horton-Tucker     ,SG   ,20.0,LAL,65.0,4.0 ,20.1,3.4 ,7.5 ,0.458,0.6,2.0 ,0.282,2.9 ,5.5 ,0.522,0.496,1.5,2.0 ,0.775,0.4,2.2 ,2.6 ,2.8 ,1.0,0.3,1.6,2.0,9.0
314,Danuel House Jr.        ,SF   ,27.0,HOU,36.0,23.0,25.9,3.1 ,7.6 ,0.404,1.5,4.3 ,0.346,1.6 ,3.2 ,0.483,0.504,1.1,1.8 ,0.651,0.5,3.2 ,3.7 ,1.9 ,0.6,0.4,1.0,1.9,8.8
315,Dwight Howard           ,C    ,35.0,PHI,69.0,6.0 ,17.3,2.6 ,4.4 ,0.587,0.1,0.3 ,0.25 ,2.5 ,4.1 ,0.611,0.596,1.8,3.0 ,0.576,2.8,5.7 ,8.4 ,0.9 ,0.4,0.9,1.6,2.9,7.0
316,Markus Howard           ,SG   ,21.0,DEN,37.0,1.0 ,5.5 ,1.1 ,2.9 ,0.377,0.5,1.8 ,0.277,0.6 ,1.1 ,0.537,0.462,0.2,0.2 ,0.778,0.0,0.5 ,0.6 ,0.5 ,0.1,0.0,0.5,0.6,2.8
317,Kevin Huerter           ,SG   ,22.0,ATL,69.0,49.0,30.8,4.6 ,10.6,0.432,2.0,5.6 ,0.363,2.6 ,5.0 ,0.51 ,0.528,0.7,0.9 ,0.781,0.6,2.8 ,3.3 ,3.5 ,1.2,0.3,1.1,2.4,11.9
318,Elijah Hughes           ,SF   ,22.0,UTA,18.0,0.0 ,3.6 ,0.6 ,1.7 ,0.333,0.4,1.3 ,0.348,0.1 ,0.4 ,0.286,0.467,0.2,0.2 ,0.75 ,0.1,0.4 ,0.5 ,0.3 ,0.1,0.1,0.3,0.1,1.7
319,De'Andre Hunter         ,SF   ,23.0,ATL,23.0,19.0,29.5,5.2 ,10.8,0.484,1.3,4.1 ,0.326,3.9 ,6.7 ,0.582,0.546,3.2,3.7 ,0.859,0.7,4.0 ,4.8 ,1.9 ,0.8,0.5,1.3,2.6,15.0
320,Chandler Hutchison      ,SF   ,24.0,TOT,25.0,1.0 ,13.8,1.6 ,4.1 ,0.379,0.3,0.9 ,0.364,1.2 ,3.2 ,0.383,0.417,0.8,1.0 ,0.84 ,0.2,2.9 ,3.1 ,0.7 ,0.5,0.2,0.8,1.3,4.3
323,Serge Ibaka             ,C    ,31.0,LAC,41.0,39.0,23.3,4.5 ,8.9 ,0.51 ,1.0,2.8 ,0.339,3.6 ,6.1 ,0.588,0.563,1.0,1.3 ,0.811,1.8,4.9 ,6.7 ,1.8 ,0.2,1.1,1.1,1.9,11.1
324,Andre Iguodala          ,SF   ,37.0,MIA,63.0,5.0 ,21.3,1.5 ,3.9 ,0.383,1.0,2.9 ,0.33 ,0.6 ,1.0 ,0.53 ,0.504,0.4,0.6 ,0.658,0.6,2.9 ,3.5 ,2.3 ,0.9,0.6,1.1,1.4,4.4
326,Ersan İlyasova          ,PF   ,33.0,UTA,17.0,1.0 ,8.7 ,1.2 ,3.2 ,0.389,1.1,2.4 ,0.439,0.2 ,0.8 ,0.231,0.556,0.3,0.3 ,1.0  ,0.4,1.3 ,1.7 ,0.2 ,0.6,0.2,0.5,1.7,3.8
327,Joe Ingles              ,SF   ,33.0,UTA,67.0,30.0,27.9,4.1 ,8.4 ,0.489,2.7,6.1 ,0.451,1.4 ,2.3 ,0.59 ,0.652,1.1,1.3 ,0.844,0.4,3.2 ,3.6 ,4.7 ,0.7,0.2,1.7,1.8,12.1
328,Brandon Ingram          ,SF   ,23.0,NOP,61.0,61.0,34.3,8.4 ,18.0,0.466,2.3,6.1 ,0.381,6.1 ,11.9,0.51 ,0.531,4.6,5.2 ,0.878,0.6,4.3 ,4.9 ,4.9 ,0.7,0.6,2.5,2.0,23.8
329,Kyrie Irving            ,PG   ,28.0,BRK,54.0,54.0,34.9,10.2,20.1,0.506,2.8,7.0 ,0.402,7.4 ,13.1,0.561,0.576,3.7,4.0 ,0.922,1.0,3.8 ,4.8 ,6.0 ,1.4,0.7,2.4,2.6,26.9
330,Wes Iwundu              ,SF   ,26.0,TOT,41.0,4.0 ,13.1,0.8 ,2.5 ,0.333,0.1,1.0 ,0.122,0.7 ,1.5 ,0.475,0.358,0.6,0.8 ,0.839,0.4,1.8 ,2.2 ,0.4 ,0.4,0.1,0.5,1.2,2.4
333,Frank Jackson           ,PG   ,22.0,DET,40.0,6.0 ,18.5,3.4 ,7.3 ,0.457,1.5,3.8 ,0.407,1.8 ,3.6 ,0.51 ,0.561,1.5,1.9 ,0.813,0.4,1.8 ,2.2 ,0.9 ,0.4,0.0,0.9,1.3,9.8
334,Jaren Jackson Jr.       ,C    ,21.0,MEM,11.0,4.0 ,23.5,4.8 ,11.4,0.424,1.5,5.5 ,0.283,3.3 ,5.9 ,0.554,0.492,3.2,3.8 ,0.833,1.5,4.1 ,5.6 ,1.1 ,1.1,1.6,1.4,3.8,14.4
335,Josh Jackson            ,SG   ,23.0,DET,62.0,25.0,25.2,4.8 ,11.4,0.419,1.2,4.1 ,0.3  ,3.5 ,7.3 ,0.487,0.473,2.6,3.5 ,0.729,0.9,3.2 ,4.1 ,2.3 ,0.9,0.8,2.3,2.9,13.4
336,Justin Jackson          ,SF   ,25.0,TOT,34.0,3.0 ,17.0,2.6 ,6.5 ,0.403,1.1,3.4 ,0.308,1.6 ,3.1 ,0.51 ,0.484,0.9,1.1 ,0.838,0.5,1.8 ,2.3 ,1.5 ,0.4,0.1,0.9,0.9,7.2
339,Reggie Jackson          ,SG   ,30.0,LAC,67.0,43.0,23.0,3.9 ,8.7 ,0.45 ,1.8,4.2 ,0.433,2.1 ,4.5 ,0.465,0.554,1.0,1.2 ,0.817,0.4,2.5 ,2.9 ,3.1 ,0.6,0.1,1.1,1.9,10.7
340,Justin James            ,SF   ,24.0,SAC,36.0,0.0 ,8.6 ,1.4 ,3.1 ,0.468,0.4,1.1 ,0.368,1.1 ,2.0 ,0.521,0.532,0.6,1.0 ,0.583,0.3,0.6 ,0.8 ,0.6 ,0.2,0.1,0.4,0.6,3.9
341,LeBron James            ,PG   ,36.0,LAL,45.0,45.0,33.4,9.4 ,18.3,0.513,2.3,6.3 ,0.365,7.1 ,12.0,0.591,0.576,4.0,5.7 ,0.698,0.6,7.0 ,7.7 ,7.8 ,1.1,0.6,3.7,1.6,25.0
342,Mike James              ,PG   ,30.0,BRK,13.0,1.0 ,18.2,2.6 ,7.1 ,0.37 ,0.8,2.4 ,0.355,1.8 ,4.7 ,0.377,0.429,1.6,2.1 ,0.778,0.2,2.2 ,2.5 ,4.2 ,0.5,0.1,1.5,0.8,7.7
343,DaQuan Jeffries         ,SG   ,23.0,TOT,31.0,5.0 ,15.9,1.6 ,3.9 ,0.417,0.6,2.2 ,0.299,1.0 ,1.7 ,0.566,0.5  ,0.2,0.3 ,0.875,0.6,1.7 ,2.3 ,0.7 ,0.5,0.3,0.5,1.5,4.1
346,Ty Jerome               ,SG   ,23.0,OKC,33.0,1.0 ,23.9,3.9 ,8.7 ,0.446,2.2,5.1 ,0.423,1.7 ,3.6 ,0.479,0.57 ,0.8,1.0 ,0.765,0.3,2.5 ,2.8 ,3.6 ,0.6,0.2,1.4,1.8,10.7
347,Isaiah Joe              ,SG   ,21.0,PHI,41.0,1.0 ,9.3 ,1.2 ,3.2 ,0.361,1.0,2.6 ,0.368,0.2 ,0.7 ,0.333,0.508,0.4,0.6 ,0.75 ,0.1,0.7 ,0.9 ,0.5 ,0.3,0.1,0.3,0.8,3.7
348,Alize Johnson           ,PF   ,24.0,BRK,18.0,0.0 ,10.5,2.2 ,3.8 ,0.588,0.1,0.3 ,0.167,2.2 ,3.4 ,0.629,0.596,0.7,0.7 ,1.0  ,1.5,3.5 ,5.0 ,0.8 ,0.3,0.3,0.5,0.9,5.2
349,Cameron Johnson         ,PF   ,24.0,PHO,60.0,11.0,24.0,3.4 ,8.1 ,0.42 ,2.0,5.6 ,0.349,1.4 ,2.5 ,0.581,0.541,0.8,1.0 ,0.847,0.6,2.8 ,3.3 ,1.4 ,0.6,0.3,0.7,1.4,9.6
350,James Johnson           ,PF   ,33.0,TOT,51.0,12.0,20.5,2.9 ,6.4 ,0.446,0.6,2.4 ,0.258,2.3 ,4.1 ,0.556,0.494,0.9,1.5 ,0.592,0.6,2.8 ,3.5 ,1.9 ,0.8,0.8,1.1,2.4,7.2
353,Keldon Johnson          ,SF   ,21.0,SAS,69.0,67.0,28.5,4.9 ,10.2,0.479,0.9,2.6 ,0.331,4.0 ,7.6 ,0.531,0.522,2.1,2.8 ,0.74 ,1.3,4.6 ,6.0 ,1.8 ,0.6,0.3,1.1,2.1,12.8
355,Stanley Johnson         ,PF   ,24.0,TOR,61.0,13.0,16.5,1.5 ,3.8 ,0.382,0.7,2.2 ,0.328,0.7 ,1.6 ,0.458,0.479,0.7,0.9 ,0.8  ,0.5,2.0 ,2.5 ,1.5 ,0.9,0.3,0.9,1.9,4.4
356,Tyler Johnson           ,SG   ,28.0,BRK,39.0,3.0 ,17.5,1.8 ,4.7 ,0.393,1.2,3.4 ,0.364,0.6 ,1.3 ,0.471,0.525,0.5,0.5 ,0.857,0.2,1.8 ,2.0 ,1.2 ,0.4,0.0,0.4,1.1,5.4
357,Nikola Jokić            ,C    ,25.0,DEN,72.0,72.0,34.6,10.2,18.0,0.566,1.3,3.3 ,0.388,8.9 ,14.7,0.606,0.602,4.8,5.5 ,0.868,2.8,8.0 ,10.8,8.3 ,1.3,0.7,3.1,2.7,26.4
358,Damian Jones            ,C    ,25.0,TOT,39.0,10.0,14.0,1.8 ,2.6 ,0.68 ,0.0,0.1 ,0.2  ,1.8 ,2.5 ,0.704,0.684,1.1,1.5 ,0.724,0.9,2.2 ,3.1 ,0.7 ,0.3,0.7,0.7,2.0,4.7
362,Derrick Jones Jr.       ,SF   ,23.0,POR,58.0,43.0,22.7,2.5 ,5.2 ,0.484,0.7,2.3 ,0.316,1.8 ,2.9 ,0.619,0.554,1.0,1.6 ,0.648,1.3,2.2 ,3.5 ,0.8 ,0.6,0.9,0.6,2.2,6.8
363,Mason Jones             ,SG   ,22.0,TOT,32.0,1.0 ,10.4,1.6 ,3.8 ,0.423,0.8,2.1 ,0.364,0.9 ,1.8 ,0.491,0.52 ,1.3,2.0 ,0.625,0.2,1.5 ,1.7 ,1.3 ,0.2,0.0,0.9,0.8,5.3
366,Tre Jones               ,PG   ,21.0,SAS,37.0,1.0 ,7.3 ,1.0 ,2.1 ,0.474,0.1,0.1 ,0.6  ,0.9 ,2.0 ,0.466,0.494,0.5,0.5 ,0.895,0.2,0.4 ,0.6 ,1.1 ,0.2,0.0,0.4,0.4,2.5
367,Tyus Jones              ,PG   ,24.0,MEM,70.0,9.0 ,17.5,2.5 ,5.9 ,0.431,0.6,2.0 ,0.321,1.9 ,3.9 ,0.487,0.485,0.6,0.6 ,0.911,0.3,1.7 ,2.0 ,3.7 ,0.9,0.1,0.7,0.4,6.3
368,DeAndre Jordan          ,C    ,32.0,BRK,57.0,43.0,21.9,3.3 ,4.4 ,0.763,0.0,0.0 ,0.0  ,3.3 ,4.4 ,0.766,0.763,0.8,1.6 ,0.5  ,2.1,5.4 ,7.5 ,1.6 ,0.3,1.1,1.5,2.0,7.5
369,Cory Joseph             ,PG   ,29.0,TOT,63.0,13.0,23.0,3.2 ,6.8 ,0.469,0.7,2.1 ,0.341,2.5 ,4.7 ,0.527,0.522,1.1,1.4 ,0.818,0.6,2.0 ,2.5 ,3.4 ,1.0,0.3,1.3,2.2,8.2
