   ,Player              ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB ,TRB ,AST,STL,BLK,TOV,PF ,PTS
34 ,Jonathan Bender     ,SF   ,22.0,IND,46.0,2.0 ,17.8,2.4 ,5.5 ,0.441,0.4,1.2,0.358,2.0,4.4 ,0.463,0.478,1.3,1.8,0.714,0.9,2.0 ,2.9 ,0.9,0.2,1.2,0.9,1.9,6.6
35 ,Corey Benjamin      ,SG   ,24.0,ATL,9.0 ,0.0 ,16.9,1.4 ,4.8 ,0.302,0.2,1.4,0.154,1.2,3.3 ,0.367,0.326,1.3,1.8,0.75 ,1.1,2.3 ,3.4 ,1.1,0.1,0.2,0.7,2.2,4.4
36 ,Travis Best         ,PG   ,30.0,MIA,72.0,52.0,25.1,3.2 ,8.1 ,0.396,0.5,1.5,0.33 ,2.7,6.6 ,0.411,0.427,1.5,1.7,0.854,0.4,1.7 ,2.0 ,3.5,0.6,0.1,1.5,2.4,8.4
37 ,Mike Bibby          ,PG   ,24.0,SAC,55.0,55.0,33.4,6.0 ,12.7,0.47 ,1.0,2.5,0.409,5.0,10.2,0.485,0.51 ,2.9,3.4,0.861,0.6,2.1 ,2.7 ,5.2,1.3,0.1,2.3,1.7,15.9
38 ,Chauncey Billups    ,PG   ,26.0,DET,74.0,74.0,31.4,4.9 ,11.8,0.421,2.0,5.1,0.392,2.9,6.6 ,0.443,0.506,4.3,4.9,0.878,0.5,3.2 ,3.7 ,3.9,0.9,0.2,1.8,1.8,16.2
43 ,Calvin Booth        ,C    ,26.0,SEA,47.0,0.0 ,12.2,1.1 ,2.5 ,0.437,0.0,0.0,0.0  ,1.1,2.5 ,0.444,0.437,0.7,1.0,0.723,0.7,1.6 ,2.3 ,0.3,0.2,0.7,0.5,1.6,2.9
44 ,Carlos Boozer       ,PF   ,21.0,CLE,81.0,54.0,25.3,4.1 ,7.6 ,0.536,0.0,0.0,0.0  ,4.1,7.6 ,0.536,0.536,1.8,2.4,0.771,2.5,5.0 ,7.5 ,1.3,0.7,0.6,1.3,2.8,10.0
46 ,Bruce Bowen         ,SF   ,31.0,SAS,82.0,82.0,31.3,2.7 ,5.8 ,0.466,1.2,2.8,0.441,1.5,3.0 ,0.488,0.571,0.4,1.1,0.404,0.7,2.2 ,2.9 ,1.4,0.8,0.5,0.9,2.4,7.1
48 ,Ryan Bowen          ,SG   ,27.0,DEN,62.0,31.0,16.1,1.6 ,3.2 ,0.492,0.0,0.1,0.286,1.5,3.1 ,0.5  ,0.497,0.4,0.7,0.659,1.3,1.3 ,2.5 ,0.9,1.0,0.5,0.7,1.3,3.6
49 ,Earl Boykins        ,PG   ,26.0,GSW,68.0,0.0 ,19.4,2.9 ,6.8 ,0.429,0.4,1.1,0.377,2.5,5.7 ,0.439,0.46 ,2.5,2.9,0.865,0.5,0.8 ,1.3 ,3.3,0.6,0.1,1.1,1.1,8.8
50 ,Michael Bradley     ,PF   ,23.0,TOR,67.0,11.0,19.6,2.3 ,4.7 ,0.481,0.0,0.1,0.167,2.2,4.6 ,0.487,0.482,0.5,1.0,0.522,2.4,3.7 ,6.1 ,1.0,0.2,0.5,1.1,1.9,5.0
51 ,Shawn Bradley       ,C    ,30.0,DAL,81.0,39.0,21.4,2.5 ,4.6 ,0.536,0.0,0.0,0.0  ,2.5,4.6 ,0.537,0.536,1.7,2.2,0.806,1.9,4.0 ,5.9 ,0.7,0.8,2.1,0.8,3.0,6.7
52 ,Elton Brand         ,PF   ,23.0,LAC,62.0,61.0,39.6,7.3 ,14.5,0.502,0.0,0.0,0.0  ,7.3,14.5,0.502,0.502,3.9,5.7,0.685,4.6,6.8 ,11.3,2.5,1.1,2.5,2.6,3.3,18.5
53 ,J.R. Bremer         ,PG   ,22.0,BOS,64.0,41.0,23.5,2.7 ,7.3 ,0.369,1.6,4.5,0.353,1.1,2.8 ,0.393,0.477,1.3,1.7,0.766,0.3,2.0 ,2.3 ,2.6,0.6,0.0,0.9,1.3,8.3
54 ,Jamison Brewer      ,PG   ,22.0,IND,10.0,0.0 ,8.0 ,0.9 ,1.7 ,0.529,0.0,0.2,0.0  ,0.9,1.5 ,0.6  ,0.529,0.4,0.9,0.444,0.5,0.4 ,0.9 ,1.8,0.2,0.1,0.6,1.1,2.2
55 ,Primož Brezec       ,C    ,23.0,IND,22.0,1.0 ,5.0 ,0.7 ,1.7 ,0.395,0.0,0.0,0.0  ,0.7,1.7 ,0.405,0.395,0.5,0.9,0.6  ,0.6,0.5 ,1.0 ,0.2,0.1,0.2,0.3,0.7,1.9
56 ,Damone Brown        ,PF   ,23.0,TOR,5.0 ,3.0 ,23.0,2.2 ,7.0 ,0.314,0.0,0.4,0.0  ,2.2,6.6 ,0.333,0.314,1.2,1.6,0.75 ,0.6,2.4 ,3.0 ,0.6,0.2,0.0,1.2,2.8,5.6
57 ,Devin Brown         ,SG   ,24.0,TOT,10.0,2.0 ,9.3 ,1.2 ,3.5 ,0.343,0.0,0.1,0.0  ,1.2,3.4 ,0.353,0.343,0.6,0.8,0.75 ,0.8,1.0 ,1.8 ,0.7,0.4,0.1,0.9,1.4,3.0
60 ,Kedrick Brown       ,SF   ,21.0,BOS,51.0,5.0 ,13.1,1.2 ,3.4 ,0.357,0.1,0.8,0.077,1.1,2.6 ,0.439,0.365,0.4,0.6,0.625,0.9,1.9 ,2.7 ,0.4,0.7,0.3,0.5,1.3,2.8
61 ,Kwame Brown         ,C    ,20.0,WAS,80.0,20.0,22.2,2.8 ,6.3 ,0.446,0.0,0.0,0.0  ,2.8,6.2 ,0.449,0.446,1.8,2.7,0.668,1.6,3.7 ,5.3 ,0.7,0.6,1.0,1.4,2.0,7.4
62 ,P.J. Brown          ,PF   ,33.0,NOH,78.0,78.0,33.4,4.1 ,7.7 ,0.531,0.0,0.0,0.0  ,4.1,7.7 ,0.533,0.531,2.5,3.0,0.836,3.1,5.9 ,9.0 ,1.9,0.9,1.0,1.3,2.6,10.7
64 ,Tierre Brown        ,PG   ,23.0,CLE,15.0,0.0 ,11.2,1.8 ,3.9 ,0.458,0.0,0.1,0.0  ,1.8,3.9 ,0.466,0.458,0.7,0.9,0.786,0.5,1.5 ,2.0 ,2.6,0.9,0.0,1.5,0.6,4.3
65 ,Rick Brunson        ,PG   ,30.0,CHI,17.0,0.0 ,11.5,1.4 ,2.9 ,0.46 ,0.2,0.4,0.667,1.1,2.6 ,0.432,0.5  ,0.6,0.7,0.833,0.2,0.9 ,1.1 ,2.1,0.6,0.2,1.0,1.2,3.5
66 ,Kobe Bryant*        ,SG   ,24.0,LAL,82.0,82.0,41.5,10.6,23.5,0.451,1.5,4.0,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6 ,6.9 ,5.9,2.2,0.8,3.5,2.7,30.0
71 ,Greg Buckner        ,SG   ,26.0,PHI,75.0,5.0 ,20.2,2.5 ,5.3 ,0.465,0.2,0.7,0.273,2.3,4.6 ,0.496,0.484,0.9,1.1,0.802,1.0,1.9 ,2.9 ,1.3,1.0,0.2,0.8,2.7,6.0
72 ,Pat Burke           ,C    ,29.0,ORL,62.0,8.0 ,12.6,1.8 ,4.8 ,0.382,0.0,0.1,0.143,1.8,4.7 ,0.388,0.383,0.6,0.9,0.69 ,0.9,1.4 ,2.4 ,0.4,0.3,0.4,0.8,1.6,4.3
74 ,Caron Butler        ,SF   ,22.0,MIA,78.0,78.0,36.6,5.5 ,13.2,0.416,0.4,1.4,0.318,5.1,11.9,0.427,0.432,4.0,4.8,0.824,1.7,3.4 ,5.1 ,2.7,1.8,0.4,2.5,2.9,15.4
75 ,Rasual Butler       ,SG   ,23.0,MIA,72.0,28.0,21.0,2.9 ,7.9 ,0.362,0.7,2.4,0.292,2.2,5.6 ,0.392,0.406,1.1,1.4,0.731,0.4,2.2 ,2.6 ,1.3,0.3,0.6,1.1,1.5,7.5
77 ,Marcus Camby        ,C    ,28.0,DEN,29.0,9.0 ,21.2,3.2 ,7.8 ,0.41 ,0.1,0.2,0.4  ,3.1,7.7 ,0.41 ,0.414,1.1,1.7,0.66 ,2.6,4.6 ,7.2 ,1.6,0.7,1.4,0.9,2.4,7.6
78 ,Elden Campbell      ,C    ,34.0,TOT,56.0,1.0 ,15.5,2.1 ,5.3 ,0.397,0.0,0.0,0.0  ,2.1,5.3 ,0.398,0.397,1.9,2.4,0.801,0.8,2.4 ,3.2 ,0.9,0.6,0.7,0.9,2.3,6.1
81 ,Brian Cardinal      ,PF   ,25.0,WAS,5.0 ,0.0 ,3.0 ,0.2 ,0.8 ,0.25 ,0.0,0.2,0.0  ,0.2,0.6 ,0.333,0.25 ,0.4,0.4,1.0  ,0.6,0.4 ,1.0 ,0.2,0.0,0.0,0.2,0.0,0.8
82 ,Anthony Carter      ,PG   ,27.0,MIA,49.0,26.0,18.6,1.7 ,4.8 ,0.356,0.0,0.2,0.0  ,1.7,4.6 ,0.369,0.356,0.7,1.0,0.66 ,0.2,1.4 ,1.7 ,4.1,0.9,0.1,1.7,1.4,4.1
83 ,Vince Carter        ,SG   ,26.0,TOR,43.0,42.0,34.2,8.3 ,17.7,0.467,1.0,3.0,0.344,7.2,14.6,0.493,0.497,3.0,3.7,0.806,1.4,3.0 ,4.4 ,3.3,1.1,1.0,1.7,2.8,20.6
