   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
120,Sherman Douglas      ,PG   ,29.0,TOT,79.0,66.0,29.6,4.4 ,8.7 ,0.504,0.5,1.4,0.364,3.9 ,7.3 ,0.53 ,0.533,2.0,2.8 ,0.731,0.7,1.6,2.3 ,5.5 ,0.8,0.1,2.5,2.1,11.3
123,Clyde Drexler*       ,SG   ,33.0,HOU,52.0,51.0,38.4,6.4 ,14.7,0.433,1.5,4.5,0.332,4.9 ,10.2,0.478,0.484,5.1,6.5 ,0.784,1.9,5.3,7.2 ,5.8 ,2.0,0.5,2.6,2.9,19.3
126,Chris Dudley         ,C    ,30.0,POR,80.0,61.0,24.1,2.0 ,4.5 ,0.453,0.0,0.0,0.0  ,2.0 ,4.5 ,0.454,0.453,1.0,2.0 ,0.51 ,3.0,6.0,9.0 ,0.5 ,0.5,1.3,1.0,3.1,5.1
127,Joe Dumars*          ,PG   ,32.0,DET,67.0,40.0,32.7,3.8 ,8.9 ,0.426,1.8,4.4,0.406,2.0 ,4.5 ,0.447,0.528,2.4,2.9 ,0.822,0.4,1.6,2.1 ,4.0 ,0.6,0.0,1.4,1.6,11.8
128,Richard Dumas        ,PF   ,26.0,PHI,39.0,14.0,18.9,2.4 ,5.2 ,0.468,0.1,0.2,0.222,2.4 ,5.0 ,0.479,0.473,1.3,1.8 ,0.7  ,1.1,1.5,2.5 ,1.1 ,1.1,0.2,1.3,2.0,6.2
129,Tony Dumas           ,SG   ,23.0,DAL,67.0,12.0,19.2,4.1 ,9.8 ,0.418,1.1,3.1,0.357,3.0 ,6.7 ,0.446,0.475,2.3,3.8 ,0.599,0.9,0.9,1.7 ,1.5 ,0.6,0.2,1.1,1.9,11.6
130,Ledell Eackles       ,SG   ,29.0,WSB,55.0,26.0,22.5,2.9 ,6.9 ,0.427,1.0,2.3,0.422,1.9 ,4.5 ,0.43 ,0.499,1.8,2.1 ,0.831,0.8,1.9,2.7 ,1.6 ,0.5,0.1,1.0,1.5,8.6
131,Acie Earl            ,C    ,25.0,TOR,42.0,7.0 ,15.6,2.8 ,6.6 ,0.424,0.0,0.1,0.0  ,2.8 ,6.5 ,0.429,0.424,2.0,2.7 ,0.719,1.2,1.9,3.1 ,0.6 ,0.4,0.9,1.2,1.7,7.5
132,Tyus Edney           ,PG   ,22.0,SAC,80.0,60.0,31.0,3.8 ,9.3 ,0.412,0.7,1.8,0.368,3.2 ,7.5 ,0.423,0.448,2.5,3.2 ,0.782,0.8,1.7,2.5 ,6.1 ,1.1,0.0,2.4,2.5,10.8
133,Blue Edwards         ,SF   ,30.0,VAN,82.0,82.0,33.8,4.9 ,11.7,0.419,1.0,3.0,0.343,3.9 ,8.7 ,0.446,0.463,1.9,2.5 ,0.755,1.2,3.0,4.2 ,2.6 ,1.4,0.6,2.1,3.0,12.7
134,Doug Edwards         ,PF   ,25.0,VAN,31.0,0.0 ,16.7,1.0 ,2.9 ,0.352,0.0,0.1,0.0  ,1.0 ,2.8 ,0.368,0.352,0.9,1.2 ,0.763,1.1,1.7,2.8 ,1.3 ,0.3,0.6,0.9,1.6,3.0
136,Kevin Edwards        ,SG   ,30.0,NJN,34.0,33.0,29.6,4.2 ,11.5,0.364,1.2,3.1,0.404,2.9 ,8.4 ,0.35 ,0.418,2.0,2.5 ,0.81 ,0.4,1.8,2.2 ,2.1 ,1.6,0.2,2.0,2.0,11.6
137,Craig Ehlo           ,SG   ,34.0,ATL,79.0,8.0 ,22.3,3.2 ,7.5 ,0.428,1.0,2.8,0.371,2.2 ,4.7 ,0.462,0.497,1.0,1.3 ,0.786,0.8,2.4,3.2 ,1.7 ,1.1,0.1,1.3,1.7,8.5
138,Howard Eisley        ,PG   ,23.0,UTA,65.0,0.0 ,14.8,1.6 ,3.7 ,0.43 ,0.2,1.0,0.226,1.4 ,2.8 ,0.5  ,0.459,1.0,1.2 ,0.844,0.3,0.9,1.2 ,2.2 ,0.4,0.0,1.2,2.0,4.4
139,Mario Elie           ,SF   ,32.0,HOU,45.0,16.0,30.8,4.0 ,7.9 ,0.504,0.9,2.8,0.323,3.1 ,5.1 ,0.604,0.562,2.2,2.6 ,0.852,1.0,2.4,3.4 ,3.1 ,1.0,0.2,1.3,2.1,11.1
140,Sean Elliott         ,SF   ,27.0,SAS,77.0,77.0,37.7,6.8 ,14.6,0.466,2.1,5.1,0.411,4.7 ,9.5 ,0.495,0.537,4.2,5.5 ,0.771,0.9,4.2,5.1 ,2.7 ,0.9,0.4,2.6,2.3,20.0
141,Dale Ellis           ,SF   ,35.0,DEN,81.0,52.0,32.4,5.7 ,11.8,0.479,1.9,4.5,0.412,3.8 ,7.3 ,0.519,0.557,1.7,2.2 ,0.76 ,1.1,2.8,3.9 ,1.7 ,0.7,0.1,1.2,2.4,14.9
142,LaPhonso Ellis       ,SF   ,25.0,DEN,45.0,28.0,28.2,4.2 ,9.6 ,0.438,0.1,0.5,0.182,4.1 ,9.1 ,0.451,0.442,2.0,3.3 ,0.601,2.1,5.1,7.2 ,1.6 ,0.8,0.7,1.8,3.6,10.5
146,Vincenzo Esposito    ,PG   ,26.0,TOR,30.0,0.0 ,9.4 ,1.2 ,3.3 ,0.36 ,0.4,1.9,0.232,0.8 ,1.5 ,0.523,0.425,1.0,1.3 ,0.795,0.1,0.4,0.5 ,0.8 ,0.2,0.0,1.3,0.9,3.9
147,Patrick Ewing*       ,C    ,33.0,NYK,76.0,76.0,36.6,8.9 ,19.2,0.466,0.1,0.4,0.143,8.9 ,18.8,0.472,0.467,4.6,6.1 ,0.761,2.1,8.5,10.6,2.1 ,0.9,2.4,2.9,3.3,22.5
148,Duane Ferrell        ,SF   ,30.0,IND,54.0,6.0 ,10.9,1.5 ,3.1 ,0.482,0.0,0.1,0.0  ,1.5 ,2.9 ,0.506,0.482,0.8,1.1 ,0.737,0.6,1.1,1.7 ,0.6 ,0.4,0.1,0.6,1.5,3.7
149,Danny Ferry          ,PF   ,29.0,CLE,82.0,79.0,32.7,5.1 ,11.2,0.459,1.7,4.4,0.394,3.4 ,6.8 ,0.502,0.537,1.3,1.6 ,0.769,0.9,2.9,3.8 ,2.3 ,0.7,0.5,1.5,2.8,13.3
150,Michael Finley       ,SF   ,22.0,PHO,82.0,72.0,39.2,5.7 ,11.9,0.476,0.7,2.3,0.328,4.9 ,9.6 ,0.511,0.508,3.0,3.9 ,0.749,1.7,2.9,4.6 ,3.5 ,1.0,0.4,1.6,2.4,15.0
154,Vern Fleming         ,PG   ,33.0,NJN,77.0,3.0 ,22.7,2.9 ,6.8 ,0.433,0.0,0.4,0.107,2.9 ,6.4 ,0.452,0.436,1.7,2.3 ,0.751,0.6,1.6,2.2 ,3.3 ,0.5,0.1,1.6,1.5,7.7
155,Sherell Ford         ,SF   ,23.0,SEA,28.0,1.0 ,5.0 ,1.1 ,2.9 ,0.375,0.1,0.9,0.16 ,0.9 ,2.0 ,0.473,0.4  ,0.9,1.2 ,0.765,0.4,0.4,0.9 ,0.2 ,0.3,0.0,0.2,1.0,3.2
156,Greg Foster          ,C    ,27.0,UTA,73.0,2.0 ,11.0,1.5 ,3.3 ,0.439,0.0,0.1,0.125,1.5 ,3.2 ,0.449,0.441,0.8,1.0 ,0.847,0.7,1.7,2.4 ,0.3 ,0.1,0.3,0.8,1.6,3.8
157,Rick Fox             ,SF   ,26.0,BOS,81.0,81.0,32.0,5.2 ,11.5,0.454,1.2,3.4,0.364,4.0 ,8.1 ,0.491,0.507,2.4,3.1 ,0.772,2.0,3.6,5.6 ,4.6 ,1.4,0.5,2.7,3.6,14.0
158,Kevin Gamble         ,SF   ,30.0,TOT,65.0,13.0,20.4,2.3 ,5.8 ,0.401,0.7,1.8,0.386,1.7 ,4.1 ,0.408,0.459,0.6,0.7 ,0.792,0.3,1.4,1.7 ,1.5 ,0.5,0.1,0.7,2.3,5.9
161,Kevin Garnett*       ,SF   ,19.0,MIN,80.0,43.0,28.7,4.5 ,9.2 ,0.491,0.1,0.4,0.286,4.4 ,8.8 ,0.499,0.497,1.3,1.9 ,0.705,2.2,4.1,6.3 ,1.8 ,1.1,1.6,1.4,2.4,10.4
162,Chris Gatling        ,PF   ,28.0,TOT,71.0,2.0 ,20.1,4.6 ,8.0 ,0.575,0.0,0.0,0.0  ,4.6 ,8.0 ,0.576,0.575,2.0,2.9 ,0.671,1.8,4.1,5.9 ,0.6 ,0.5,0.6,1.3,3.1,11.1
166,Matt Geiger          ,C    ,26.0,CHH,77.0,50.0,30.5,4.6 ,8.6 ,0.536,0.0,0.1,0.375,4.6 ,8.5 ,0.538,0.538,1.9,2.7 ,0.727,2.6,5.8,8.4 ,0.8 ,0.6,0.8,1.8,3.8,11.2
