   ,Player             ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
239,J.J. Hickson       ,PF   ,23.0,TOT,54.0,19.0,23.0,3.4 ,7.3 ,0.467,0.0,0.0,0.0  ,3.4,7.2 ,0.469,0.467,1.6,2.5 ,0.642,2.5,3.7 ,6.2 ,0.8 ,0.6,0.6,1.3,1.6,8.4
242,Cory Higgins       ,PG   ,22.0,CHA,38.0,0.0 ,11.1,1.4 ,4.2 ,0.325,0.1,0.5,0.2  ,1.3,3.7 ,0.343,0.338,1.1,1.6 ,0.7  ,0.2,0.7 ,0.9 ,0.9 ,0.1,0.2,1.0,1.1,3.9
243,Nenê               ,C    ,29.0,TOT,39.0,33.0,28.5,5.4 ,10.1,0.537,0.0,0.1,0.0  ,5.4,10.0,0.542,0.537,2.9,4.3 ,0.673,1.6,5.8 ,7.5 ,2.1 ,1.1,1.0,2.5,2.4,13.7
246,George Hill        ,PG   ,25.0,IND,50.0,9.0 ,25.5,3.4 ,7.6 ,0.442,1.1,2.9,0.367,2.3,4.7 ,0.489,0.513,1.8,2.3 ,0.778,0.6,2.4 ,3.0 ,2.9 ,0.8,0.3,1.0,2.0,9.6
247,Grant Hill*        ,SF   ,39.0,PHO,49.0,46.0,28.1,4.1 ,9.2 ,0.446,0.3,1.1,0.264,3.8,8.1 ,0.47 ,0.461,1.7,2.2 ,0.761,0.6,2.9 ,3.5 ,2.2 ,0.8,0.6,1.3,1.8,10.2
248,Jordan Hill        ,C    ,24.0,TOT,39.0,8.0 ,14.1,2.1 ,4.2 ,0.497,0.0,0.1,0.0  ,2.1,4.2 ,0.506,0.497,0.8,1.2 ,0.638,1.6,3.2 ,4.8 ,0.4 ,0.4,0.7,0.8,1.8,5.0
251,Kirk Hinrich       ,SG   ,31.0,ATL,48.0,31.0,25.8,2.5 ,6.1 ,0.414,1.0,2.8,0.346,1.6,3.3 ,0.472,0.493,0.5,0.7 ,0.781,0.2,1.9 ,2.1 ,2.8 ,0.8,0.2,1.2,2.1,6.6
253,Jrue Holiday       ,PG   ,21.0,PHI,65.0,65.0,33.8,5.5 ,12.8,0.432,1.0,2.6,0.38 ,4.5,10.2,0.445,0.471,1.4,1.8 ,0.783,0.9,2.4 ,3.3 ,4.5 ,1.6,0.3,2.1,2.1,13.5
257,Tyler Honeycutt    ,SF   ,21.0,SAC,15.0,0.0 ,5.9 ,0.5 ,1.6 ,0.333,0.1,0.2,0.333,0.5,1.4 ,0.333,0.354,0.2,0.3 ,0.6  ,0.2,0.7 ,0.9 ,0.5 ,0.3,0.2,0.1,0.2,1.3
258,Al Horford         ,C    ,25.0,ATL,11.0,11.0,31.6,5.2 ,9.4 ,0.553,0.0,0.1,0.0  ,5.2,9.3 ,0.559,0.553,2.0,2.7 ,0.733,2.4,4.6 ,7.0 ,2.2 ,0.9,1.3,1.5,1.9,12.4
259,Dennis Horner      ,PF   ,23.0,NJN,8.0 ,0.0 ,2.8 ,0.1 ,0.5 ,0.25 ,0.0,0.1,0.0  ,0.1,0.4 ,0.333,0.25 ,0.4,0.5 ,0.75 ,0.3,0.4 ,0.6 ,0.0 ,0.0,0.0,0.1,0.1,0.6
260,Dwight Howard      ,C    ,26.0,ORL,54.0,54.0,38.3,7.7 ,13.4,0.573,0.0,0.1,0.0  ,7.7,13.3,0.579,0.573,5.2,10.6,0.491,3.7,10.8,14.5,1.9 ,1.5,2.1,3.2,2.9,20.6
261,Josh Howard        ,SF   ,31.0,UTA,43.0,18.0,23.0,3.3 ,8.4 ,0.399,0.2,0.9,0.243,3.1,7.5 ,0.417,0.411,1.7,2.3 ,0.773,0.9,2.8 ,3.7 ,1.2 ,0.7,0.2,1.2,2.1,8.7
264,Lester Hudson      ,PG   ,27.0,TOT,16.0,0.0 ,20.9,3.9 ,10.1,0.383,1.0,4.0,0.25 ,2.9,6.1 ,0.469,0.432,2.1,2.6 ,0.829,0.4,2.4 ,2.9 ,2.3 ,0.9,0.2,2.0,1.6,10.9
