   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
44 ,Shane Battier        ,SG   ,30.0,HOU,60.0,59.0,33.9,2.4 ,5.9 ,0.41 ,1.5,4.0,0.384,0.9,2.0 ,0.462,0.538,0.9,1.1 ,0.821,0.9,3.9,4.8 ,2.3 ,0.8,0.9,0.8,1.9,7.3
45 ,Nicolas Batum        ,SF   ,20.0,POR,79.0,76.0,18.4,2.0 ,4.6 ,0.446,0.8,2.1,0.369,1.3,2.4 ,0.513,0.532,0.5,0.7 ,0.808,1.1,1.7,2.8 ,0.9 ,0.6,0.5,0.6,1.8,5.4
46 ,Jerryd Bayless       ,PG   ,20.0,POR,53.0,0.0 ,12.4,1.3 ,3.6 ,0.365,0.1,0.5,0.259,1.2,3.1 ,0.383,0.384,1.6,1.9 ,0.806,0.2,0.9,1.1 ,1.5 ,0.3,0.0,1.1,1.5,4.3
47 ,Michael Beasley      ,PF   ,20.0,MIA,81.0,19.0,24.8,5.6 ,11.8,0.472,0.4,1.0,0.407,5.2,10.8,0.478,0.49 ,2.3,3.0 ,0.772,1.4,4.1,5.4 ,1.0 ,0.5,0.5,1.5,2.3,13.9
48 ,Marco Belinelli      ,SG   ,22.0,GSW,42.0,23.0,21.0,3.3 ,7.5 ,0.442,1.2,3.1,0.397,2.1,4.4 ,0.473,0.524,1.0,1.2 ,0.769,0.2,1.5,1.7 ,2.1 ,0.9,0.0,1.4,1.7,8.9
50 ,Charlie Bell         ,SG   ,29.0,MIL,70.0,23.0,25.5,3.1 ,7.5 ,0.414,1.2,3.4,0.363,1.9,4.1 ,0.458,0.497,0.9,1.1 ,0.825,0.5,1.5,1.9 ,2.2 ,0.7,0.1,1.1,2.0,8.4
51 ,Raja Bell            ,SG   ,32.0,TOT,67.0,66.0,34.6,4.5 ,10.2,0.437,1.7,4.0,0.421,2.8,6.2 ,0.448,0.52 ,1.3,1.5 ,0.853,0.6,3.0,3.6 ,2.1 ,0.7,0.1,1.3,2.5,11.9
54 ,Mike Bibby           ,PG   ,30.0,ATL,79.0,79.0,34.7,5.5 ,12.7,0.435,2.1,5.4,0.39 ,3.4,7.3 ,0.468,0.518,1.7,2.2 ,0.789,0.5,3.0,3.5 ,5.0 ,1.2,0.1,1.6,1.8,14.9
55 ,Andris Biedriņš      ,C    ,22.0,GSW,62.0,58.0,30.0,5.0 ,8.6 ,0.578,0.0,0.0,0.0  ,5.0,8.6 ,0.579,0.578,1.9,3.5 ,0.551,3.6,7.6,11.2,2.0 ,1.0,1.5,1.8,3.8,11.9
56 ,Chauncey Billups     ,PG   ,32.0,TOT,79.0,79.0,35.3,5.2 ,12.4,0.418,2.1,5.0,0.408,3.1,7.4 ,0.425,0.501,5.3,5.8 ,0.913,0.4,2.6,3.0 ,6.4 ,1.2,0.2,2.2,2.0,17.7
59 ,Steve Blake          ,PG   ,28.0,POR,69.0,69.0,31.7,4.0 ,9.4 ,0.428,2.0,4.8,0.427,2.0,4.6 ,0.429,0.536,0.9,1.1 ,0.84 ,0.4,2.1,2.5 ,5.0 ,1.0,0.1,1.6,1.8,11.0
60 ,Andray Blatche       ,C    ,22.0,WAS,71.0,36.0,24.0,4.2 ,8.9 ,0.471,0.1,0.3,0.238,4.1,8.6 ,0.479,0.475,1.6,2.3 ,0.704,1.8,3.5,5.3 ,1.7 ,0.7,1.0,1.6,3.0,10.0
61 ,Mark Blount          ,C    ,33.0,MIA,20.0,0.0 ,10.4,1.5 ,3.9 ,0.385,0.6,1.4,0.407,1.0,2.6 ,0.373,0.455,0.4,0.7 ,0.615,0.5,1.6,2.1 ,0.2 ,0.1,0.4,0.7,0.9,4.0
62 ,Keith Bogans         ,SG   ,28.0,TOT,65.0,15.0,19.6,1.8 ,5.0 ,0.367,1.1,3.4,0.339,0.7,1.6 ,0.425,0.481,0.8,0.9 ,0.912,0.5,2.6,3.1 ,1.0 ,0.7,0.1,0.6,1.6,5.6
66 ,Matt Bonner          ,PF   ,28.0,SAS,81.0,67.0,23.8,3.3 ,6.6 ,0.496,1.5,3.3,0.44 ,1.8,3.3 ,0.552,0.606,0.2,0.3 ,0.739,1.2,3.6,4.8 ,1.0 ,0.6,0.3,0.5,2.3,8.2
72 ,Chris Bosh*          ,C    ,24.0,TOR,77.0,77.0,38.0,8.0 ,16.4,0.487,0.2,0.6,0.245,7.8,15.8,0.497,0.492,6.5,8.0 ,0.817,2.8,7.2,10.0,2.5 ,0.9,1.0,2.3,2.5,22.7
73 ,Bruce Bowen          ,SF   ,37.0,SAS,80.0,10.0,18.8,1.0 ,2.3 ,0.422,0.5,1.2,0.429,0.5,1.1 ,0.416,0.535,0.2,0.3 ,0.538,0.2,1.6,1.8 ,0.5 ,0.5,0.2,0.3,1.5,2.7
76 ,Corey Brewer         ,SF   ,22.0,MIN,15.0,8.0 ,20.5,2.5 ,6.0 ,0.411,0.3,0.8,0.417,2.1,5.2 ,0.41 ,0.439,0.9,1.3 ,0.737,1.2,2.1,3.3 ,1.7 ,1.0,0.2,0.9,2.5,6.2
77 ,Ronnie Brewer        ,SF   ,23.0,UTA,81.0,80.0,32.2,5.2 ,10.2,0.508,0.3,1.0,0.259,4.9,9.2 ,0.537,0.522,3.0,4.3 ,0.702,1.2,2.5,3.7 ,2.2 ,1.7,0.4,1.4,1.6,13.7
79 ,Aaron Brooks         ,PG   ,24.0,HOU,80.0,35.0,25.0,4.0 ,9.8 ,0.404,1.4,3.9,0.366,2.5,5.9 ,0.428,0.476,1.9,2.2 ,0.866,0.4,1.6,2.0 ,3.0 ,0.6,0.1,1.6,1.9,11.2
81 ,Bobby Brown          ,SG-PG,24.0,TOT,68.0,2.0 ,13.7,2.1 ,5.3 ,0.392,0.7,1.9,0.346,1.4,3.4 ,0.417,0.454,0.5,0.6 ,0.791,0.2,0.6,0.8 ,1.7 ,0.3,0.0,0.9,1.4,5.3
84 ,Dee Brown            ,PG   ,24.0,TOT,19.0,11.0,13.7,0.9 ,2.6 ,0.367,0.4,1.3,0.292,0.6,1.3 ,0.44 ,0.439,0.2,0.3 ,0.6  ,0.4,1.2,1.5 ,1.9 ,0.5,0.0,0.9,1.5,2.4
87 ,Devin Brown          ,SG   ,30.0,NOH,63.0,5.0 ,13.8,1.8 ,5.0 ,0.355,0.4,1.5,0.289,1.3,3.4 ,0.384,0.399,1.2,1.6 ,0.78 ,0.5,1.4,1.9 ,0.9 ,0.5,0.1,0.9,1.3,5.2
89 ,Shannon Brown        ,SG   ,23.0,TOT,48.0,0.0 ,9.9 ,1.6 ,3.4 ,0.473,0.3,0.8,0.378,1.3,2.7 ,0.5  ,0.515,0.7,0.8 ,0.821,0.2,0.7,0.9 ,0.8 ,0.5,0.1,0.8,0.9,4.2
92 ,Kobe Bryant*         ,SG   ,30.0,LAL,82.0,82.0,36.1,9.8 ,20.9,0.467,1.4,4.1,0.351,8.3,16.8,0.496,0.502,5.9,6.9 ,0.856,1.1,4.1,5.2 ,4.9 ,1.5,0.5,2.6,2.3,26.8
93 ,Greg Buckner         ,SF   ,32.0,MEM,63.0,0.0 ,13.9,1.0 ,2.5 ,0.384,0.2,0.8,0.255,0.8,1.7 ,0.444,0.425,0.3,0.4 ,0.8  ,0.5,1.6,2.1 ,0.9 ,0.5,0.1,0.6,1.7,2.5
94 ,Caron Butler         ,SG   ,28.0,WAS,67.0,67.0,38.6,7.3 ,16.2,0.453,1.0,3.1,0.31 ,6.4,13.1,0.487,0.482,5.1,6.0 ,0.858,1.8,4.4,6.2 ,4.3 ,1.6,0.3,3.1,2.5,20.8
95 ,Rasual Butler        ,SF   ,29.0,NOH,82.0,74.0,31.9,4.2 ,9.8 ,0.433,1.7,4.4,0.39 ,2.5,5.4 ,0.468,0.521,1.0,1.3 ,0.782,0.6,2.7,3.3 ,0.9 ,0.6,0.7,0.7,1.9,11.2
97 ,Will Bynum           ,PG   ,26.0,DET,57.0,1.0 ,14.1,2.7 ,6.0 ,0.456,0.1,0.3,0.158,2.7,5.7 ,0.474,0.461,1.7,2.1 ,0.798,0.3,1.0,1.3 ,2.8 ,0.6,0.0,1.3,1.5,7.2
98 ,José Calderón        ,PG   ,27.0,TOR,68.0,68.0,34.3,4.7 ,9.5 ,0.497,1.2,3.0,0.406,3.5,6.5 ,0.538,0.561,2.2,2.3 ,0.981,0.2,2.6,2.9 ,8.9 ,1.1,0.1,2.1,1.7,12.8
99 ,Marcus Camby         ,C    ,34.0,LAC,62.0,55.0,31.0,4.1 ,8.0 ,0.512,0.0,0.1,0.25 ,4.1,7.9 ,0.514,0.513,2.1,2.9 ,0.725,2.6,8.5,11.1,2.0 ,0.8,2.1,1.5,2.1,10.3
100,Brian Cardinal       ,PF   ,31.0,MIN,64.0,4.0 ,14.2,1.0 ,2.6 ,0.385,0.5,1.4,0.326,0.5,1.2 ,0.455,0.473,0.5,0.5 ,0.857,0.6,1.6,2.2 ,1.2 ,0.6,0.2,0.8,2.1,3.0
101,Rodney Carney        ,SG   ,24.0,MIN,67.0,6.0 ,17.9,2.6 ,6.3 ,0.416,1.2,3.4,0.35 ,1.4,2.9 ,0.492,0.509,0.7,1.0 ,0.758,0.5,1.3,1.9 ,0.4 ,0.7,0.4,0.6,1.4,7.2
102,Matt Carroll         ,SG   ,28.0,TOT,55.0,10.0,11.2,1.2 ,3.1 ,0.38 ,0.2,1.0,0.245,0.9,2.1 ,0.441,0.418,0.4,0.5 ,0.84 ,0.1,1.1,1.3 ,0.5 ,0.4,0.1,0.6,1.2,3.0
105,Anthony Carter       ,PG   ,33.0,DEN,78.0,5.0 ,22.9,2.1 ,4.9 ,0.433,0.3,1.1,0.239,1.9,3.8 ,0.49 ,0.46 ,0.7,1.0 ,0.731,0.5,2.1,2.6 ,4.7 ,1.2,0.2,2.0,1.8,5.3
106,Vince Carter         ,SG   ,32.0,NJN,80.0,80.0,36.8,7.4 ,16.8,0.437,1.9,4.9,0.385,5.5,11.9,0.459,0.493,4.2,5.1 ,0.817,0.9,4.2,5.1 ,4.7 ,1.0,0.5,2.1,2.9,20.8
108,Mario Chalmers       ,PG   ,22.0,MIA,82.0,82.0,32.0,3.4 ,8.1 ,0.42 ,1.4,3.8,0.367,2.0,4.3 ,0.467,0.506,1.8,2.4 ,0.767,0.5,2.3,2.8 ,4.9 ,2.0,0.1,2.0,2.9,10.0
110,Wilson Chandler      ,SF   ,21.0,NYK,82.0,70.0,33.4,5.5 ,12.9,0.432,1.3,3.8,0.328,4.3,9.0 ,0.476,0.481,2.1,2.6 ,0.795,1.1,4.3,5.4 ,2.1 ,0.9,0.9,1.7,3.0,14.4
114,Mardy Collins        ,PG-SG,24.0,TOT,48.0,14.0,18.5,2.2 ,5.1 ,0.425,0.3,0.6,0.419,1.9,4.5 ,0.426,0.451,0.6,1.0 ,0.609,0.6,1.6,2.2 ,2.3 ,0.6,0.2,1.2,1.7,5.2
117,Nick Collison        ,C    ,28.0,OKC,71.0,40.0,25.8,3.4 ,6.0 ,0.568,0.0,0.0,0.0  ,3.4,6.0 ,0.57 ,0.568,1.4,1.9 ,0.721,2.5,4.3,6.9 ,0.9 ,0.7,0.7,1.0,3.4,8.2
118,Mike Conley          ,PG   ,21.0,MEM,82.0,61.0,30.6,3.9 ,8.9 ,0.442,1.1,2.6,0.406,2.9,6.3 ,0.458,0.503,2.0,2.4 ,0.817,0.3,3.1,3.4 ,4.3 ,1.1,0.1,1.7,1.8,10.9
119,Brian Cook           ,PF   ,28.0,TOT,30.0,0.0 ,5.7 ,0.9 ,2.5 ,0.368,0.4,1.0,0.433,0.5,1.5 ,0.326,0.454,0.2,0.2 ,0.833,0.2,0.8,1.1 ,0.2 ,0.1,0.1,0.4,0.9,2.5
122,Daequan Cook         ,SF   ,21.0,MIA,75.0,4.0 ,24.4,3.2 ,8.6 ,0.375,2.0,5.3,0.387,1.2,3.3 ,0.356,0.494,0.7,0.7 ,0.875,0.3,2.3,2.5 ,0.9 ,0.5,0.1,0.6,1.7,9.1
123,Jamal Crawford       ,PG-SG,28.0,TOT,65.0,65.0,38.1,6.4 ,15.7,0.41 ,2.2,6.1,0.36 ,4.3,9.7 ,0.441,0.479,4.6,5.3 ,0.872,0.4,2.6,3.0 ,4.4 ,0.9,0.2,2.3,1.4,19.7
126,Joe Crawford         ,SF   ,22.0,NYK,2.0 ,0.0 ,11.5,1.5 ,5.0 ,0.3  ,0.5,2.0,0.25 ,1.0,3.0 ,0.333,0.35 ,1.0,1.0 ,1.0  ,0.5,1.5,2.0 ,0.5 ,0.5,0.0,0.0,1.0,4.5
127,Javaris Crittenton   ,PG-SG,21.0,TOT,63.0,10.0,18.6,2.1 ,4.5 ,0.46 ,0.0,0.2,0.133,2.0,4.3 ,0.478,0.463,0.8,1.5 ,0.576,0.9,1.7,2.6 ,2.4 ,0.6,0.1,1.3,1.6,5.0
130,Austin Croshere      ,PF   ,33.0,TOT,14.0,0.0 ,7.1 ,1.0 ,2.8 ,0.359,0.4,1.1,0.333,0.6,1.7 ,0.375,0.423,0.5,0.9 ,0.583,0.8,1.6,2.4 ,0.6 ,0.1,0.1,0.4,0.4,2.9
134,Samuel Dalembert     ,C    ,27.0,PHI,82.0,82.0,24.8,2.6 ,5.3 ,0.498,0.0,0.0,0.0  ,2.6,5.3 ,0.5  ,0.498,1.1,1.5 ,0.734,2.6,5.9,8.5 ,0.2 ,0.4,1.8,1.4,3.0,6.4
136,Antonio Daniels      ,PG   ,33.0,TOT,74.0,9.0 ,13.8,1.3 ,3.2 ,0.419,0.3,0.8,0.367,1.0,2.4 ,0.438,0.466,1.1,1.4 ,0.8  ,0.1,1.0,1.0 ,2.4 ,0.4,0.0,0.8,0.7,4.1
139,Marquis Daniels      ,SF   ,28.0,IND,54.0,43.0,31.5,5.8 ,12.8,0.451,0.3,1.7,0.2  ,5.4,11.1,0.489,0.464,1.7,2.4 ,0.721,1.5,3.1,4.6 ,2.1 ,1.1,0.5,1.7,2.2,13.6
