   ,Player              ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST,STL,BLK,TOV,PF ,PTS
179,Devean George       ,SF   ,23.0,LAL,59.0,1.0 ,10.1,1.1 ,3.5 ,0.309,0.3,1.2,0.221,0.8 ,2.4 ,0.353,0.345,0.7,0.9 ,0.709,0.6,1.3,1.9 ,0.3,0.3,0.3,0.6,1.5,3.1
180,Eddie Gill          ,PG   ,22.0,NJN,8.0 ,0.0 ,19.0,2.0 ,5.1 ,0.39 ,0.4,1.1,0.333,1.6 ,4.0 ,0.406,0.427,0.5,0.6 ,0.8  ,0.0,1.1,1.1 ,3.0,0.5,0.1,1.3,1.1,4.9
181,Kendall Gill        ,SG   ,32.0,NJN,31.0,26.0,28.8,3.5 ,10.4,0.331,0.1,0.5,0.286,3.3 ,10.0,0.333,0.337,2.1,2.9 ,0.722,1.0,3.2,4.2 ,2.8,1.5,0.2,1.5,2.1,9.1
182,Dion Glover         ,SG   ,22.0,ATL,57.0,7.0 ,16.3,2.5 ,5.9 ,0.42 ,0.2,0.8,0.196,2.3 ,5.1 ,0.455,0.433,0.8,1.2 ,0.681,0.7,1.6,2.3 ,1.2,0.9,0.2,0.9,1.6,5.9
183,Anthony Goldwire    ,PG   ,29.0,DEN,20.0,0.0 ,10.1,1.5 ,4.0 ,0.375,0.5,1.7,0.265,1.1 ,2.3 ,0.457,0.431,0.7,0.9 ,0.765,0.1,0.6,0.6 ,1.7,0.5,0.0,0.8,0.7,4.1
184,Steve Goodrich      ,PF   ,24.0,CHI,12.0,0.0 ,11.1,0.6 ,1.5 ,0.389,0.1,0.3,0.333,0.5 ,1.3 ,0.4  ,0.417,0.3,0.6 ,0.571,0.6,1.2,1.8 ,0.5,0.2,0.1,0.7,1.2,1.6
185,Brian Grant         ,C    ,28.0,MIA,82.0,79.0,33.8,5.9 ,12.3,0.479,0.0,0.0,0.0  ,5.9 ,12.3,0.48 ,0.479,3.4,4.3 ,0.797,2.6,6.1,8.8 ,1.2,0.7,0.9,2.1,3.6,15.2
187,Horace Grant        ,PF   ,35.0,LAL,77.0,77.0,31.0,3.4 ,7.4 ,0.462,0.0,0.0,0.0  ,3.4 ,7.4 ,0.465,0.462,1.7,2.2 ,0.775,2.9,4.2,7.1 ,1.6,0.7,0.8,0.6,2.4,8.5
188,A.C. Green          ,PF   ,37.0,MIA,82.0,1.0 ,17.2,1.8 ,4.0 ,0.444,0.0,0.1,0.0  ,1.8 ,3.9 ,0.453,0.444,1.0,1.4 ,0.712,1.3,2.5,3.8 ,0.5,0.4,0.1,0.5,1.5,4.5
189,Adrian Griffin      ,SF   ,26.0,BOS,44.0,0.0 ,8.6 ,0.8 ,2.2 ,0.34 ,0.2,0.6,0.346,0.5 ,1.6 ,0.338,0.387,0.4,0.5 ,0.75 ,0.6,1.4,2.0 ,0.6,0.4,0.1,0.4,1.0,2.1
190,Tom Gugliotta       ,PF   ,31.0,PHO,57.0,2.0 ,20.3,2.6 ,6.7 ,0.392,0.1,0.2,0.25 ,2.6 ,6.5 ,0.397,0.396,1.1,1.4 ,0.792,1.3,3.1,4.5 ,1.0,0.8,0.4,0.9,1.9,6.4
