   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
142,Troy Daniels            ,SG   ,23.0,TOT,47.0,0.0 ,8.4 ,1.3,3.5 ,0.37 ,0.9,2.5,0.364,0.4,1.0 ,0.383,0.5  ,0.2,0.3 ,0.846,0.2,0.5 ,0.7 ,0.5 ,0.1,0.0,0.4,0.9,3.7
146,Gigi Datome             ,SF   ,27.0,TOT,21.0,1.0 ,10.0,2.0,4.2 ,0.483,0.9,1.9,0.45 ,1.2,2.3 ,0.51 ,0.584,0.0,0.0 ,1.0  ,0.1,1.2 ,1.4 ,0.4 ,0.1,0.3,0.4,0.7,5.0
149,Brandon Davies          ,PF   ,23.0,TOT,27.0,6.0 ,15.7,2.0,5.1 ,0.401,0.3,1.3,0.235,1.7,3.8 ,0.456,0.431,0.9,1.4 ,0.649,1.4,1.7 ,3.1 ,1.1 ,0.7,0.3,1.1,2.2,5.3
152,Anthony Davis           ,PF   ,21.0,NOP,68.0,68.0,36.1,9.4,17.6,0.535,0.0,0.2,0.083,9.4,17.5,0.54 ,0.536,5.5,6.8 ,0.805,2.5,7.7 ,10.2,2.2 ,1.5,2.9,1.4,2.1,24.4
154,Glen Davis              ,PF   ,29.0,LAC,74.0,0.0 ,12.2,1.6,3.4 ,0.459,0.0,0.1,0.0  ,1.6,3.4 ,0.466,0.459,0.8,1.3 ,0.632,0.6,1.7 ,2.3 ,0.5 ,0.6,0.3,0.5,1.8,4.0
157,Austin Daye             ,SF   ,26.0,TOT,34.0,4.0 ,10.1,1.5,4.1 ,0.355,0.7,2.1,0.338,0.8,2.1 ,0.371,0.44 ,0.1,0.2 ,0.833,0.3,1.9 ,2.2 ,0.5 ,0.4,0.1,0.7,1.1,3.8
160,Dewayne Dedmon          ,C    ,25.0,ORL,59.0,15.0,14.3,1.5,2.7 ,0.562,0.0,0.0,0.0  ,1.5,2.7 ,0.565,0.562,0.6,1.1 ,0.531,2.0,3.0 ,5.0 ,0.2 ,0.3,0.8,0.9,2.4,3.7
161,Matthew Dellavedova     ,SG   ,24.0,CLE,67.0,13.0,20.6,1.7,4.6 ,0.362,1.0,2.5,0.407,0.6,2.1 ,0.307,0.472,0.4,0.6 ,0.763,0.6,1.3 ,1.9 ,3.0 ,0.4,0.0,0.9,2.3,4.8
162,Luol Deng               ,SF   ,29.0,MIA,72.0,72.0,33.6,5.1,10.9,0.469,1.1,3.1,0.355,4.0,7.9 ,0.513,0.518,2.7,3.5 ,0.761,1.4,3.8 ,5.2 ,1.9 ,0.9,0.3,1.5,1.5,14.0
163,DeMar DeRozan           ,SG   ,25.0,TOR,60.0,60.0,35.0,6.8,16.5,0.413,0.4,1.5,0.284,6.4,15.0,0.426,0.426,6.0,7.2 ,0.832,0.7,3.9 ,4.6 ,3.5 ,1.2,0.2,2.3,2.0,20.1
164,Boris Diaw              ,PF   ,32.0,SAS,81.0,15.0,24.5,3.6,7.8 ,0.46 ,0.7,2.1,0.32 ,2.9,5.7 ,0.512,0.503,0.9,1.1 ,0.774,1.0,3.3 ,4.3 ,2.9 ,0.4,0.3,1.6,1.8,8.7
165,Gorgui Dieng            ,C    ,25.0,MIN,73.0,49.0,30.0,3.5,7.0 ,0.506,0.0,0.1,0.167,3.5,6.9 ,0.51 ,0.507,2.6,3.3 ,0.783,3.1,5.3 ,8.3 ,2.0 ,1.0,1.7,1.7,2.6,9.7
166,Spencer Dinwiddie       ,PG   ,21.0,DET,34.0,1.0 ,13.4,1.5,5.0 ,0.302,0.4,1.9,0.185,1.1,3.1 ,0.375,0.337,0.9,1.0 ,0.912,0.1,1.3 ,1.4 ,3.1 ,0.6,0.2,1.0,1.6,4.3
167,Joey Dorsey             ,PF   ,31.0,HOU,69.0,17.0,12.4,1.2,2.1 ,0.552,0.0,0.0,0.0  ,1.2,2.1 ,0.556,0.552,0.3,1.2 ,0.289,1.5,2.6 ,4.0 ,0.4 ,0.6,0.4,0.6,2.3,2.7
168,Toney Douglas           ,SG   ,28.0,NOP,12.0,0.0 ,14.8,1.6,4.3 ,0.373,0.4,1.5,0.278,1.2,2.8 ,0.424,0.422,0.7,1.1 ,0.615,0.2,1.7 ,1.8 ,2.0 ,0.9,0.3,0.8,1.7,4.3
169,Chris Douglas-Roberts   ,SG   ,28.0,LAC,12.0,0.0 ,8.6 ,0.4,1.8 ,0.238,0.1,0.6,0.143,0.3,1.2 ,0.286,0.262,0.7,0.7 ,1.0  ,0.1,0.9 ,1.0 ,0.3 ,0.1,0.0,0.0,1.2,1.6
170,Goran Dragić            ,SG-PG,28.0,TOT,78.0,78.0,33.8,6.4,12.8,0.501,1.2,3.3,0.347,5.3,9.5 ,0.555,0.546,2.3,3.0 ,0.774,1.0,2.5 ,3.5 ,4.5 ,1.0,0.2,2.2,2.5,16.3
173,Zoran Dragić            ,SG   ,25.0,TOT,16.0,1.0 ,4.7 ,0.7,1.9 ,0.367,0.2,0.9,0.214,0.5,1.0 ,0.5  ,0.417,0.2,0.3 ,0.6  ,0.3,0.2 ,0.5 ,0.3 ,0.1,0.0,0.3,0.4,1.8
176,Larry Drew II           ,PG   ,24.0,PHI,12.0,1.0 ,18.3,1.7,4.8 ,0.345,0.3,2.2,0.154,1.3,2.7 ,0.5  ,0.379,0.2,0.3 ,0.667,0.1,1.2 ,1.3 ,3.8 ,0.5,0.0,2.1,1.1,3.8
177,Andre Drummond          ,C    ,21.0,DET,82.0,82.0,30.5,6.0,11.7,0.514,0.0,0.0,0.0  ,6.0,11.7,0.515,0.514,1.7,4.5 ,0.389,5.3,8.1 ,13.5,0.7 ,0.9,1.9,1.5,3.5,13.8
178,Jared Dudley            ,SG   ,29.0,MIL,72.0,22.0,23.8,2.8,5.9 ,0.468,1.0,2.7,0.385,1.7,3.2 ,0.537,0.556,0.7,0.9 ,0.716,0.6,2.4 ,3.1 ,1.8 ,1.0,0.2,0.9,1.6,7.2
179,Tim Duncan*             ,C    ,38.0,SAS,77.0,77.0,28.9,5.4,10.6,0.512,0.0,0.1,0.286,5.4,10.5,0.514,0.513,3.0,4.0 ,0.74 ,2.2,6.9 ,9.1 ,3.0 ,0.8,2.0,1.7,2.1,13.9
180,Mike Dunleavy           ,SF   ,34.0,CHI,63.0,63.0,29.2,3.3,7.6 ,0.435,1.7,4.2,0.407,1.6,3.5 ,0.468,0.546,1.1,1.4 ,0.805,0.4,3.5 ,3.9 ,1.8 ,0.6,0.3,1.0,2.0,9.4
181,Kevin Durant            ,SF   ,26.0,OKC,27.0,27.0,33.8,8.8,17.3,0.51 ,2.4,5.9,0.403,6.4,11.4,0.565,0.578,5.4,6.3 ,0.854,0.6,6.0 ,6.6 ,4.1 ,0.9,0.9,2.7,1.5,25.4
182,Cleanthony Early        ,SF   ,23.0,NYK,39.0,7.0 ,16.6,1.9,5.5 ,0.355,0.6,2.2,0.262,1.4,3.3 ,0.415,0.407,0.9,1.2 ,0.75 ,0.6,1.9 ,2.5 ,0.9 ,0.6,0.3,1.0,1.5,5.4
184,Wayne Ellington         ,SG   ,27.0,LAL,65.0,36.0,25.8,3.9,9.5 ,0.412,1.4,3.7,0.37 ,2.5,5.8 ,0.439,0.485,0.8,1.0 ,0.813,0.5,2.8 ,3.2 ,1.6 ,0.5,0.0,0.8,1.2,10.0
185,Monta Ellis             ,SG   ,29.0,DAL,80.0,80.0,33.7,7.5,16.9,0.445,1.0,3.6,0.285,6.5,13.4,0.487,0.475,2.9,3.8 ,0.752,0.4,2.0 ,2.4 ,4.1 ,1.9,0.3,2.5,2.5,18.9
186,James Ennis III         ,SF   ,24.0,MIA,62.0,3.0 ,17.0,1.6,4.0 ,0.409,0.5,1.5,0.326,1.1,2.5 ,0.461,0.472,1.3,1.5 ,0.84 ,0.8,2.0 ,2.8 ,0.8 ,0.4,0.3,0.6,1.4,5.0
187,Tyler Ennis             ,PG   ,20.0,TOT,33.0,1.0 ,12.5,1.6,4.4 ,0.361,0.4,1.3,0.279,1.2,3.1 ,0.396,0.403,0.2,0.2 ,0.714,0.2,0.8 ,1.1 ,2.2 ,0.5,0.2,1.3,1.1,3.7
