   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA ,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
218,Paul George             ,SF   ,27.0,OKC,79.0,79.0,36.6,7.3 ,17.0,0.43 ,3.1,7.7 ,0.401,4.2,9.3 ,0.454,0.521,4.3,5.2 ,0.822,0.9,4.7 ,5.7 ,3.3 ,2.0,0.5,2.7,2.9,21.9
219,Marcus Georges-Hunt     ,SG   ,23.0,MIN,42.0,0.0 ,5.3 ,0.5 ,1.1 ,0.438,0.1,0.4 ,0.267,0.4,0.8 ,0.515,0.479,0.3,0.5 ,0.619,0.2,0.2 ,0.4 ,0.2 ,0.1,0.0,0.1,0.8,1.4
221,Taj Gibson              ,PF   ,32.0,MIN,82.0,82.0,33.2,5.2 ,9.0 ,0.577,0.1,0.4 ,0.2  ,5.1,8.6 ,0.595,0.581,1.7,2.3 ,0.768,2.4,4.8 ,7.1 ,1.2 ,0.8,0.7,1.1,2.7,12.2
222,Manu Ginóbili           ,SG   ,40.0,SAS,65.0,0.0 ,20.0,3.1 ,7.1 ,0.434,1.0,3.0 ,0.333,2.1,4.2 ,0.506,0.503,1.7,2.0 ,0.84 ,0.3,1.9 ,2.2 ,2.5 ,0.7,0.2,1.6,1.9,8.9
224,Aaron Gordon            ,PF   ,22.0,ORL,58.0,57.0,32.9,6.5 ,14.9,0.434,2.0,5.9 ,0.336,4.5,9.0 ,0.497,0.5  ,2.7,3.9 ,0.698,1.5,6.4 ,7.9 ,2.3 ,1.0,0.8,1.8,1.9,17.6
226,Eric Gordon             ,SG   ,29.0,HOU,69.0,30.0,31.2,6.0 ,14.1,0.428,3.2,8.8 ,0.359,2.9,5.2 ,0.544,0.54 ,2.8,3.5 ,0.809,0.4,2.1 ,2.5 ,2.2 ,0.6,0.4,1.9,1.7,18.0
228,Treveon Graham          ,SG   ,24.0,CHO,63.0,2.0 ,16.7,1.5 ,3.5 ,0.434,0.6,1.5 ,0.412,0.9,2.0 ,0.452,0.525,0.7,0.9 ,0.695,0.7,1.3 ,1.9 ,0.9 ,0.5,0.0,0.4,1.7,4.3
229,Jerami Grant            ,PF   ,23.0,OKC,81.0,1.0 ,20.3,3.0 ,5.6 ,0.535,0.4,1.4 ,0.291,2.6,4.3 ,0.613,0.57 ,2.0,3.0 ,0.675,1.1,2.9 ,3.9 ,0.7 ,0.4,1.0,0.7,1.9,8.4
230,Jerian Grant            ,PG   ,25.0,CHI,74.0,26.0,22.8,2.8 ,6.8 ,0.416,0.8,2.5 ,0.326,2.0,4.3 ,0.468,0.476,1.9,2.5 ,0.745,0.4,1.9 ,2.3 ,4.6 ,0.9,0.1,1.2,1.8,8.4
231,Josh Gray               ,PG   ,24.0,PHO,5.0 ,0.0 ,17.2,2.2 ,8.2 ,0.268,0.6,2.6 ,0.231,1.6,5.6 ,0.286,0.305,1.4,2.2 ,0.636,0.4,1.6 ,2.0 ,2.4 ,1.6,0.4,1.4,1.6,6.4
