,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
473,Chris Paul,PG,36.0,PHO,39.0,39.0,32.2,5.2,11.1,0.472,1.0,3.0,0.328,4.3,8.1,0.525,0.516,2.5,3.1,0.832,0.4,4.0,4.4,10.0,1.9,0.3,2.3,2.1,14.0
474,Cameron Payne,PG,27.0,PHO,34.0,0.0,20.5,3.9,10.0,0.388,1.1,3.5,0.322,2.8,6.5,0.423,0.444,1.5,1.7,0.864,0.4,2.5,2.9,3.6,0.6,0.3,1.9,1.9,10.4
475,Elfrid Payton,PG,27.0,PHO,21.0,0.0,12.1,1.7,4.1,0.402,0.0,0.2,0.2,1.6,3.9,0.415,0.408,0.4,0.7,0.533,0.5,1.6,2.1,1.9,0.5,0.1,1.1,1.1,3.8
476,Gary Payton II,PG,29.0,GSW,37.0,8.0,16.8,3.2,5.1,0.642,0.7,1.8,0.409,2.5,3.3,0.769,0.714,0.6,1.1,0.59,1.1,2.5,3.6,0.8,1.3,0.2,0.5,1.6,7.8
478,Reggie Perry,PF,21.0,POR,2.0,0.0,20.5,2.0,4.5,0.444,0.5,1.0,0.5,1.5,3.5,0.429,0.5,1.0,1.0,1.0,1.0,2.5,3.5,1.0,0.5,0.0,0.5,3.0,5.5
480,Theo Pinson,SF,26.0,DAL,10.0,0.0,9.3,0.8,2.7,0.296,0.5,2.0,0.25,0.3,0.7,0.429,0.389,0.4,0.4,1.0,0.0,1.6,1.6,1.2,0.4,0.2,0.2,0.9,2.5
481,Mason Plumlee,C,31.0,CHO,31.0,31.0,24.7,2.8,4.6,0.615,0.0,0.0,0.0,2.8,4.6,0.62,0.615,0.9,2.3,0.38,2.3,4.8,7.1,2.8,0.9,0.9,1.2,2.9,6.5
483,Aleksej Pokusevski,PF,20.0,OKC,35.0,2.0,15.2,1.9,5.4,0.351,0.5,2.4,0.226,1.3,3.0,0.452,0.402,0.2,0.4,0.5,0.9,3.1,4.1,1.1,0.5,0.5,1.1,1.2,4.5
484,Yves Pons,SF,22.0,MEM,6.0,0.0,3.5,0.2,0.5,0.333,0.2,0.2,1.0,0.0,0.3,0.0,0.5,0.0,0.3,0.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.3,0.5
485,Jordan Poole,SG,22.0,GSW,32.0,29.0,30.0,6.1,13.6,0.445,2.6,7.6,0.337,3.5,6.0,0.58,0.539,2.8,3.1,0.89,0.3,2.9,3.2,3.5,1.0,0.2,2.5,2.9,17.5
486,Kevin Porter Jr.,PG,21.0,HOU,24.0,24.0,29.9,4.3,11.9,0.364,1.9,5.6,0.341,2.4,6.3,0.384,0.444,2.0,3.2,0.61,0.8,3.4,4.2,5.8,1.3,0.4,3.8,2.6,12.5
487,Michael Porter Jr.,SF,23.0,DEN,9.0,9.0,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3.0,6.1,0.491,0.408,0.6,1.0,0.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
488,Otto Porter Jr.,PF,28.0,GSW,32.0,4.0,21.3,3.0,6.6,0.462,1.6,4.0,0.398,1.4,2.6,0.561,0.583,0.5,0.6,0.789,1.0,4.0,5.0,1.4,0.9,0.5,0.6,1.3,8.1
489,Bobby Portis,C,26.0,MIL,33.0,28.0,28.2,6.0,12.5,0.484,2.0,4.5,0.433,4.1,7.9,0.513,0.563,1.7,2.1,0.797,2.9,6.3,9.2,1.3,0.8,0.8,1.6,2.7,15.7
491,Kristaps Porziņģis,PF,26.0,DAL,26.0,26.0,30.4,7.2,16.0,0.451,1.5,5.5,0.282,5.7,10.5,0.538,0.499,4.7,5.3,0.883,2.2,5.8,8.0,2.3,0.8,1.7,1.5,2.3,20.6
492,Micah Potter,C,23.0,DET,3.0,0.0,10.3,1.7,3.7,0.455,0.0,0.7,0.0,1.7,3.0,0.556,0.455,0.7,0.7,1.0,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
493,Dwight Powell,C,30.0,DAL,39.0,36.0,20.2,2.7,4.4,0.605,0.3,0.7,0.429,2.4,3.7,0.639,0.64,1.4,2.0,0.705,2.1,2.6,4.6,1.1,0.5,0.4,0.7,2.4,7.1
494,Myles Powell,PG,24.0,PHI,4.0,0.0,4.3,0.3,1.0,0.25,0.3,0.5,0.5,0.0,0.5,0.0,0.375,0.5,0.5,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.3
495,Norman Powell,SF,28.0,POR,34.0,34.0,32.9,6.2,13.6,0.455,2.2,5.5,0.399,4.0,8.1,0.493,0.536,4.0,4.9,0.82,0.4,2.5,2.9,2.1,1.0,0.4,1.5,2.3,18.6
496,Joshua Primo,SG,19.0,SAS,15.0,1.0,10.7,1.3,2.9,0.432,0.7,1.7,0.385,0.6,1.2,0.5,0.545,0.3,0.4,0.833,0.5,1.1,1.6,1.0,0.4,0.5,0.5,0.9,3.5
497,Taurean Prince,PF,27.0,MIN,28.0,8.0,15.4,1.7,4.4,0.382,0.9,2.8,0.316,0.8,1.6,0.5,0.484,0.6,0.8,0.773,0.4,1.8,2.1,0.9,0.5,0.2,0.6,1.5,4.9
