   ,Player                ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
366,Chuck Person          ,PF   ,33.0,SAS,61.0,11.0,23.9,2.3 ,6.5 ,0.359,1.6,4.5,0.344,0.8 ,2.0 ,0.393,0.479,0.5,0.6 ,0.757,0.3,3.1,3.3 ,1.4 ,0.5,0.2,1.1,2.0,6.7
367,Wesley Person         ,SG   ,26.0,CLE,82.0,82.0,39.0,5.4 ,11.7,0.46 ,2.3,5.5,0.43 ,3.0 ,6.2 ,0.486,0.56 ,1.6,2.1 ,0.776,0.8,3.6,4.4 ,2.3 ,1.6,0.6,1.3,1.3,14.7
368,Bobby Phills          ,SG   ,28.0,CHH,62.0,61.0,30.4,4.0 ,8.9 ,0.446,0.7,1.8,0.386,3.3 ,7.1 ,0.461,0.486,1.7,2.3 ,0.757,1.0,2.5,3.5 ,3.0 ,1.3,0.3,1.7,2.9,10.4
369,Eric Piatkowski       ,SG   ,27.0,LAC,67.0,35.0,26.0,3.8 ,8.5 ,0.452,1.6,3.9,0.409,2.3 ,4.6 ,0.489,0.546,2.1,2.5 ,0.824,1.0,2.5,3.5 ,1.3 ,0.8,0.2,1.2,2.0,11.3
370,Ricky Pierce          ,SG   ,38.0,MIL,39.0,0.0 ,11.3,1.3 ,3.7 ,0.364,0.1,0.3,0.308,1.2 ,3.3 ,0.369,0.378,1.1,1.3 ,0.827,0.5,0.7,1.2 ,0.9 ,0.2,0.0,0.5,0.9,3.9
371,Scottie Pippen*       ,SF   ,32.0,CHI,44.0,44.0,37.5,7.2 ,16.0,0.447,1.4,4.4,0.318,5.8 ,11.6,0.496,0.491,3.4,4.4 ,0.777,1.2,4.0,5.2 ,5.8 ,1.8,1.0,2.5,2.6,19.1
373,Olden Polynice        ,C    ,33.0,SAC,70.0,25.0,20.8,3.6 ,7.7 ,0.459,0.0,0.0,0.0  ,3.6 ,7.7 ,0.46 ,0.459,0.7,1.6 ,0.452,2.5,3.8,6.3 ,1.5 ,0.5,0.6,1.4,2.3,7.9
374,Mark Pope             ,SF   ,25.0,IND,28.0,0.0 ,6.9 ,0.5 ,1.5 ,0.341,0.0,0.1,0.333,0.5 ,1.4 ,0.342,0.354,0.4,0.6 ,0.588,0.3,0.6,0.9 ,0.3 ,0.1,0.2,0.4,1.3,1.4
375,Terry Porter          ,PG   ,34.0,MIN,82.0,8.0 ,21.8,3.2 ,7.0 ,0.449,1.1,2.8,0.395,2.0 ,4.2 ,0.485,0.529,2.0,2.4 ,0.856,0.5,1.6,2.0 ,3.3 ,0.8,0.2,1.3,1.3,9.5
376,Vitaly Potapenko      ,C    ,22.0,CLE,80.0,0.0 ,17.7,2.9 ,6.1 ,0.48 ,0.0,0.0,0.0  ,2.9 ,6.1 ,0.48 ,0.48 ,1.3,1.8 ,0.708,1.4,2.5,3.9 ,0.7 ,0.3,0.4,1.7,2.5,7.1
377,Brent Price           ,PG   ,29.0,HOU,72.0,2.0 ,18.5,1.8 ,4.3 ,0.413,1.0,2.6,0.39 ,0.8 ,1.7 ,0.447,0.531,1.1,1.4 ,0.786,0.5,1.0,1.5 ,2.7 ,0.7,0.1,1.5,2.3,5.6
378,Mark Price            ,PG   ,33.0,ORL,63.0,33.0,22.7,3.6 ,8.4 ,0.431,0.8,2.5,0.335,2.8 ,6.0 ,0.471,0.48 ,1.4,1.6 ,0.845,0.4,1.7,2.0 ,4.7 ,0.8,0.1,2.6,1.5,9.5
382,Eldridge Recasner     ,SG   ,30.0,ATL,59.0,14.0,24.6,3.5 ,7.7 ,0.456,1.1,2.5,0.419,2.4 ,5.2 ,0.474,0.524,1.3,1.3 ,0.937,0.5,1.9,2.4 ,2.0 ,0.7,0.0,1.5,1.6,9.3
383,Bryant Reeves         ,C    ,24.0,VAN,74.0,74.0,34.1,6.6 ,12.7,0.523,0.0,0.1,0.0  ,6.6 ,12.7,0.525,0.523,3.0,4.3 ,0.706,2.6,5.3,7.9 ,2.1 ,0.5,1.1,2.1,3.8,16.3
384,Khalid Reeves         ,PG   ,25.0,DAL,82.0,54.0,23.8,3.0 ,7.2 ,0.418,0.7,1.9,0.368,2.3 ,5.4 ,0.435,0.465,2.0,2.6 ,0.775,0.7,1.6,2.3 ,2.8 ,1.0,0.1,1.6,2.4,8.7
386,J.R. Reid             ,PF   ,29.0,CHH,79.0,1.0 ,14.0,1.8 ,4.0 ,0.459,0.0,0.1,0.375,1.8 ,3.9 ,0.461,0.464,1.1,1.5 ,0.73 ,0.9,1.7,2.7 ,0.6 ,0.4,0.2,0.8,2.2,4.9
388,Shawn Respert         ,SG   ,25.0,TOT,57.0,4.0 ,16.0,2.3 ,5.1 ,0.444,0.5,1.6,0.333,1.7 ,3.5 ,0.495,0.497,0.8,1.1 ,0.787,0.6,1.1,1.8 ,1.1 ,0.6,0.0,0.8,1.3,5.9
391,Rodrick Rhodes        ,SF   ,24.0,HOU,58.0,13.0,18.4,1.9 ,5.3 ,0.367,0.0,0.1,0.25 ,1.9 ,5.1 ,0.37 ,0.37 ,1.9,3.1 ,0.617,0.5,0.7,1.2 ,1.9 ,1.1,0.2,1.7,2.2,5.8
392,Glen Rice             ,SF   ,30.0,CHH,82.0,82.0,40.2,7.7 ,16.9,0.457,1.6,3.7,0.433,6.1 ,13.2,0.464,0.504,5.2,6.1 ,0.849,1.1,3.2,4.3 ,2.2 ,0.9,0.3,2.2,2.4,22.3
393,Pooh Richardson       ,PG   ,31.0,LAC,69.0,17.0,18.1,1.8 ,4.8 ,0.372,0.2,0.8,0.193,1.6 ,4.0 ,0.409,0.389,0.4,0.6 ,0.698,0.2,1.1,1.4 ,3.3 ,0.6,0.0,0.8,1.0,4.2
394,Mitch Richmond*       ,SG   ,32.0,SAC,70.0,70.0,36.7,7.8 ,17.4,0.445,1.9,4.8,0.389,5.9 ,12.7,0.466,0.498,5.8,6.7 ,0.864,0.7,2.6,3.3 ,4.0 ,1.3,0.2,2.6,2.2,23.2
395,Isaiah Rider          ,SG   ,26.0,POR,74.0,66.0,37.6,7.4 ,17.6,0.423,1.8,5.7,0.321,5.6 ,11.9,0.472,0.475,3.0,3.6 ,0.828,1.3,3.3,4.7 ,3.1 ,0.7,0.3,2.5,2.5,19.7
