   ,Player                ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
387,Markieff Morris       ,PF   ,23.0,PHO,82.0,32.0,22.4,3.2 ,8.0 ,0.407,0.5,1.6,0.336,2.7,6.3 ,0.426,0.442,1.1,1.5 ,0.732,1.6,3.2 ,4.8 ,1.3 ,0.9,0.8,1.3,2.5,8.2
388,Anthony Morrow        ,SG   ,27.0,TOT,41.0,1.0 ,9.3 ,1.6 ,3.5 ,0.441,0.4,1.0,0.372,1.2,2.5 ,0.471,0.497,0.5,0.5 ,0.909,0.3,0.5 ,0.7 ,0.3 ,0.3,0.0,0.2,1.0,4.0
391,Donatas Motiejūnas    ,PF   ,22.0,HOU,44.0,14.0,12.2,2.2 ,4.8 ,0.455,0.5,1.9,0.289,1.7,3.0 ,0.562,0.512,0.7,1.2 ,0.627,0.8,1.3 ,2.1 ,0.7 ,0.2,0.2,0.8,1.7,5.7
393,Timofey Mozgov        ,C    ,26.0,DEN,41.0,1.0 ,8.9 ,1.1 ,2.1 ,0.506,0.0,0.0,0.0  ,1.1,2.1 ,0.518,0.506,0.5,0.6 ,0.769,1.2,1.4 ,2.6 ,0.2 ,0.1,0.4,0.6,1.4,2.6
394,Byron Mullens         ,PF   ,23.0,CHA,53.0,41.0,26.9,4.1 ,10.6,0.385,1.2,3.9,0.317,2.8,6.7 ,0.425,0.444,1.2,1.9 ,0.646,1.3,5.0 ,6.4 ,1.5 ,0.6,0.6,1.4,2.1,10.6
396,Troy Murphy           ,PF   ,32.0,DAL,14.0,1.0 ,18.3,1.6 ,4.4 ,0.361,0.8,2.5,0.314,0.8,1.9 ,0.423,0.451,0.7,0.8 ,0.909,0.5,3.0 ,3.5 ,0.5 ,0.7,0.4,0.5,2.1,4.6
397,Steve Nash*           ,PG   ,38.0,LAL,50.0,50.0,32.5,4.7 ,9.5 ,0.497,1.1,2.6,0.438,3.6,6.9 ,0.519,0.557,2.1,2.3 ,0.922,0.5,2.3 ,2.8 ,6.7 ,0.6,0.1,2.5,1.4,12.7
398,Gary Neal             ,SG   ,28.0,SAS,68.0,17.0,21.8,3.6 ,8.8 ,0.412,1.3,3.7,0.355,2.3,5.1 ,0.454,0.487,0.9,1.1 ,0.865,0.2,1.9 ,2.1 ,1.9 ,0.4,0.0,1.0,1.4,9.5
399,Jameer Nelson         ,PG   ,30.0,ORL,56.0,56.0,35.3,5.5 ,13.9,0.392,2.2,6.3,0.341,3.3,7.6 ,0.435,0.47 ,1.6,1.8 ,0.873,0.4,3.3 ,3.7 ,7.4 ,1.3,0.1,2.8,2.9,14.7
401,Joakim Noah           ,C    ,27.0,CHI,66.0,64.0,36.8,4.6 ,9.5 ,0.481,0.0,0.1,0.0  ,4.6,9.5 ,0.485,0.481,2.7,3.6 ,0.751,3.9,7.2 ,11.1,4.0 ,1.2,2.1,2.7,2.8,11.9
402,Steve Novak           ,SF   ,29.0,NYK,81.0,1.0 ,20.3,2.2 ,5.3 ,0.414,1.8,4.3,0.425,0.4,1.0 ,0.367,0.587,0.4,0.4 ,0.909,0.2,1.7 ,1.9 ,0.4 ,0.3,0.1,0.1,1.2,6.6
403,Dirk Nowitzki         ,PF   ,34.0,DAL,53.0,47.0,31.3,6.5 ,13.7,0.471,1.2,3.0,0.414,5.2,10.8,0.487,0.516,3.1,3.6 ,0.86 ,0.7,6.2 ,6.8 ,2.5 ,0.7,0.7,1.3,1.8,17.3
406,Kyle O'Quinn          ,C    ,22.0,ORL,57.0,5.0 ,11.2,1.8 ,3.5 ,0.513,0.0,0.0,0.0  ,1.8,3.4 ,0.515,0.513,0.5,0.8 ,0.667,1.1,2.5 ,3.7 ,0.9 ,0.2,0.5,0.6,1.9,4.1
407,Lamar Odom            ,PF   ,33.0,LAC,82.0,2.0 ,19.7,1.8 ,4.5 ,0.399,0.2,1.1,0.2  ,1.6,3.4 ,0.464,0.423,0.2,0.5 ,0.476,1.4,4.4 ,5.9 ,1.7 ,0.8,0.7,1.0,2.6,4.0
411,Travis Outlaw         ,SF   ,28.0,SAC,38.0,2.0 ,11.7,1.9 ,4.7 ,0.418,0.4,1.3,0.28 ,1.6,3.3 ,0.472,0.458,1.0,1.4 ,0.731,0.4,1.2 ,1.6 ,0.6 ,0.3,0.2,0.5,0.9,5.3
412,Zaza Pachulia         ,C    ,28.0,ATL,52.0,15.0,21.8,2.2 ,4.6 ,0.473,0.0,0.1,0.0  ,2.2,4.6 ,0.479,0.473,1.5,2.0 ,0.757,2.5,3.9 ,6.5 ,1.5 ,0.7,0.2,1.3,2.5,5.9
413,Jannero Pargo         ,PG   ,33.0,TOT,32.0,0.0 ,15.8,2.4 ,6.6 ,0.368,1.2,3.6,0.336,1.2,3.0 ,0.406,0.46 ,0.4,0.4 ,0.923,0.3,0.8 ,1.1 ,2.1 ,0.6,0.1,1.3,1.3,6.5
417,Jeremy Pargo          ,PG-SG,26.0,TOT,39.0,11.0,16.8,2.5 ,6.4 ,0.396,0.6,1.9,0.338,1.9,4.5 ,0.42 ,0.446,1.1,1.6 ,0.677,0.2,1.1 ,1.3 ,2.4 ,0.3,0.1,1.3,1.2,6.8
420,Tony Parker           ,PG   ,30.0,SAS,66.0,66.0,32.9,7.9 ,15.1,0.522,0.4,1.0,0.353,7.5,14.0,0.534,0.534,4.2,5.0 ,0.845,0.3,2.7 ,3.0 ,7.6 ,0.8,0.1,2.6,1.4,20.3
421,Chandler Parsons      ,SF   ,24.0,HOU,76.0,76.0,36.3,6.0 ,12.4,0.486,2.0,5.2,0.385,4.0,7.2 ,0.559,0.567,1.5,2.0 ,0.729,1.0,4.3 ,5.3 ,3.5 ,1.0,0.4,1.9,1.9,15.5
