   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
103,Corey Crowder        ,SF   ,22.0,UTA,51.0,0.0 ,6.4 ,0.8 ,2.2 ,0.384,0.3,0.6,0.433,0.6 ,1.6 ,0.366,0.442,0.3,0.4 ,0.833,0.3,0.5 ,0.8 ,0.3 ,0.1,0.0,0.3,0.7,2.2
104,Terry Cummings       ,PF   ,30.0,SAS,70.0,67.0,30.7,7.3 ,15.0,0.488,0.1,0.2,0.385,7.3 ,14.9,0.489,0.491,2.5,3.6 ,0.711,3.5,5.5 ,9.0 ,1.5 ,0.8,0.5,1.6,3.0,17.3
105,Dell Curry           ,SG   ,27.0,CHH,77.0,0.0 ,26.2,6.5 ,13.5,0.486,1.0,2.4,0.404,5.6 ,11.1,0.503,0.521,1.6,2.0 ,0.836,0.7,2.6 ,3.4 ,2.3 ,1.2,0.3,1.7,2.0,15.7
106,Quintin Dailey       ,SG   ,31.0,SEA,11.0,1.0 ,8.9 ,0.8 ,3.4 ,0.243,0.0,0.1,0.0  ,0.8 ,3.3 ,0.25 ,0.243,1.2,1.5 ,0.813,0.2,0.9 ,1.1 ,0.4 ,0.5,0.1,0.9,0.5,2.8
107,Brad Daugherty       ,C    ,26.0,CLE,73.0,73.0,36.2,7.9 ,13.8,0.57 ,0.0,0.0,0.0  ,7.9 ,13.8,0.571,0.57 ,5.7,7.3 ,0.777,2.6,7.8 ,10.4,3.6 ,0.9,1.1,2.5,2.6,21.5
108,Brad Davis           ,PG   ,36.0,DAL,33.0,0.0 ,13.0,1.2 ,2.6 ,0.442,0.2,0.5,0.278,1.0 ,2.1 ,0.485,0.471,0.3,0.5 ,0.733,0.1,0.9 ,1.0 ,2.0 ,0.3,0.1,0.8,1.7,2.8
109,Dale Davis           ,PF   ,22.0,IND,64.0,23.0,20.3,2.4 ,4.4 ,0.552,0.0,0.0,0.0  ,2.4 ,4.3 ,0.554,0.552,1.4,2.4 ,0.572,2.5,3.9 ,6.4 ,0.5 ,0.4,1.2,0.8,3.0,6.2
110,Terry Davis          ,PF   ,24.0,DAL,68.0,67.0,31.6,3.8 ,7.8 ,0.482,0.0,0.1,0.0  ,3.8 ,7.7 ,0.487,0.482,2.7,4.2 ,0.635,3.4,6.5 ,9.9 ,0.8 ,0.4,0.4,1.7,3.0,10.2
111,Walter Davis         ,SF   ,37.0,DEN,46.0,0.0 ,16.1,4.0 ,8.8 ,0.459,0.1,0.3,0.313,3.9 ,8.4 ,0.465,0.465,1.8,2.0 ,0.872,0.4,1.1 ,1.5 ,1.5 ,0.6,0.0,1.0,1.5,9.9
112,Johnny Dawkins       ,PG   ,28.0,PHI,82.0,82.0,34.3,4.8 ,11.0,0.437,0.4,1.2,0.356,4.4 ,9.8 ,0.447,0.457,2.0,2.3 ,0.882,0.5,2.3 ,2.8 ,6.9 ,1.1,0.1,2.2,1.9,12.0
