   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB ,TRB ,AST,STL,BLK,TOV,PF ,PTS
362,Mike Miller          ,SF   ,23.0,MEM,65.0,65.0,27.2,4.2,9.5 ,0.438,1.2,3.3,0.372,2.9,6.2 ,0.474,0.503,1.6,2.2,0.723,0.6,2.7 ,3.3 ,3.6,0.9,0.2,1.6,2.5,11.1
363,Oliver Miller        ,C    ,33.0,MIN,48.0,1.0 ,10.5,1.1,2.1 ,0.53 ,0.0,0.0,0.0  ,1.1,2.1 ,0.535,0.53 ,0.3,0.5,0.652,1.0,1.8 ,2.7 ,0.8,0.4,0.5,0.7,1.9,2.5
364,Reggie Miller*       ,SG   ,38.0,IND,80.0,80.0,28.2,3.3,7.4 ,0.438,1.7,4.2,0.401,1.6,3.3 ,0.485,0.551,1.8,2.1,0.885,0.2,2.1 ,2.4 ,3.1,0.8,0.1,0.9,1.2,10.0
365,Yao Ming*            ,C    ,23.0,HOU,82.0,82.0,32.8,6.5,12.5,0.522,0.0,0.0,0.0  ,6.5,12.5,0.523,0.522,4.4,5.4,0.809,2.4,6.6 ,9.0 ,1.5,0.3,1.9,2.5,3.3,17.5
366,Cuttino Mobley       ,SG   ,28.0,HOU,80.0,80.0,40.4,5.8,13.5,0.426,2.1,5.3,0.39 ,3.7,8.3 ,0.448,0.501,2.2,2.7,0.811,0.5,4.0 ,4.5 ,3.2,1.3,0.4,2.3,2.2,15.8
370,Jérôme Moïso         ,PF   ,25.0,TOR,35.0,1.0 ,11.9,1.1,2.4 ,0.476,0.0,0.0,0.0  ,1.1,2.4 ,0.482,0.476,0.6,1.1,0.579,1.2,2.1 ,3.2 ,0.2,0.5,0.3,0.7,1.2,2.9
376,Troy Murphy          ,PF   ,23.0,GSW,28.0,0.0 ,21.8,3.8,8.7 ,0.44 ,0.2,0.6,0.294,3.6,8.1 ,0.451,0.451,2.1,2.9,0.75 ,1.7,4.5 ,6.2 ,0.7,0.4,0.6,1.2,2.1,10.0
377,Lamond Murray        ,SF   ,30.0,TOR,33.0,4.0 ,15.7,2.3,6.5 ,0.353,0.6,1.8,0.35 ,1.7,4.7 ,0.355,0.402,0.7,1.1,0.686,0.4,2.3 ,2.7 ,0.8,0.5,0.2,1.2,1.4,6.0
378,Ronald Murray        ,PG   ,24.0,SEA,82.0,18.0,24.6,4.7,11.2,0.425,0.8,2.8,0.293,3.9,8.4 ,0.469,0.462,2.0,2.9,0.715,0.5,1.9 ,2.5 ,2.5,1.0,0.3,1.8,1.9,12.4
379,Tracy Murray         ,SF   ,32.0,POR,7.0 ,0.0 ,5.0 ,0.4,1.7 ,0.25 ,0.3,0.7,0.4  ,0.1,1.0 ,0.143,0.333,0.0,0.1,0.0  ,0.4,0.3 ,0.7 ,0.1,0.1,0.0,0.3,0.4,1.1
