   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
426,Mark Price           ,PG   ,32.0,GSW,70.0,49.0,26.8,3.8 ,8.4 ,0.447,1.6,4.0,0.396,2.2 ,4.4 ,0.493,0.542,2.2,2.4,0.906,0.5,2.0 ,2.6 ,4.9 ,1.0,0.0,2.3,1.4,11.3
427,Dino Radja*          ,C    ,29.0,BOS,25.0,25.0,35.0,6.0 ,13.6,0.44 ,0.0,0.0,0.0  ,6.0 ,13.5,0.441,0.44 ,2.0,2.8,0.718,1.8,6.7 ,8.4 ,1.9 ,0.9,1.9,2.8,3.0,14.0
429,Eldridge Recasner    ,SG   ,29.0,ATL,71.0,4.0 ,17.0,2.1 ,4.9 ,0.423,0.8,2.0,0.414,1.3 ,3.0 ,0.429,0.506,0.7,0.8,0.879,0.5,1.1 ,1.6 ,1.3 ,0.5,0.1,0.9,1.4,5.7
430,Bryant Reeves        ,C    ,23.0,VAN,75.0,75.0,37.0,6.6 ,13.7,0.486,0.0,0.1,0.091,6.6 ,13.5,0.49 ,0.486,2.9,4.1,0.704,2.3,5.8 ,8.1 ,2.1 ,0.4,0.9,2.3,3.6,16.2
431,Khalid Reeves        ,PG   ,24.0,TOT,63.0,30.0,22.7,2.9 ,7.5 ,0.391,1.3,3.6,0.366,1.6 ,3.9 ,0.416,0.48 ,1.0,1.4,0.747,0.5,1.3 ,1.9 ,3.6 ,0.5,0.1,1.7,2.5,8.2
434,Don Reid             ,PF   ,23.0,DET,47.0,14.0,9.8 ,1.1 ,2.4 ,0.482,0.0,0.0,0.0  ,1.1 ,2.4 ,0.486,0.482,0.5,0.7,0.75 ,0.8,1.4 ,2.1 ,0.3 ,0.3,0.3,0.5,2.2,2.8
435,Shawn Respert        ,SG   ,24.0,TOT,41.0,0.0 ,12.1,1.4 ,3.4 ,0.424,0.5,1.4,0.351,1.0 ,2.0 ,0.476,0.496,0.8,1.0,0.872,0.3,0.6 ,1.0 ,1.0 ,0.5,0.0,0.7,1.0,4.2
438,Glen Rice            ,SF   ,29.0,CHH,79.0,78.0,42.6,9.1 ,19.2,0.477,2.6,5.6,0.47 ,6.5 ,13.6,0.48 ,0.546,5.9,6.8,0.867,0.8,3.2 ,4.0 ,2.0 ,0.9,0.3,2.2,2.4,26.8
439,Pooh Richardson      ,PG   ,30.0,LAC,59.0,18.0,18.1,2.2 ,5.8 ,0.381,0.7,2.2,0.328,1.5 ,3.7 ,0.412,0.442,0.4,0.7,0.605,0.4,1.2 ,1.7 ,2.9 ,0.9,0.1,1.1,1.4,5.6
440,Mitch Richmond*      ,SG   ,31.0,SAC,81.0,81.0,38.6,8.9 ,19.5,0.454,2.5,5.9,0.428,6.3 ,13.6,0.466,0.519,5.6,6.6,0.861,0.7,3.2 ,3.9 ,4.2 ,1.5,0.3,2.9,2.6,25.9
442,Isaiah Rider         ,SG   ,25.0,POR,76.0,68.0,33.7,6.0 ,12.9,0.464,1.3,3.4,0.385,4.7 ,9.6 ,0.492,0.514,2.8,3.4,0.812,1.2,2.8 ,4.0 ,2.6 ,0.6,0.3,2.8,2.6,16.1
445,Chris Robinson       ,SG   ,22.0,VAN,41.0,6.0 ,16.6,1.7 ,4.4 ,0.379,0.8,2.2,0.382,0.9 ,2.3 ,0.376,0.473,0.4,0.6,0.615,0.6,1.2 ,1.7 ,1.6 ,0.7,0.2,0.8,2.1,4.6
