   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
159,Samuel Dalembert     ,C    ,29.0,SAC,80.0,46.0,24.2,3.4,7.1 ,0.473,0.0,0.0,0.0  ,3.4,7.1 ,0.474,0.473,1.4,1.9 ,0.73 ,2.7,5.6 ,8.2 ,0.8 ,0.5,1.5,1.7,2.8,8.1
160,Erick Dampier        ,C    ,35.0,MIA,51.0,22.0,16.0,1.0,1.7 ,0.584,0.0,0.0,0.0  ,1.0,1.7 ,0.591,0.584,0.5,0.9 ,0.545,1.0,2.4 ,3.5 ,0.4 ,0.3,0.9,0.6,1.6,2.5
161,Antonio Daniels      ,PG   ,35.0,PHI,4.0 ,0.0 ,8.8 ,0.5,1.3 ,0.4  ,0.0,0.5,0.0  ,0.5,0.8 ,0.667,0.4  ,0.5,0.5 ,1.0  ,0.0,1.3 ,1.3 ,0.5 ,0.0,0.0,0.3,0.0,1.5
162,Marquis Daniels      ,SF   ,30.0,BOS,49.0,0.0 ,19.1,2.3,4.7 ,0.491,0.1,0.4,0.19 ,2.2,4.3 ,0.521,0.5  ,0.8,1.2 ,0.684,0.5,1.8 ,2.3 ,1.3 ,0.8,0.4,0.8,1.3,5.5
163,Baron Davis          ,PG   ,31.0,TOT,58.0,44.0,28.4,5.0,11.9,0.417,1.4,4.1,0.339,3.6,7.8 ,0.458,0.475,1.7,2.3 ,0.771,0.6,2.1 ,2.7 ,6.7 ,1.3,0.5,2.5,2.5,13.1
167,Glen Davis           ,C    ,25.0,BOS,78.0,13.0,29.5,4.6,10.3,0.448,0.0,0.2,0.133,4.6,10.1,0.454,0.449,2.5,3.4 ,0.736,1.3,4.2 ,5.4 ,1.2 ,1.0,0.4,1.1,3.0,11.7
168,Austin Daye          ,SF   ,22.0,DET,72.0,16.0,20.1,2.7,6.5 ,0.41 ,1.0,2.4,0.401,1.7,4.2 ,0.415,0.483,1.1,1.5 ,0.759,0.9,2.9 ,3.8 ,1.1 ,0.5,0.5,0.8,2.3,7.5
169,Carlos Delfino       ,SF   ,28.0,MIL,49.0,40.0,32.4,4.1,10.5,0.39 ,2.1,5.8,0.37 ,1.9,4.7 ,0.415,0.492,1.2,1.5 ,0.8  ,0.5,3.6 ,4.1 ,2.3 ,1.6,0.2,1.2,1.5,11.5
170,Luol Deng            ,SF   ,25.0,CHI,82.0,82.0,39.1,6.5,14.1,0.46 ,1.4,4.1,0.345,5.1,10.0,0.506,0.51 ,3.1,4.1 ,0.753,1.4,4.4 ,5.8 ,2.8 ,1.0,0.6,1.9,2.0,17.4
171,DeMar DeRozan        ,SG   ,21.0,TOR,82.0,82.0,34.8,6.6,14.1,0.467,0.1,0.6,0.096,6.5,13.4,0.485,0.469,4.0,4.9 ,0.813,0.9,2.9 ,3.8 ,1.8 ,1.0,0.4,1.8,2.6,17.2
172,Boris Diaw           ,PF   ,28.0,CHA,82.0,82.0,33.9,4.6,9.4 ,0.492,1.0,2.8,0.345,3.7,6.7 ,0.553,0.543,1.0,1.5 ,0.683,1.3,3.8 ,5.0 ,4.1 ,0.9,0.6,2.0,2.3,11.3
175,Keyon Dooling        ,PG   ,30.0,MIL,80.0,22.0,22.0,2.6,6.5 ,0.397,1.0,2.9,0.346,1.6,3.6 ,0.439,0.475,1.0,1.2 ,0.83 ,0.2,1.3 ,1.5 ,3.0 ,0.7,0.1,1.1,1.5,7.1
177,Toney Douglas        ,SG   ,24.0,NYK,81.0,9.0 ,24.3,3.9,9.3 ,0.416,1.8,4.7,0.373,2.1,4.6 ,0.46 ,0.511,1.0,1.3 ,0.794,0.8,2.2 ,3.0 ,3.0 ,1.1,0.0,1.1,2.2,10.6
178,Chris Douglas-Roberts,SF   ,24.0,MIL,44.0,12.0,20.1,2.7,6.2 ,0.429,0.3,1.0,0.326,2.3,5.2 ,0.449,0.456,1.7,2.0 ,0.831,0.2,1.8 ,2.0 ,1.1 ,0.7,0.3,0.8,1.7,7.3
180,Zabian Dowdell       ,PG   ,26.0,PHO,24.0,0.0 ,12.2,2.1,5.2 ,0.408,0.1,0.4,0.3  ,2.0,4.8 ,0.417,0.42 ,0.7,0.7 ,0.941,0.2,0.6 ,0.8 ,2.1 ,0.8,0.1,1.2,1.3,5.0
181,Goran Dragić         ,PG   ,24.0,TOT,70.0,5.0 ,17.6,2.7,6.3 ,0.435,0.8,2.2,0.361,1.9,4.1 ,0.476,0.499,1.2,1.9 ,0.624,0.5,1.5 ,2.0 ,2.9 ,0.7,0.1,1.7,1.8,7.5
184,Jared Dudley         ,SF   ,25.0,PHO,82.0,15.0,26.1,3.7,7.7 ,0.477,1.3,3.1,0.415,2.4,4.6 ,0.519,0.56 ,2.0,2.7 ,0.743,1.4,2.5 ,3.9 ,1.3 ,1.1,0.2,0.9,1.7,10.6
185,Chris Duhon          ,PG   ,28.0,ORL,51.0,5.0 ,15.2,1.0,2.5 ,0.38 ,0.3,1.0,0.25 ,0.7,1.5 ,0.468,0.43 ,0.3,0.5 ,0.56 ,0.2,0.8 ,1.0 ,2.3 ,0.3,0.0,1.2,0.6,2.5
186,Tim Duncan*          ,C    ,34.0,SAS,76.0,76.0,28.4,5.5,11.0,0.5  ,0.0,0.1,0.0  ,5.5,11.0,0.502,0.5  ,2.4,3.4 ,0.716,2.2,6.7 ,8.9 ,2.7 ,0.7,1.9,1.6,1.6,13.4
