,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Tim Duncan,26,SAS,60.0,962.0,1190,0.808,2003
1,Kevin Garnett,26,MIN,43.0,871.0,1190,0.732,2003
2,Kobe Bryant,24,LAL,8.0,496.0,1190,0.417,2003
3,Tracy McGrady,23,ORL,4.0,427.0,1190,0.359,2003
4,Shaquille O'Neal,30,LAL,3.0,126.0,1190,0.106,2003
5,Allen Iverson,27,PHI,0.0,83.0,1190,0.07,2003
6,Dirk Nowitzki,24,DAL,0.0,43.0,1190,0.036,2003
7,Ben Wallace,28,DET,1.0,33.0,1190,0.028,2003
8,Jason Kidd,29,NJN,0.0,31.0,1190,0.026,2003
9,Chris Webber,29,SAC,0.0,19.0,1190,0.016,2003
10,Jamal Mashburn,30,NOH,0.0,1.0,1190,0.001,2003
11,Steve Nash,28,DAL,0.0,1.0,1190,0.001,2003
12,Paul Pierce,25,BOS,0.0,1.0,1190,0.001,2003
