,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Magic Johnson,27,LAL,65.0,733.0,780,0.94,1987
1,Michael Jordan,23,CHI,10.0,449.0,780,0.576,1987
2,Larry Bird,30,BOS,1.0,271.0,780,0.347,1987
3,Kevin McHale,29,BOS,0.0,254.0,780,0.326,1987
4,Dominique Wilkins,27,ATL,0.0,128.0,780,0.164,1987
5,Charles Barkley,23,PHI,1.0,113.0,780,0.145,1987
6,Hakeem Olajuwon,24,HOU,1.0,28.0,780,0.036,1987
7,Isiah Thomas,25,DET,0.0,17.0,780,0.022,1987
8,Fat Lever,26,DEN,0.0,11.0,780,0.014,1987
9,Moses Malone,31,WSB,0.0,9.0,780,0.012,1987
10,Steve Johnson,29,POR,0.0,4.0,780,0.005,1987
11,Karl Malone,23,UTA,0.0,3.0,780,0.004,1987
12,Robert Parish,33,BOS,0.0,3.0,780,0.004,1987
13,Alex English,33,DEN,0.0,2.0,780,0.003,1987
14,Mark Aguirre,27,DAL,0.0,1.0,780,0.001,1987
15,Rolando Blackman,27,DAL,0.0,1.0,780,0.001,1987
16,Joe Barry Carroll,28,GSW,0.0,1.0,780,0.001,1987
