,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Moses Malone,26,HOU,40.0,507.0,690,0.735,1982
1,Larry Bird,25,BOS,20.0,406.0,690,0.588,1982
2,Julius Erving,31,PHI,1.0,203.0,690,0.294,1982
3,Robert Parish,28,BOS,4.0,131.0,690,0.19,1982
4,Gus Williams,28,SEA,2.0,115.0,690,0.167,1982
5,George Gervin,29,SAS,1.0,110.0,690,0.159,1982
6,Sidney Moncrief,24,MIL,1.0,101.0,690,0.146,1982
7,Magic Johnson,22,LAL,0.0,67.0,690,0.097,1982
8,Jack Sikma,26,SEA,0.0,33.0,690,0.048,1982
9,Kareem Abdul-Jabbar,34,LAL,0.0,31.0,690,0.045,1982
10,Dan Roundfield,28,ATL,0.0,14.0,690,0.02,1982
11,Kelly Tripucka,22,DET,0.0,14.0,690,0.02,1982
12,Alex English,28,DEN,0.0,12.0,690,0.017,1982
13,Bernard King,25,GSW,0.0,10.0,690,0.014,1982
14,Adrian Dantley,26,UTA,0.0,7.0,690,0.01,1982
15,Ray Williams,27,NJN,0.0,6.0,690,0.009,1982
16,Michael Cooper,25,LAL,0.0,3.0,690,0.004,1982
17,Dan Issel,33,DEN,0.0,3.0,690,0.004,1982
18,Marques Johnson,25,MIL,0.0,3.0,690,0.004,1982
19,Isiah Thomas,20,DET,0.0,3.0,690,0.004,1982
20,Dennis Johnson,27,PHO,0.0,1.0,690,0.001,1982
21,Mychal Thompson,27,POR,0.0,1.0,690,0.001,1982
22,Jay Vincent,22,DAL,0.0,1.0,690,0.001,1982
23,Jamaal Wilkes,28,LAL,0.0,1.0,690,0.001,1982
24,Buck Williams,21,NJN,0.0,1.0,690,0.001,1982
