,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Magic Johnson,30,LAL,27.0,636.0,920,0.691,1990
1,Charles Barkley,26,PHI,38.0,614.0,920,0.667,1990
2,Michael Jordan,26,CHI,21.0,564.0,920,0.613,1990
3,Karl Malone,26,UTA,2.0,214.0,920,0.233,1990
4,Patrick Ewing,27,NYK,1.0,162.0,920,0.176,1990
5,David Robinson,24,SAS,2.0,102.0,920,0.111,1990
6,Hakeem Olajuwon,27,HOU,1.0,64.0,920,0.07,1990
7,Tom Chambers,30,PHO,0.0,12.0,920,0.013,1990
8,John Stockton,27,UTA,0.0,9.0,920,0.01,1990
9,Larry Bird,33,BOS,0.0,5.0,920,0.005,1990
10,Buck Williams,29,POR,0.0,5.0,920,0.005,1990
11,Clyde Drexler,27,POR,0.0,3.0,920,0.003,1990
12,Joe Dumars,26,DET,0.0,1.0,920,0.001,1990
13,Isiah Thomas,28,DET,0.0,1.0,920,0.001,1990
