,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,LeBron James,24,CLE,109.0,1172.0,1210,0.969,2009
1,Kobe Bryant,30,LAL,2.0,698.0,1210,0.577,2009
2,Dwyane Wade,27,MIA,7.0,680.0,1210,0.562,2009
3,Dwight Howard,23,ORL,1.0,328.0,1210,0.271,2009
4,Chris Paul,23,NOH,2.0,192.0,1210,0.159,2009
5,Chauncey Billups,32,TOT,0.0,33.0,1210,0.027,2009
6,Paul Pierce,31,BOS,0.0,21.0,1210,0.017,2009
7,Tony Parker,26,SAS,0.0,9.0,1210,0.007,2009
8,Brandon Roy,24,POR,0.0,7.0,1210,0.006,2009
9,Dirk Nowitzki,30,DAL,0.0,3.0,1210,0.002,2009
10,Tim Duncan,32,SAS,0.0,2.0,1210,0.002,2009
11,Yao Ming,28,HOU,0.0,1.0,1210,0.001,2009
