,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Joel Embiid,28,PHI,73.0,915.0,1000,0.915,2023
1,Nikola Jokić,27,DEN,15.0,674.0,1000,0.674,2023
2,Giannis Antetokounmpo,28,MIL,12.0,606.0,1000,0.606,2023
3,Jayson Tatum,24,BOS,0.0,280.0,1000,0.28,2023
4,Shai Gilgeous-Alexander,24,OKC,0.0,46.0,1000,0.046,2023
5,Donovan Mitchell,26,CLE,0.0,30.0,1000,0.03,2023
6,Domantas Sabonis,26,SAC,0.0,27.0,1000,0.027,2023
7,Luka Dončić,23,DAL,0.0,10.0,1000,0.01,2023
8,Stephen Curry,34,GSW,0.0,5.0,1000,0.005,2023
9,Jimmy Butler,33,MIA,0.0,3.0,1000,0.003,2023
10,De'Aaron Fox,25,SAC,0.0,2.0,1000,0.002,2023
11,Jalen Brunson,26,NYK,0.0,1.0,1000,0.001,2023
12,Ja Morant,23,MEM,0.0,1.0,1000,0.001,2023
