,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,LeBron James,25,CLE,116.0,1205.0,1230,0.98,2010
1,Kevin Durant,21,OKC,4.0,609.0,1230,0.495,2010
2,Kobe Bryant,31,LAL,0.0,599.0,1230,0.487,2010
3,Dwight Howard,24,ORL,3.0,478.0,1230,0.389,2010
4,Dwyane Wade,28,MIA,0.0,119.0,1230,0.097,2010
5,Carmelo Anthony,25,DEN,0.0,65.0,1230,0.053,2010
6,Dirk Nowitzki,31,DAL,0.0,55.0,1230,0.045,2010
7,Steve Nash,35,PHO,0.0,49.0,1230,0.04,2010
8,Deron Williams,25,UTA,0.0,7.0,1230,0.006,2010
9,Amar'e Stoudemire,27,PHO,0.0,5.0,1230,0.004,2010
10,Manu Ginóbili,32,SAS,0.0,3.0,1230,0.002,2010
11,Chauncey Billups,33,DEN,0.0,1.0,1230,0.001,2010
12,Chris Bosh,25,TOR,0.0,1.0,1230,0.001,2010
13,Stephen Jackson,31,TOT,0.0,1.0,1230,0.001,2010
14,Joe Johnson,28,ATL,0.0,1.0,1230,0.001,2010
