,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Russell Westbrook,28,OKC,69.0,888.0,1010,0.879,2017
1,James Harden,27,HOU,22.0,753.0,1010,0.746,2017
2,Kawhi Leonard,25,SAS,9.0,500.0,1010,0.495,2017
3,LeBron James,32,CLE,1.0,333.0,1010,0.33,2017
4,Isaiah Thomas,27,BOS,0.0,81.0,1010,0.08,2017
5,Stephen Curry,28,GSW,0.0,52.0,1010,0.051,2017
6,Giannis Antetokounmpo,22,MIL,0.0,7.0,1010,0.007,2017
7,John Wall,26,WAS,0.0,7.0,1010,0.007,2017
8,Anthony Davis,23,NOP,0.0,2.0,1010,0.002,2017
9,Kevin Durant,28,GSW,0.0,2.0,1010,0.002,2017
10,DeMar DeRozan,27,TOR,0.0,1.0,1010,0.001,2017
