,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Kevin Durant,25,OKC,119.0,1232.0,1250,0.986,2014
1,LeBron James,29,MIA,6.0,891.0,1250,0.713,2014
2,Blake Griffin,24,LAC,0.0,434.0,1250,0.347,2014
3,Joakim Noah,28,CHI,0.0,322.0,1250,0.258,2014
4,James Harden,24,HOU,0.0,85.0,1250,0.068,2014
5,Stephen Curry,25,GSW,0.0,66.0,1250,0.053,2014
6,Chris Paul,28,LAC,0.0,45.0,1250,0.036,2014
7,Al Jefferson,29,CHA,0.0,34.0,1250,0.027,2014
8,Paul George,23,IND,0.0,33.0,1250,0.026,2014
9,LaMarcus Aldridge,28,POR,0.0,26.0,1250,0.021,2014
10,Kevin Love,25,MIN,0.0,25.0,1250,0.02,2014
11,Tim Duncan,37,SAS,0.0,21.0,1250,0.017,2014
12,Tony Parker,31,SAS,0.0,21.0,1250,0.017,2014
13,Dirk Nowitzki,35,DAL,0.0,7.0,1250,0.006,2014
14,Carmelo Anthony,29,NYK,0.0,4.0,1250,0.003,2014
15,Goran Dragić,27,PHO,0.0,3.0,1250,0.002,2014
16,Mike Conley,26,MEM,0.0,1.0,1250,0.001,2014
