,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Stephen Curry,26,GSW,100.0,1198.0,1300,0.922,2015
1,James Harden,25,HOU,25.0,936.0,1300,0.72,2015
2,LeBron James,30,CLE,5.0,552.0,1300,0.425,2015
3,Russell Westbrook,26,OKC,0.0,352.0,1300,0.271,2015
4,Anthony Davis,21,NOP,0.0,203.0,1300,0.156,2015
5,Chris Paul,29,LAC,0.0,124.0,1300,0.095,2015
6,LaMarcus Aldridge,29,POR,0.0,6.0,1300,0.005,2015
7,Marc Gasol,30,MEM,0.0,3.0,1300,0.002,2015
8,Blake Griffin,25,LAC,0.0,3.0,1300,0.002,2015
9,Tim Duncan,38,SAS,0.0,1.0,1300,0.001,2015
10,Kawhi Leonard,23,SAS,0.0,1.0,1300,0.001,2015
11,Klay Thompson,24,GSW,0.0,1.0,1300,0.001,2015
