,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,James Harden,28,HOU,86.0,965.0,1010,0.955,2018
1,LeBron James,33,CLE,15.0,738.0,1010,0.731,2018
2,Anthony Davis,24,NOP,0.0,445.0,1010,0.441,2018
3,Damian Lillard,27,POR,0.0,207.0,1010,0.205,2018
4,Russell Westbrook,29,OKC,0.0,76.0,1010,0.075,2018
5,Giannis Antetokounmpo,23,MIL,0.0,75.0,1010,0.074,2018
6,Kevin Durant,29,GSW,0.0,66.0,1010,0.065,2018
7,DeMar DeRozan,28,TOR,0.0,32.0,1010,0.032,2018
8,LaMarcus Aldridge,32,SAS,0.0,6.0,1010,0.006,2018
9,Jimmy Butler,28,MIN,0.0,5.0,1010,0.005,2018
10,Stephen Curry,29,GSW,0.0,5.0,1010,0.005,2018
11,Joel Embiid,23,PHI,0.0,4.0,1010,0.004,2018
12,Victor Oladipo,25,IND,0.0,2.0,1010,0.002,2018
