,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Michael Jordan,34,CHI,92.0,1084.0,1160,0.934,1998
1,Karl Malone,34,UTA,20.0,842.0,1160,0.726,1998
2,Gary Payton,29,SEA,3.0,431.0,1160,0.372,1998
3,Shaquille O'Neal,25,LAL,1.0,311.0,1160,0.268,1998
4,Tim Duncan,21,SAS,0.0,148.0,1160,0.128,1998
5,Tim Hardaway,31,MIA,0.0,71.0,1160,0.061,1998
6,David Robinson,32,SAS,0.0,36.0,1160,0.031,1998
7,Vin Baker,26,SEA,0.0,24.0,1160,0.021,1998
8,Grant Hill,25,DET,0.0,23.0,1160,0.02,1998
9,Scottie Pippen,32,CHI,0.0,14.0,1160,0.012,1998
10,Glen Rice,30,CHH,0.0,7.0,1160,0.006,1998
11,Antoine Walker,21,BOS,0.0,6.0,1160,0.005,1998
12,Jason Kidd,24,PHO,0.0,5.0,1160,0.004,1998
13,John Stockton,35,UTA,0.0,5.0,1160,0.004,1998
14,Mitch Richmond,32,SAC,0.0,3.0,1160,0.003,1998
15,Reggie Miller,32,IND,0.0,2.0,1160,0.002,1998
16,Rik Smits,31,IND,0.0,2.0,1160,0.002,1998
17,Michael Finley,24,DAL,0.0,1.0,1160,0.001,1998
18,Rod Strickland,31,WAS,0.0,1.0,1160,0.001,1998
