,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Stephen Curry,27,GSW,131.0,1310.0,1310,1.0,2016
1,Kawhi Leonard,24,SAS,0.0,634.0,1310,0.484,2016
2,LeBron James,31,CLE,0.0,631.0,1310,0.482,2016
3,Russell Westbrook,27,OKC,0.0,486.0,1310,0.371,2016
4,Kevin Durant,27,OKC,0.0,147.0,1310,0.112,2016
5,Chris Paul,30,LAC,0.0,107.0,1310,0.082,2016
6,Draymond Green,25,GSW,0.0,50.0,1310,0.038,2016
7,Damian Lillard,25,POR,0.0,26.0,1310,0.02,2016
8,James Harden,26,HOU,0.0,9.0,1310,0.007,2016
9,Kyle Lowry,29,TOR,0.0,6.0,1310,0.005,2016
