,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Karl Malone,35,UTA,44.0,827.0,1180,0.701,1999
1,Alonzo Mourning,28,MIA,36.0,773.0,1180,0.655,1999
2,Tim Duncan,22,SAS,30.0,740.0,1180,0.627,1999
3,Allen Iverson,23,PHI,5.0,319.0,1180,0.27,1999
4,Jason Kidd,25,PHO,2.0,159.0,1180,0.135,1999
5,Shaquille O'Neal,26,LAL,1.0,89.0,1180,0.075,1999
6,Chris Webber,25,SAC,0.0,51.0,1180,0.043,1999
7,Grant Hill,26,DET,0.0,39.0,1180,0.033,1999
8,Gary Payton,30,SEA,0.0,35.0,1180,0.03,1999
9,Kevin Garnett,22,MIN,0.0,9.0,1180,0.008,1999
10,Shawn Kemp,29,CLE,0.0,7.0,1180,0.006,1999
11,David Robinson,33,SAS,0.0,6.0,1180,0.005,1999
12,Hakeem Olajuwon,36,HOU,0.0,3.0,1180,0.003,1999
13,Arvydas Sabonis,34,POR,0.0,3.0,1180,0.003,1999
14,Darrell Armstrong,30,ORL,0.0,2.0,1180,0.002,1999
15,Vince Carter,22,TOR,0.0,1.0,1180,0.001,1999
16,Anfernee Hardaway,27,ORL,0.0,1.0,1180,0.001,1999
17,Mark Jackson,33,IND,0.0,1.0,1180,0.001,1999
18,Glenn Robinson,26,MIL,0.0,1.0,1180,0.001,1999
19,Steve Smith,29,ATL,0.0,1.0,1180,0.001,1999
20,Rasheed Wallace,24,POR,0.0,1.0,1180,0.001,1999
