,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Karl Malone,33,UTA,63.0,986.0,1150,0.857,1997
1,Michael Jordan,33,CHI,52.0,957.0,1150,0.832,1997
2,Grant Hill,24,DET,0.0,376.0,1150,0.327,1997
3,Tim Hardaway,30,MIA,0.0,238.0,1150,0.207,1997
4,Glen Rice,29,CHH,0.0,134.0,1150,0.117,1997
5,Gary Payton,28,SEA,0.0,105.0,1150,0.091,1997
6,Hakeem Olajuwon,34,HOU,0.0,95.0,1150,0.083,1997
7,Patrick Ewing,34,NYK,0.0,57.0,1150,0.05,1997
8,Anthony Mason,30,CHH,0.0,7.0,1150,0.006,1997
9,Shaquille O'Neal,24,LAL,0.0,7.0,1150,0.006,1997
10,Scottie Pippen,31,CHI,0.0,6.0,1150,0.005,1997
11,Alonzo Mourning,26,MIA,0.0,5.0,1150,0.004,1997
12,Dikembe Mutombo,30,ATL,0.0,4.0,1150,0.003,1997
13,Mitch Richmond,31,SAC,0.0,4.0,1150,0.003,1997
14,John Stockton,34,UTA,0.0,3.0,1150,0.003,1997
15,Charles Barkley,33,HOU,0.0,2.0,1150,0.002,1997
16,Tom Gugliotta,27,MIN,0.0,1.0,1150,0.001,1997
17,Allen Iverson,21,PHI,0.0,1.0,1150,0.001,1997
18,Kevin Johnson,30,PHO,0.0,1.0,1150,0.001,1997
19,Steve Smith,27,ATL,0.0,1.0,1150,0.001,1997
