,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Michael Jordan,24,CHI,47.0,665.0,800,0.831,1988
1,Larry Bird,31,BOS,16.0,527.0,800,0.659,1988
2,Magic Johnson,28,LAL,16.0,508.0,800,0.635,1988
3,Charles Barkley,24,PHI,1.0,109.0,800,0.136,1988
4,Clyde Drexler,25,POR,0.0,86.0,800,0.108,1988
5,Dominique Wilkins,28,ATL,0.0,55.0,800,0.069,1988
6,Hakeem Olajuwon,25,HOU,0.0,40.0,800,0.05,1988
7,Karl Malone,24,UTA,0.0,36.0,800,0.045,1988
8,Fat Lever,27,DEN,0.0,26.0,800,0.033,1988
9,John Stockton,25,UTA,0.0,15.0,800,0.019,1988
10,Alex English,34,DEN,0.0,4.0,800,0.005,1988
11,Isiah Thomas,26,DET,0.0,3.0,800,0.004,1988
12,Mark Jackson,22,NYK,0.0,2.0,800,0.003,1988
13,Michael Adams,25,DEN,0.0,1.0,800,0.001,1988
14,Mark Aguirre,28,DAL,0.0,1.0,800,0.001,1988
15,Adrian Dantley,32,DET,0.0,1.0,800,0.001,1988
16,Buck Williams,27,NJN,0.0,1.0,800,0.001,1988
