,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,LeBron James,27,MIA,85.0,1074.0,1210,0.888,2012
1,Kevin Durant,23,OKC,24.0,889.0,1210,0.735,2012
2,Chris Paul,26,LAC,6.0,385.0,1210,0.318,2012
3,Kobe Bryant,33,LAL,2.0,352.0,1210,0.291,2012
4,Tony Parker,29,SAS,4.0,331.0,1210,0.274,2012
5,Kevin Love,23,MIN,0.0,58.0,1210,0.048,2012
6,Dwight Howard,26,ORL,0.0,13.0,1210,0.011,2012
7,Rajon Rondo,25,BOS,0.0,12.0,1210,0.01,2012
8,Steve Nash,37,PHO,0.0,7.0,1210,0.006,2012
9,Dwyane Wade,30,MIA,0.0,6.0,1210,0.005,2012
10,Derrick Rose,23,CHI,0.0,5.0,1210,0.004,2012
11,Dirk Nowitzki,33,DAL,0.0,4.0,1210,0.003,2012
12,Russell Westbrook,23,OKC,0.0,4.0,1210,0.003,2012
13,Tim Duncan,35,SAS,0.0,3.0,1210,0.002,2012
14,Joe Johnson,30,ATL,0.0,1.0,1210,0.001,2012
