,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Giannis Antetokounmpo,25,MIL,85.0,962.0,1010,0.952,2020
1,LeBron James,35,LAL,16.0,753.0,1010,0.746,2020
2,James Harden,30,HOU,0.0,367.0,1010,0.363,2020
3,Luka Dončić,20,DAL,0.0,200.0,1010,0.198,2020
4,Kawhi Leonard,28,LAC,0.0,168.0,1010,0.166,2020
5,Anthony Davis,26,LAL,0.0,82.0,1010,0.081,2020
6,Chris Paul,34,OKC,0.0,26.0,1010,0.026,2020
7,Damian Lillard,29,POR,0.0,23.0,1010,0.023,2020
8,Nikola Jokić,24,DEN,0.0,18.0,1010,0.018,2020
9,Pascal Siakam,25,TOR,0.0,17.0,1010,0.017,2020
10,Jimmy Butler,30,MIA,0.0,9.0,1010,0.009,2020
11,Jayson Tatum,21,BOS,0.0,1.0,1010,0.001,2020
