,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Larry Bird,28,BOS,73.0,763.0,780,0.978,1985
1,Magic Johnson,25,LAL,1.0,264.0,780,0.338,1985
2,Moses Malone,29,PHI,0.0,218.0,780,0.279,1985
3,Kareem Abdul-Jabbar,37,LAL,0.0,206.0,780,0.264,1985
4,Terry Cummings,23,MIL,2.0,138.0,780,0.177,1985
5,Michael Jordan,21,CHI,2.0,134.0,780,0.172,1985
6,Bernard King,28,NYK,0.0,70.0,780,0.09,1985
7,Sidney Moncrief,27,MIL,0.0,65.0,780,0.083,1985
8,Isiah Thomas,23,DET,0.0,63.0,780,0.081,1985
9,Ralph Sampson,24,HOU,0.0,26.0,780,0.033,1985
10,Calvin Natt,28,DEN,0.0,22.0,780,0.028,1985
11,Alex English,31,DEN,0.0,12.0,780,0.015,1985
12,Hakeem Olajuwon,22,HOU,0.0,12.0,780,0.015,1985
13,Micheal Ray Richardson,29,NJN,0.0,11.0,780,0.014,1985
14,Andrew Toney,27,PHI,0.0,5.0,780,0.006,1985
15,Mark Eaton,28,UTA,0.0,4.0,780,0.005,1985
16,Paul Pressey,26,MIL,0.0,3.0,780,0.004,1985
17,Jack Sikma,29,SEA,0.0,3.0,780,0.004,1985
18,Dominique Wilkins,25,ATL,0.0,3.0,780,0.004,1985
19,World B. Free,31,CLE,0.0,2.0,780,0.003,1985
20,Purvis Short,27,GSW,0.0,2.0,780,0.003,1985
21,Clyde Drexler,22,POR,0.0,1.0,780,0.001,1985
22,Julius Erving,34,PHI,0.0,1.0,780,0.001,1985
