,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Nikola Jokić,26,DEN,65.0,875.0,1000,0.875,2022
1,Joel Embiid,27,PHI,26.0,706.0,1000,0.706,2022
2,Giannis Antetokounmpo,27,MIL,9.0,595.0,1000,0.595,2022
3,Devin Booker,25,PHO,0.0,216.0,1000,0.216,2022
4,Luka Dončić,22,DAL,0.0,146.0,1000,0.146,2022
5,Jayson Tatum,23,BOS,0.0,43.0,1000,0.043,2022
6,Ja Morant,22,MEM,0.0,10.0,1000,0.01,2022
7,Stephen Curry,33,GSW,0.0,4.0,1000,0.004,2022
8,Chris Paul,36,PHO,0.0,2.0,1000,0.002,2022
9,DeMar DeRozan,32,CHI,0.0,1.0,1000,0.001,2022
10,Kevin Durant,33,BRK,0.0,1.0,1000,0.001,2022
11,LeBron James,37,LAL,0.0,1.0,1000,0.001,2022
