,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Kevin Garnett,27,MIN,120.0,1219.0,1230,0.991,2004
1,Tim Duncan,27,SAS,0.0,716.0,1230,0.582,2004
2,Jermaine O'Neal,25,IND,2.0,523.0,1230,0.425,2004
3,Peja Stojaković,26,SAC,1.0,281.0,1230,0.228,2004
4,Kobe Bryant,25,LAL,0.0,212.0,1230,0.172,2004
5,Shaquille O'Neal,31,LAL,0.0,178.0,1230,0.145,2004
6,Ben Wallace,29,DET,0.0,24.0,1230,0.02,2004
7,Jason Kidd,30,NJN,0.0,17.0,1230,0.014,2004
8,LeBron James,19,CLE,0.0,11.0,1230,0.009,2004
9,Sam Cassell,34,MIN,0.0,4.0,1230,0.003,2004
10,Baron Davis,24,NOH,0.0,4.0,1230,0.003,2004
11,Dirk Nowitzki,25,DAL,0.0,4.0,1230,0.003,2004
12,Andrei Kirilenko,22,UTA,0.0,2.0,1230,0.002,2004
13,Carmelo Anthony,19,DEN,0.0,1.0,1230,0.001,2004
14,Yao Ming,23,HOU,0.0,1.0,1230,0.001,2004
15,Michael Redd,24,MIL,0.0,1.0,1230,0.001,2004
