,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Shaquille O'Neal,27,LAL,120.0,1207.0,1210,0.998,2000
1,Kevin Garnett,23,MIN,0.0,408.0,1210,0.337,2000
2,Alonzo Mourning,29,MIA,0.0,367.0,1210,0.303,2000
3,Karl Malone,36,UTA,0.0,312.0,1210,0.258,2000
4,Tim Duncan,23,SAS,0.0,248.0,1210,0.205,2000
5,Gary Payton,31,SEA,0.0,180.0,1210,0.149,2000
6,Allen Iverson,24,PHI,1.0,132.0,1210,0.109,2000
7,Grant Hill,27,DET,0.0,113.0,1210,0.093,2000
8,Chris Webber,26,SAC,0.0,96.0,1210,0.079,2000
9,Vince Carter,23,TOR,0.0,51.0,1210,0.042,2000
10,Jason Kidd,26,PHO,0.0,25.0,1210,0.021,2000
11,Kobe Bryant,21,LAL,0.0,3.0,1210,0.002,2000
12,Darrell Armstrong,31,ORL,0.0,1.0,1210,0.001,2000
13,Michael Finley,26,DAL,0.0,1.0,1210,0.001,2000
14,Reggie Miller,34,IND,0.0,1.0,1210,0.001,2000
15,Jalen Rose,27,IND,0.0,1.0,1210,0.001,2000
