,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Giannis Antetokounmpo,24,MIL,78.0,941.0,1010,0.932,2019
1,James Harden,29,HOU,23.0,776.0,1010,0.768,2019
2,Paul George,28,OKC,0.0,356.0,1010,0.352,2019
3,Nikola Jokić,23,DEN,0.0,212.0,1010,0.21,2019
4,Stephen Curry,30,GSW,0.0,175.0,1010,0.173,2019
5,Damian Lillard,28,POR,0.0,69.0,1010,0.068,2019
6,Joel Embiid,24,PHI,0.0,49.0,1010,0.049,2019
7,Kevin Durant,30,GSW,0.0,25.0,1010,0.025,2019
8,Kawhi Leonard,27,TOR,0.0,13.0,1010,0.013,2019
9,Russell Westbrook,30,OKC,0.0,8.0,1010,0.008,2019
10,Rudy Gobert,26,UTA,0.0,1.0,1010,0.001,2019
11,LeBron James,34,LAL,0.0,1.0,1010,0.001,2019
